geography,label
02,"Alaska"
02000001,"01 Alaska WIB"
02013,"Aleutians East, AK"
02016,"Aleutians West, AK"
02020,"Anchorage, AK"
02050,"Bethel, AK"
02060,"Bristol Bay, AK"
02068,"Denali, AK"
02070,"Dillingham, AK"
02090,"Fairbanks North Star, AK"
02100,"Haines, AK"
02105,"Hoonah-Angoon, AK"
02110,"Juneau, AK"
0211260,"Anchorage, AK"
02122,"Kenai Peninsula, AK"
02130,"Ketchikan Gateway, AK"
02150,"Kodiak Island, AK"
02164,"Lake and Peninsula, AK"
02170,"Matanuska-Susitna, AK"
02180,"Nome, AK"
02185,"North Slope, AK"
02188,"Northwest Arctic, AK"
02195,"Petersburg, AK"
02198,"Prince of Wales-Hyder, AK"
0221820,"Fairbanks, AK"
02220,"Sitka, AK"
02230,"Skagway, AK"
02240,"Southeast Fairbanks, AK"
02261,"Valdez-Cordova, AK"
02270,"Wade Hampton, AK"
02275,"Wrangell, AK"
0227940,"Juneau, AK"
02282,"Yakutat, AK"
0228540,"Ketchikan, AK"
02290,"Yukon-Koyukuk, AK"
0299999,"Nonmetropolitan, nonmicropolitan"
