geography,label
06,"California"
06000001,"01 Alameda County WIB"
06000003,"03 Oakland City WIB"
06000004,"04 Mother Lode Consortium WIB"
06000005,"05 Golden Sierra Consortium WIB"
06000007,"07 NCC (North Central Counties Consortium) WIB"
06000008,"08 Contra Costa County WIB"
06000009,"09 Richmond City WIB"
06000011,"11 Fresno County WIB"
06000012,"12 Humboldt County WIB"
06000013,"13 Imperial County WIB"
06000014,"14 Kern, Inyo, Mono Consortium WIB"
06000015,"15 Kings County WIB"
06000016,"16 NoRTEC WIB"
06000017,"17 Los Angeles County WIB"
06000019,"19 Foothill Consortium WIB"
06000020,"20 Verdugo Consortium WIB"
06000026,"26 Pacific Gateway"
06000027,"27 Los Angeles City WIB"
06000028,"28 Madera County WIB"
06000029,"29 Marin County WIB"
06000030,"30 Mendocino County WIB"
06000031,"31 Merced County WIB"
06000032,"32 Monterey County WIB"
06000033,"33 Napa County WIB"
06000034,"34 Orange County WIB"
06000035,"35 Riverside County WIB"
06000037,"37 Sacramento County WIB"
06000038,"38 San Benito County WIB"
06000040,"40 San Bernardino County WIB"
06000041,"41 San Bernardino City WIB"
06000042,"42 San Diego County WIB"
06000045,"45 San Francisco City/County WIB"
06000046,"46 San Joaquin County WIB"
06000048,"48 San Luis Obispo County WIB"
06000049,"49 San Mateo County WIB"
06000050,"50 Santa Barbara County WIB"
06000051,"51 San Jose - Silicon Valley WIB"
06000052,"52 NOVA (North Valley Consortium) WIB"
06000053,"53 Santa Cruz County WIB"
06000055,"55 Solano County WIB"
06000056,"56 Sonoma County WIB"
06000057,"57 Stanislaus County WIB"
06000058,"58 Tulare County WIB"
06000059,"59 Ventura County WIB"
06000060,"60 Yolo County WIB"
06000061,"61 South Bay Consortium WIB"
06000062,"62 SELACO (Southeast Los Angeles County) WIB"
06000072,"72 Anaheim City WIB"
06000073,"73 Santa Ana City WIB"
06001,"Alameda, CA"
06003,"Alpine, CA"
06005,"Amador, CA"
06007,"Butte, CA"
06009,"Calaveras, CA"
06011,"Colusa, CA"
06013,"Contra Costa, CA"
06015,"Del Norte, CA"
06017,"El Dorado, CA"
06019,"Fresno, CA"
06021,"Glenn, CA"
06023,"Humboldt, CA"
06025,"Imperial, CA"
06027,"Inyo, CA"
06029,"Kern, CA"
06031,"Kings, CA"
06033,"Lake, CA"
06035,"Lassen, CA"
06037,"Los Angeles, CA"
06039,"Madera, CA"
06041,"Marin, CA"
06043,"Mariposa, CA"
06045,"Mendocino, CA"
06047,"Merced, CA"
06049,"Modoc, CA"
06051,"Mono, CA"
06053,"Monterey, CA"
06055,"Napa, CA"
06057,"Nevada, CA"
06059,"Orange, CA"
06061,"Placer, CA"
06063,"Plumas, CA"
06065,"Riverside, CA"
06067,"Sacramento, CA"
06069,"San Benito, CA"
06071,"San Bernardino, CA"
06073,"San Diego, CA"
06075,"San Francisco, CA"
06077,"San Joaquin, CA"
06079,"San Luis Obispo, CA"
06081,"San Mateo, CA"
06083,"Santa Barbara, CA"
06085,"Santa Clara, CA"
06087,"Santa Cruz, CA"
06089,"Shasta, CA"
06091,"Sierra, CA"
06093,"Siskiyou, CA"
06095,"Solano, CA"
06097,"Sonoma, CA"
06099,"Stanislaus, CA"
06101,"Sutter, CA"
06103,"Tehama, CA"
06105,"Trinity, CA"
06107,"Tulare, CA"
06109,"Tuolumne, CA"
06111,"Ventura, CA"
06113,"Yolo, CA"
06115,"Yuba, CA"
0612540,"Bakersfield-Delano, CA"
0613860,"Bishop, CA"
0617020,"Chico, CA"
0617340,"Clearlake, CA"
0618860,"Crescent City, CA"
0620940,"El Centro, CA"
0621700,"Eureka-Arcata-Fortuna, CA"
0623420,"Fresno, CA"
0625260,"Hanford-Corcoran, CA"
0631100,"Los Angeles-Long Beach-Santa Ana, CA"
0631460,"Madera-Chowchilla, CA"
0632900,"Merced, CA"
0633700,"Modesto, CA"
0634900,"Napa, CA"
0637100,"Oxnard-Thousand Oaks-Ventura, CA"
0638020,"Phoenix Lake-Cedar Ridge, CA"
0639780,"Red Bluff, CA"
0639820,"Redding, CA"
0640140,"Riverside-San Bernardino-Ontario, CA"
0640900,"Sacramento--Arden-Arcade--Roseville, CA"
0641500,"Salinas, CA"
0641740,"San Diego-Carlsbad-San Marcos, CA"
0641860,"San Francisco-Oakland-Fremont, CA"
0641940,"San Jose-Sunnyvale-Santa Clara, CA"
0642020,"San Luis Obispo-Paso Robles, CA"
0642060,"Santa Barbara-Santa Maria-Goleta, CA"
0642100,"Santa Cruz-Watsonville, CA"
0642220,"Santa Rosa-Petaluma, CA"
0644700,"Stockton, CA"
0645000,"Susanville, CA"
0646020,"Truckee-Grass Valley, CA"
0646380,"Ukiah, CA"
0646700,"Vallejo-Fairfield, CA"
0647300,"Visalia-Porterville, CA"
0649700,"Yuba City, CA"
0699999,"Nonmetropolitan, nonmicropolitan"
