geography,label
55,"Wisconsin"
55001,"Adams, WI"
55003,"Ashland, WI"
55005,"Barron, WI"
55007,"Bayfield, WI"
55009,"Brown, WI"
55011,"Buffalo, WI"
55013,"Burnett, WI"
55015,"Calumet, WI"
55017,"Chippewa, WI"
55019,"Clark, WI"
55021,"Columbia, WI"
55023,"Crawford, WI"
55025,"Dane, WI"
55027,"Dodge, WI"
55029,"Door, WI"
55031,"Douglas, WI"
55033,"Dunn, WI"
55035,"Eau Claire, WI"
55037,"Florence, WI"
55039,"Fond du Lac, WI"
55041,"Forest, WI"
55043,"Grant, WI"
55045,"Green, WI"
55047,"Green Lake, WI"
55049,"Iowa, WI"
55051,"Iron, WI"
55053,"Jackson, WI"
55055,"Jefferson, WI"
55057,"Juneau, WI"
55059,"Kenosha, WI"
55061,"Kewaunee, WI"
55063,"La Crosse, WI"
55065,"Lafayette, WI"
55067,"Langlade, WI"
55069,"Lincoln, WI"
55071,"Manitowoc, WI"
55073,"Marathon, WI"
55075,"Marinette, WI"
55077,"Marquette, WI"
55078,"Menominee, WI"
55079,"Milwaukee, WI"
55081,"Monroe, WI"
55083,"Oconto, WI"
55085,"Oneida, WI"
55087,"Outagamie, WI"
55089,"Ozaukee, WI"
55091,"Pepin, WI"
55093,"Pierce, WI"
55095,"Polk, WI"
55097,"Portage, WI"
55099,"Price, WI"
55101,"Racine, WI"
55103,"Richland, WI"
55105,"Rock, WI"
55107,"Rusk, WI"
55109,"St. Croix, WI"
55111,"Sauk, WI"
55113,"Sawyer, WI"
55115,"Shawano, WI"
5511540,"Appleton, WI"
55117,"Sheboygan, WI"
55119,"Taylor, WI"
55121,"Trempealeau, WI"
55123,"Vernon, WI"
55125,"Vilas, WI"
5512660,"Baraboo, WI"
55127,"Walworth, WI"
55129,"Washburn, WI"
55131,"Washington, WI"
5513180,"Beaver Dam, WI"
55133,"Waukesha, WI"
55135,"Waupaca, WI"
55137,"Waushara, WI"
55139,"Winnebago, WI"
55141,"Wood, WI"
5516980,"Chicago-Naperville-Elgin, IL-IN-WI (WI part)"
5520260,"Duluth, MN-WI (WI part)"
5520740,"Eau Claire, WI"
5522540,"Fond du Lac, WI"
5524580,"Green Bay, WI"
5527020,"Iron Mountain, MI-WI (WI part)"
5527500,"Janesville-Beloit, WI"
5529100,"La Crosse-Onalaska, WI-MN (WI part)"
5531540,"Madison, WI"
5531820,"Manitowoc, WI"
5531940,"Marinette, WI-MI (WI part)"
5532860,"Menomonie, WI"
5532980,"Merrill, WI"
5533340,"Milwaukee-Waukesha-West Allis, WI"
5533460,"Minneapolis-St. Paul-Bloomington, MN-WI (WI part)"
5536780,"Oshkosh-Neenah, WI"
5538420,"Platteville, WI"
5539540,"Racine, WI"
5543020,"Shawano, WI"
5543100,"Sheboygan, WI"
5544620,"Stevens Point, WI"
5548020,"Watertown-Fort Atkinson, WI"
5548140,"Wausau, WI"
5548580,"Whitewater-Elkhorn, WI"
5549220,"Wisconsin Rapids-Marshfield, WI"
55550015,"015 Milwaukee WDA"
55550030,"030 Southeast WDA"
55550040,"040 Northwest WDA"
55550045,"045 Washington-Ozaukee-Waukesha WDA"
55550065,"065 West Central WDA"
55550085,"085 Western WDA"
55550090,"090 Fox Valley WDA"
55550095,"095 Bay Area WDA"
55550100,"100 North Central WDA"
55550105,"105 South Central WDA"
55550110,"110 Southwest WDA"
5599999,"Nonmetropolitan, nonmicropolitan"
