geography,label
00,"National (50 States + DC)"
01,"Alabama"
02,"Alaska"
04,"Arizona"
05,"Arkansas"
06,"California"
08,"Colorado"
09,"Connecticut"
10,"Delaware"
11,"District of Columbia"
12,"Florida"
13,"Georgia"
15,"Hawaii"
16,"Idaho"
17,"Illinois"
18,"Indiana"
19,"Iowa"
20,"Kansas"
21,"Kentucky"
22,"Louisiana"
23,"Maine"
24,"Maryland"
25,"Massachusetts"
26,"Michigan"
27,"Minnesota"
27SDA010,"01 Northwest Minnesota WSA"
27SDA020,"02 Rural Minnesota CEP WSA"
27SDA030,"03 Northeast Minnesota WSA"
27SDA040,"04 City of Duluth WSA"
27SDA050,"05 Central Minnesota WSA"
27SDA060,"06 Southwest Minnesota WSA"
27SDA070,"07 South Central Minnesota WSA"
27SDA080,"08 Southeast Minnesota WSA"
27SDA090,"09 Hennepin/Carver WSA"
27SDA100,"10 City of Minneapolis WSA"
27SDA120,"12 Anoka County WSA"
27SDA140,"14 Dakota/Scott County WSA"
27SDA150,"15 Ramsey County WSA"
27SDA160,"16 Washington County WSA"
27SDA170,"17 Stearns/Benton WSA"
27SDA180,"18 Winona County WSA"
28,"Mississippi"
29,"Missouri"
30,"Montana"
31,"Nebraska"
32,"Nevada"
33,"New Hampshire"
34,"New Jersey"
35,"New Mexico"
36,"New York"
37,"North Carolina"
38,"North Dakota"
39,"Ohio"
40,"Oklahoma"
41,"Oregon"
42,"Pennsylvania"
44,"Rhode Island"
45,"South Carolina"
46,"South Dakota"
47LWIA01,"01 Local Workforce Investment Area"
47LWIA02,"02 Local Workforce Investment Area"
47LWIA03,"03 Local Workforce Investment Area"
47LWIA04,"04 Local Workforce Investment Area"
47LWIA05,"05 Local Workforce Investment Area"
47LWIA06,"06 Local Workforce Investment Area"
47LWIA07,"07 Local Workforce Investment Area"
47LWIA08,"08 Local Workforce Investment Area"
47LWIA09,"09 Local Workforce Investment Area"
47LWIA10,"10 Local Workforce Investment Area"
47LWIA11,"11 Local Workforce Investment Area"
47LWIA12,"12 Local Workforce Investment Area"
47LWIA13,"13 Local Workforce Investment Area"
47,"Tennessee"
48,"Texas"
49,"Utah"
50,"Vermont"
51,"Virginia"
53,"Washington"
54,"West Virginia"
55,"Wisconsin"
56,"Wyoming"
420CE175,"175 Central PA WIA"
420LV070,"070 Lehigh Valley WIA"
420NC125,"125 North Central WIA"
420NE055,"055 Lackawanna County WIA"
420NE075,"075 Luzerne-Schuylkill Counties WIA"
420NE135,"135 Pocono Counties WIA"
420NT130,"130 Northern Tier WIA"
420NW145,"145 West Central Job Partnership WIA"
420NW170,"170 Northwest WIA"
420SA100,"100 Southern Alleghenies WIA"
420SC180,"180 South Central WIA"
420SE015,"015 Berks County WIA"
420SE020,"020 Bucks County WIA"
420SE030,"030 Chester County WIA"
420SE035,"035 Delaware County WIA"
420SE060,"060 Lancaster County WIA"
420SE080,"080 Montgomery County WIA"
420SE090,"090 Philadelphia County WIA"
420SW005,"005 Allegheny County WIA"
420SW045,"045 Westmoreland/Fayette WIA"
420SW095,"095 City of Pittsburgh WIA"
420SW110,"110 Tri-County WIA"
420SW165,"165 Southwest Corner WIA"
01001,"Autauga, AL"
01003,"Baldwin, AL"
01005,"Barbour, AL"
01007,"Bibb, AL"
01009,"Blount, AL"
01011,"Bullock, AL"
01013,"Butler, AL"
01015,"Calhoun, AL"
01017,"Chambers, AL"
01019,"Cherokee, AL"
01021,"Chilton, AL"
01023,"Choctaw, AL"
01025,"Clarke, AL"
01027,"Clay, AL"
01029,"Cleburne, AL"
01031,"Coffee, AL"
01033,"Colbert, AL"
01035,"Conecuh, AL"
01037,"Coosa, AL"
01039,"Covington, AL"
01041,"Crenshaw, AL"
01043,"Cullman, AL"
01045,"Dale, AL"
01047,"Dallas, AL"
01049,"DeKalb, AL"
01051,"Elmore, AL"
01053,"Escambia, AL"
01055,"Etowah, AL"
01057,"Fayette, AL"
01059,"Franklin, AL"
01061,"Geneva, AL"
01063,"Greene, AL"
01065,"Hale, AL"
01067,"Henry, AL"
01069,"Houston, AL"
01071,"Jackson, AL"
01073,"Jefferson, AL"
01075,"Lamar, AL"
01077,"Lauderdale, AL"
01079,"Lawrence, AL"
01081,"Lee, AL"
01083,"Limestone, AL"
01085,"Lowndes, AL"
01087,"Macon, AL"
01089,"Madison, AL"
01091,"Marengo, AL"
01093,"Marion, AL"
01095,"Marshall, AL"
01097,"Mobile, AL"
01099,"Monroe, AL"
01101,"Montgomery, AL"
01103,"Morgan, AL"
01105,"Perry, AL"
01107,"Pickens, AL"
01109,"Pike, AL"
01111,"Randolph, AL"
01113,"Russell, AL"
01115,"St. Clair, AL"
01117,"Shelby, AL"
01119,"Sumter, AL"
01121,"Talladega, AL"
01123,"Tallapoosa, AL"
01125,"Tuscaloosa, AL"
01127,"Walker, AL"
01129,"Washington, AL"
01131,"Wilcox, AL"
01133,"Winston, AL"
02013,"Aleutians East, AK"
02016,"Aleutians West, AK"
02020,"Anchorage, AK"
02050,"Bethel, AK"
02060,"Bristol Bay, AK"
02068,"Denali, AK"
02070,"Dillingham, AK"
02090,"Fairbanks North Star, AK"
02100,"Haines, AK"
02105,"Hoonah-Angoon, AK"
02110,"Juneau, AK"
02122,"Kenai Peninsula, AK"
02130,"Ketchikan Gateway, AK"
02150,"Kodiak Island, AK"
02158,"Kusilvak, AK"
02164,"Lake and Peninsula, AK"
02170,"Matanuska-Susitna, AK"
02180,"Nome, AK"
02185,"North Slope, AK"
02188,"Northwest Arctic, AK"
02195,"Petersburg, AK"
02198,"Prince of Wales-Hyder, AK"
02220,"Sitka, AK"
02230,"Skagway, AK"
02240,"Southeast Fairbanks, AK"
02261,"Valdez-Cordova, AK"
02275,"Wrangell, AK"
02282,"Yakutat, AK"
02290,"Yukon-Koyukuk, AK"
04001,"Apache, AZ"
04003,"Cochise, AZ"
04005,"Coconino, AZ"
04007,"Gila, AZ"
04009,"Graham, AZ"
04011,"Greenlee, AZ"
04012,"La Paz, AZ"
04013,"Maricopa, AZ"
04015,"Mohave, AZ"
04017,"Navajo, AZ"
04019,"Pima, AZ"
04021,"Pinal, AZ"
04023,"Santa Cruz, AZ"
04025,"Yavapai, AZ"
04027,"Yuma, AZ"
05001,"Arkansas, AR"
05003,"Ashley, AR"
05005,"Baxter, AR"
05007,"Benton, AR"
05009,"Boone, AR"
05011,"Bradley, AR"
05013,"Calhoun, AR"
05015,"Carroll, AR"
05017,"Chicot, AR"
05019,"Clark, AR"
05021,"Clay, AR"
05023,"Cleburne, AR"
05025,"Cleveland, AR"
05027,"Columbia, AR"
05029,"Conway, AR"
05031,"Craighead, AR"
05033,"Crawford, AR"
05035,"Crittenden, AR"
05037,"Cross, AR"
05039,"Dallas, AR"
05041,"Desha, AR"
05043,"Drew, AR"
05045,"Faulkner, AR"
05047,"Franklin, AR"
05049,"Fulton, AR"
05051,"Garland, AR"
05053,"Grant, AR"
05055,"Greene, AR"
05057,"Hempstead, AR"
05059,"Hot Spring, AR"
05061,"Howard, AR"
05063,"Independence, AR"
05065,"Izard, AR"
05067,"Jackson, AR"
05069,"Jefferson, AR"
05071,"Johnson, AR"
05073,"Lafayette, AR"
05075,"Lawrence, AR"
05077,"Lee, AR"
05079,"Lincoln, AR"
05081,"Little River, AR"
05083,"Logan, AR"
05085,"Lonoke, AR"
05087,"Madison, AR"
05089,"Marion, AR"
05091,"Miller, AR"
05093,"Mississippi, AR"
05095,"Monroe, AR"
05097,"Montgomery, AR"
05099,"Nevada, AR"
05101,"Newton, AR"
05103,"Ouachita, AR"
05105,"Perry, AR"
05107,"Phillips, AR"
05109,"Pike, AR"
05111,"Poinsett, AR"
05113,"Polk, AR"
05115,"Pope, AR"
05117,"Prairie, AR"
05119,"Pulaski, AR"
05121,"Randolph, AR"
05123,"St. Francis, AR"
05125,"Saline, AR"
05127,"Scott, AR"
05129,"Searcy, AR"
05131,"Sebastian, AR"
05133,"Sevier, AR"
05135,"Sharp, AR"
05137,"Stone, AR"
05139,"Union, AR"
05141,"Van Buren, AR"
05143,"Washington, AR"
05145,"White, AR"
05147,"Woodruff, AR"
05149,"Yell, AR"
5454WIA1,"01 Workforce Investment Area Region 1"
5454WIA2,"02 Workforce Investment Area Region 2"
5454WIA3,"03 Workforce Investment Area Region 3"
5454WIA4,"04 Workforce Investment Area Region 4"
5454WIA5,"05 Workforce Investment Area Region 5"
5454WIA6,"06 Workforce Investment Area Region 6"
5454WIA7,"07 Workforce Investment Area Region 7"
06001,"Alameda, CA"
06003,"Alpine, CA"
06005,"Amador, CA"
06007,"Butte, CA"
06009,"Calaveras, CA"
06011,"Colusa, CA"
06013,"Contra Costa, CA"
06015,"Del Norte, CA"
06017,"El Dorado, CA"
06019,"Fresno, CA"
06021,"Glenn, CA"
06023,"Humboldt, CA"
06025,"Imperial, CA"
06027,"Inyo, CA"
06029,"Kern, CA"
06031,"Kings, CA"
06033,"Lake, CA"
06035,"Lassen, CA"
06037,"Los Angeles, CA"
06039,"Madera, CA"
06041,"Marin, CA"
06043,"Mariposa, CA"
06045,"Mendocino, CA"
06047,"Merced, CA"
06049,"Modoc, CA"
06051,"Mono, CA"
06053,"Monterey, CA"
06055,"Napa, CA"
06057,"Nevada, CA"
06059,"Orange, CA"
06061,"Placer, CA"
06063,"Plumas, CA"
06065,"Riverside, CA"
06067,"Sacramento, CA"
06069,"San Benito, CA"
06071,"San Bernardino, CA"
06073,"San Diego, CA"
06075,"San Francisco, CA"
06077,"San Joaquin, CA"
06079,"San Luis Obispo, CA"
06081,"San Mateo, CA"
06083,"Santa Barbara, CA"
06085,"Santa Clara, CA"
06087,"Santa Cruz, CA"
06089,"Shasta, CA"
06091,"Sierra, CA"
06093,"Siskiyou, CA"
06095,"Solano, CA"
06097,"Sonoma, CA"
06099,"Stanislaus, CA"
06101,"Sutter, CA"
06103,"Tehama, CA"
06105,"Trinity, CA"
06107,"Tulare, CA"
06109,"Tuolumne, CA"
06111,"Ventura, CA"
06113,"Yolo, CA"
06115,"Yuba, CA"
08001,"Adams, CO"
08003,"Alamosa, CO"
08005,"Arapahoe, CO"
08007,"Archuleta, CO"
08009,"Baca, CO"
08011,"Bent, CO"
08013,"Boulder, CO"
08014,"Broomfield, CO"
08015,"Chaffee, CO"
08017,"Cheyenne, CO"
08019,"Clear Creek, CO"
08021,"Conejos, CO"
08023,"Costilla, CO"
08025,"Crowley, CO"
08027,"Custer, CO"
08029,"Delta, CO"
08031,"Denver, CO"
08033,"Dolores, CO"
08035,"Douglas, CO"
08037,"Eagle, CO"
08039,"Elbert, CO"
08041,"El Paso, CO"
08043,"Fremont, CO"
08045,"Garfield, CO"
08047,"Gilpin, CO"
08049,"Grand, CO"
08051,"Gunnison, CO"
08053,"Hinsdale, CO"
08055,"Huerfano, CO"
08057,"Jackson, CO"
08059,"Jefferson, CO"
08061,"Kiowa, CO"
08063,"Kit Carson, CO"
08065,"Lake, CO"
08067,"La Plata, CO"
08069,"Larimer, CO"
08071,"Las Animas, CO"
08073,"Lincoln, CO"
08075,"Logan, CO"
08077,"Mesa, CO"
08079,"Mineral, CO"
08081,"Moffat, CO"
08083,"Montezuma, CO"
08085,"Montrose, CO"
08087,"Morgan, CO"
08089,"Otero, CO"
08091,"Ouray, CO"
08093,"Park, CO"
08095,"Phillips, CO"
08097,"Pitkin, CO"
08099,"Prowers, CO"
08101,"Pueblo, CO"
08103,"Rio Blanco, CO"
08105,"Rio Grande, CO"
08107,"Routt, CO"
08109,"Saguache, CO"
08111,"San Juan, CO"
08113,"San Miguel, CO"
08115,"Sedgwick, CO"
08117,"Summit, CO"
08119,"Teller, CO"
08121,"Washington, CO"
08123,"Weld, CO"
08125,"Yuma, CO"
09001,"Fairfield, CT"
09003,"Hartford, CT"
09005,"Litchfield, CT"
09007,"Middlesex, CT"
09009,"New Haven, CT"
09011,"New London, CT"
09013,"Tolland, CT"
09015,"Windham, CT"
10001,"Kent, DE"
10003,"New Castle, DE"
10005,"Sussex, DE"
11001,"District of Columbia, DC"
12001,"Alachua, FL"
12003,"Baker, FL"
12005,"Bay, FL"
12007,"Bradford, FL"
12009,"Brevard, FL"
12011,"Broward, FL"
12013,"Calhoun, FL"
12015,"Charlotte, FL"
12017,"Citrus, FL"
12019,"Clay, FL"
12021,"Collier, FL"
12023,"Columbia, FL"
12027,"DeSoto, FL"
12029,"Dixie, FL"
12031,"Duval, FL"
12033,"Escambia, FL"
12035,"Flagler, FL"
12037,"Franklin, FL"
12039,"Gadsden, FL"
12041,"Gilchrist, FL"
12043,"Glades, FL"
12045,"Gulf, FL"
12047,"Hamilton, FL"
12049,"Hardee, FL"
12051,"Hendry, FL"
12053,"Hernando, FL"
12055,"Highlands, FL"
12057,"Hillsborough, FL"
12059,"Holmes, FL"
12061,"Indian River, FL"
12063,"Jackson, FL"
12065,"Jefferson, FL"
12067,"Lafayette, FL"
12069,"Lake, FL"
12071,"Lee, FL"
12073,"Leon, FL"
12075,"Levy, FL"
12077,"Liberty, FL"
12079,"Madison, FL"
12081,"Manatee, FL"
12083,"Marion, FL"
12085,"Martin, FL"
12086,"Miami-Dade, FL"
12087,"Monroe, FL"
12089,"Nassau, FL"
12091,"Okaloosa, FL"
12093,"Okeechobee, FL"
12095,"Orange, FL"
12097,"Osceola, FL"
12099,"Palm Beach, FL"
12101,"Pasco, FL"
12103,"Pinellas, FL"
12105,"Polk, FL"
12107,"Putnam, FL"
12109,"St. Johns, FL"
12111,"St. Lucie, FL"
12113,"Santa Rosa, FL"
12115,"Sarasota, FL"
12117,"Seminole, FL"
12119,"Sumter, FL"
12121,"Suwannee, FL"
12123,"Taylor, FL"
12125,"Union, FL"
12127,"Volusia, FL"
12129,"Wakulla, FL"
12131,"Walton, FL"
12133,"Washington, FL"
13001,"Appling, GA"
13003,"Atkinson, GA"
13005,"Bacon, GA"
13007,"Baker, GA"
13009,"Baldwin, GA"
13011,"Banks, GA"
13013,"Barrow, GA"
13015,"Bartow, GA"
13017,"Ben Hill, GA"
13019,"Berrien, GA"
13021,"Bibb, GA"
13023,"Bleckley, GA"
13025,"Brantley, GA"
13027,"Brooks, GA"
13029,"Bryan, GA"
13031,"Bulloch, GA"
13033,"Burke, GA"
13035,"Butts, GA"
13037,"Calhoun, GA"
13039,"Camden, GA"
13043,"Candler, GA"
13045,"Carroll, GA"
13047,"Catoosa, GA"
13049,"Charlton, GA"
13051,"Chatham, GA"
13053,"Chattahoochee, GA"
13055,"Chattooga, GA"
13057,"Cherokee, GA"
13059,"Clarke, GA"
13061,"Clay, GA"
13063,"Clayton, GA"
13065,"Clinch, GA"
13067,"Cobb, GA"
13069,"Coffee, GA"
13071,"Colquitt, GA"
13073,"Columbia, GA"
13075,"Cook, GA"
13077,"Coweta, GA"
13079,"Crawford, GA"
13081,"Crisp, GA"
13083,"Dade, GA"
13085,"Dawson, GA"
13087,"Decatur, GA"
13089,"DeKalb, GA"
13091,"Dodge, GA"
13093,"Dooly, GA"
13095,"Dougherty, GA"
13097,"Douglas, GA"
13099,"Early, GA"
13101,"Echols, GA"
13103,"Effingham, GA"
13105,"Elbert, GA"
13107,"Emanuel, GA"
13109,"Evans, GA"
13111,"Fannin, GA"
13113,"Fayette, GA"
13115,"Floyd, GA"
13117,"Forsyth, GA"
13119,"Franklin, GA"
13121,"Fulton, GA"
13123,"Gilmer, GA"
13125,"Glascock, GA"
13127,"Glynn, GA"
13129,"Gordon, GA"
13131,"Grady, GA"
13133,"Greene, GA"
13135,"Gwinnett, GA"
13137,"Habersham, GA"
13139,"Hall, GA"
13141,"Hancock, GA"
13143,"Haralson, GA"
13145,"Harris, GA"
13147,"Hart, GA"
13149,"Heard, GA"
13151,"Henry, GA"
13153,"Houston, GA"
13155,"Irwin, GA"
13157,"Jackson, GA"
13159,"Jasper, GA"
13161,"Jeff Davis, GA"
13163,"Jefferson, GA"
13165,"Jenkins, GA"
13167,"Johnson, GA"
13169,"Jones, GA"
13171,"Lamar, GA"
13173,"Lanier, GA"
13175,"Laurens, GA"
13177,"Lee, GA"
13179,"Liberty, GA"
13181,"Lincoln, GA"
13183,"Long, GA"
13185,"Lowndes, GA"
13187,"Lumpkin, GA"
13189,"McDuffie, GA"
13191,"McIntosh, GA"
13193,"Macon, GA"
13195,"Madison, GA"
13197,"Marion, GA"
13199,"Meriwether, GA"
13201,"Miller, GA"
13205,"Mitchell, GA"
13207,"Monroe, GA"
13209,"Montgomery, GA"
13211,"Morgan, GA"
13213,"Murray, GA"
13215,"Muscogee, GA"
13217,"Newton, GA"
13219,"Oconee, GA"
13221,"Oglethorpe, GA"
13223,"Paulding, GA"
13225,"Peach, GA"
13227,"Pickens, GA"
13229,"Pierce, GA"
13231,"Pike, GA"
13233,"Polk, GA"
13235,"Pulaski, GA"
13237,"Putnam, GA"
13239,"Quitman, GA"
13241,"Rabun, GA"
13243,"Randolph, GA"
13245,"Richmond, GA"
13247,"Rockdale, GA"
13249,"Schley, GA"
13251,"Screven, GA"
13253,"Seminole, GA"
13255,"Spalding, GA"
13257,"Stephens, GA"
13259,"Stewart, GA"
13261,"Sumter, GA"
13263,"Talbot, GA"
13265,"Taliaferro, GA"
13267,"Tattnall, GA"
13269,"Taylor, GA"
13271,"Telfair, GA"
13273,"Terrell, GA"
13275,"Thomas, GA"
13277,"Tift, GA"
13279,"Toombs, GA"
13281,"Towns, GA"
13283,"Treutlen, GA"
13285,"Troup, GA"
13287,"Turner, GA"
13289,"Twiggs, GA"
13291,"Union, GA"
13293,"Upson, GA"
13295,"Walker, GA"
13297,"Walton, GA"
13299,"Ware, GA"
13301,"Warren, GA"
13303,"Washington, GA"
13305,"Wayne, GA"
13307,"Webster, GA"
13309,"Wheeler, GA"
13311,"White, GA"
13313,"Whitfield, GA"
13315,"Wilcox, GA"
13317,"Wilkes, GA"
13319,"Wilkinson, GA"
13321,"Worth, GA"
15001,"Hawaii, HI"
15003,"Honolulu, HI"
15005,"Kalawao, HI"
15007,"Kauai, HI"
15009,"Maui, HI"
16001,"Ada, ID"
16003,"Adams, ID"
16005,"Bannock, ID"
16007,"Bear Lake, ID"
16009,"Benewah, ID"
16011,"Bingham, ID"
16013,"Blaine, ID"
16015,"Boise, ID"
16017,"Bonner, ID"
16019,"Bonneville, ID"
16021,"Boundary, ID"
16023,"Butte, ID"
16025,"Camas, ID"
16027,"Canyon, ID"
16029,"Caribou, ID"
16031,"Cassia, ID"
16033,"Clark, ID"
16035,"Clearwater, ID"
16037,"Custer, ID"
16039,"Elmore, ID"
16041,"Franklin, ID"
16043,"Fremont, ID"
16045,"Gem, ID"
16047,"Gooding, ID"
16049,"Idaho, ID"
16051,"Jefferson, ID"
16053,"Jerome, ID"
16055,"Kootenai, ID"
16057,"Latah, ID"
16059,"Lemhi, ID"
16061,"Lewis, ID"
16063,"Lincoln, ID"
16065,"Madison, ID"
16067,"Minidoka, ID"
16069,"Nez Perce, ID"
16071,"Oneida, ID"
16073,"Owyhee, ID"
16075,"Payette, ID"
16077,"Power, ID"
16079,"Shoshone, ID"
16081,"Teton, ID"
16083,"Twin Falls, ID"
16085,"Valley, ID"
16087,"Washington, ID"
17001,"Adams, IL"
17003,"Alexander, IL"
17005,"Bond, IL"
17007,"Boone, IL"
17009,"Brown, IL"
17011,"Bureau, IL"
17013,"Calhoun, IL"
17015,"Carroll, IL"
17017,"Cass, IL"
17019,"Champaign, IL"
17021,"Christian, IL"
17023,"Clark, IL"
17025,"Clay, IL"
17027,"Clinton, IL"
17029,"Coles, IL"
17031,"Cook, IL"
17033,"Crawford, IL"
17035,"Cumberland, IL"
17037,"DeKalb, IL"
17039,"De Witt, IL"
17041,"Douglas, IL"
17043,"DuPage, IL"
17045,"Edgar, IL"
17047,"Edwards, IL"
17049,"Effingham, IL"
17051,"Fayette, IL"
17053,"Ford, IL"
17055,"Franklin, IL"
17057,"Fulton, IL"
17059,"Gallatin, IL"
17061,"Greene, IL"
17063,"Grundy, IL"
17065,"Hamilton, IL"
17067,"Hancock, IL"
17069,"Hardin, IL"
17071,"Henderson, IL"
17073,"Henry, IL"
17075,"Iroquois, IL"
17077,"Jackson, IL"
17079,"Jasper, IL"
17081,"Jefferson, IL"
