geography,label
46,"South Dakota"
46003,"Aurora, SD"
46005,"Beadle, SD"
46007,"Bennett, SD"
46009,"Bon Homme, SD"
46011,"Brookings, SD"
46013,"Brown, SD"
46015,"Brule, SD"
46017,"Buffalo, SD"
46019,"Butte, SD"
46021,"Campbell, SD"
46023,"Charles Mix, SD"
46025,"Clark, SD"
46027,"Clay, SD"
46029,"Codington, SD"
46031,"Corson, SD"
46033,"Custer, SD"
46035,"Davison, SD"
46037,"Day, SD"
46039,"Deuel, SD"
46041,"Dewey, SD"
46043,"Douglas, SD"
46045,"Edmunds, SD"
46047,"Fall River, SD"
46049,"Faulk, SD"
46051,"Grant, SD"
46053,"Gregory, SD"
46055,"Haakon, SD"
46057,"Hamlin, SD"
46059,"Hand, SD"
46061,"Hanson, SD"
46063,"Harding, SD"
46065,"Hughes, SD"
46067,"Hutchinson, SD"
46069,"Hyde, SD"
46071,"Jackson, SD"
46073,"Jerauld, SD"
46075,"Jones, SD"
46077,"Kingsbury, SD"
46079,"Lake, SD"
46081,"Lawrence, SD"
46083,"Lincoln, SD"
46085,"Lyman, SD"
46087,"McCook, SD"
46089,"McPherson, SD"
46091,"Marshall, SD"
46093,"Meade, SD"
46095,"Mellette, SD"
46097,"Miner, SD"
46099,"Minnehaha, SD"
46101,"Moody, SD"
4610100,"Aberdeen, SD"
46102,"Oglala Lakota, SD"
46103,"Pennington, SD"
46105,"Perkins, SD"
46107,"Potter, SD"
46109,"Roberts, SD"
46111,"Sanborn, SD"
46115,"Spink, SD"
46117,"Stanley, SD"
46119,"Sully, SD"
46121,"Todd, SD"
46123,"Tripp, SD"
46125,"Turner, SD"
46127,"Union, SD"
46129,"Walworth, SD"
46135,"Yankton, SD"
46137,"Ziebach, SD"
4615100,"Brookings, SD"
4626700,"Huron, SD"
4633580,"Mitchell, SD"
4638180,"Pierre, SD"
4639660,"Rapid City, SD"
46396600,"Rapid City MSA WIB"
4643580,"Sioux City, IA-NE-SD (SD part)"
4643620,"Sioux Falls, SD"
46436200,"Sioux Falls MSA WIB"
4643940,"Spearfish, SD"
46460001,"Central Area WIB"
46460002,"East Area WIB"
46460003,"West Area WIB"
4646820,"Vermillion, SD"
4647980,"Watertown, SD"
4649460,"Yankton, SD"
4699999,"Nonmetropolitan, nonmicropolitan"
