geography,label
16,"Idaho"
16001,"Ada, ID"
16003,"Adams, ID"
16005,"Bannock, ID"
16007,"Bear Lake, ID"
16009,"Benewah, ID"
16011,"Bingham, ID"
16013,"Blaine, ID"
16015,"Boise, ID"
16017,"Bonner, ID"
16019,"Bonneville, ID"
16021,"Boundary, ID"
16023,"Butte, ID"
16025,"Camas, ID"
16027,"Canyon, ID"
16029,"Caribou, ID"
16031,"Cassia, ID"
16033,"Clark, ID"
16035,"Clearwater, ID"
16037,"Custer, ID"
16039,"Elmore, ID"
16041,"Franklin, ID"
16043,"Fremont, ID"
16045,"Gem, ID"
16047,"Gooding, ID"
16049,"Idaho, ID"
16051,"Jefferson, ID"
16053,"Jerome, ID"
16055,"Kootenai, ID"
16057,"Latah, ID"
16059,"Lemhi, ID"
16061,"Lewis, ID"
16063,"Lincoln, ID"
16065,"Madison, ID"
16067,"Minidoka, ID"
16069,"Nez Perce, ID"
16071,"Oneida, ID"
16073,"Owyhee, ID"
16075,"Payette, ID"
16077,"Power, ID"
16079,"Shoshone, ID"
16081,"Teton, ID"
16083,"Twin Falls, ID"
16085,"Valley, ID"
16087,"Washington, ID"
1613940,"Blackfoot, ID"
1614260,"Boise City, ID"
1615420,"Burley, ID"
16160010,"01 North WIB"
16160020,"02 North Central WIB"
16160030,"03 Southwest WIB"
16160040,"04 South Central WIB"
16160050,"05 Southeast WIB"
16160060,"06 Northeast WIB"
1617660,"Coeur dAlene, ID"
1625200,"Hailey, ID"
1626820,"Idaho Falls, ID"
1627220,"Jackson, WY-ID (ID part)"
1630300,"Lewiston, ID-WA (ID part)"
1630860,"Logan, UT-ID (ID part)"
1634140,"Moscow, ID"
1634300,"Mountain Home, ID"
1636620,"Ontario, OR-ID (ID part)"
1638540,"Pocatello, ID"
1639940,"Rexburg, ID"
1641760,"Sandpoint, ID"
1646300,"Twin Falls, ID"
1699999,"Nonmetropolitan, nonmicropolitan"
