geography,label
22,"Louisiana"
22001,"Acadia, LA"
22003,"Allen, LA"
22005,"Ascension, LA"
22007,"Assumption, LA"
22009,"Avoyelles, LA"
22011,"Beauregard, LA"
22013,"Bienville, LA"
22015,"Bossier, LA"
22017,"Caddo, LA"
22019,"Calcasieu, LA"
22021,"Caldwell, LA"
22023,"Cameron, LA"
22025,"Catahoula, LA"
22027,"Claiborne, LA"
22029,"Concordia, LA"
22031,"De Soto, LA"
22033,"East Baton Rouge, LA"
22035,"East Carroll, LA"
22037,"East Feliciana, LA"
22039,"Evangeline, LA"
22041,"Franklin, LA"
22043,"Grant, LA"
22045,"Iberia, LA"
22047,"Iberville, LA"
22049,"Jackson, LA"
22051,"Jefferson, LA"
22053,"Jefferson Davis, LA"
22055,"Lafayette, LA"
22057,"Lafourche, LA"
22059,"LaSalle, LA"
22061,"Lincoln, LA"
22063,"Livingston, LA"
22065,"Madison, LA"
22067,"Morehouse, LA"
22069,"Natchitoches, LA"
22071,"Orleans, LA"
22073,"Ouachita, LA"
22075,"Plaquemines, LA"
22077,"Pointe Coupee, LA"
22079,"Rapides, LA"
22081,"Red River, LA"
22083,"Richland, LA"
22085,"Sabine, LA"
22087,"St. Bernard, LA"
22089,"St. Charles, LA"
22091,"St. Helena, LA"
22093,"St. James, LA"
22095,"St. John the Baptist, LA"
22097,"St. Landry, LA"
22099,"St. Martin, LA"
22101,"St. Mary, LA"
22103,"St. Tammany, LA"
22105,"Tangipahoa, LA"
22107,"Tensas, LA"
2210780,"Alexandria, LA"
22109,"Terrebonne, LA"
22111,"Union, LA"
22113,"Vermilion, LA"
22115,"Vernon, LA"
22117,"Washington, LA"
22119,"Webster, LA"
22121,"West Baton Rouge, LA"
22123,"West Carroll, LA"
22125,"West Feliciana, LA"
22127,"Winn, LA"
2212820,"Bastrop, LA"
2212940,"Baton Rouge, LA"
2214220,"Bogalusa, LA"
2219760,"DeRidder, LA"
22220010,"1st Planning District Consortium Parish WIA"
22220011,"Jefferson WIA"
22220012,"Orleans WIA"
22220020,"2nd Planning District Consortium WIA"
22220021,"East Baton Rouge WIA"
22220031,"Terrebonne Consortium WIA"
22220032,"St. Charles Consortium WIA"
22220040,"4th Planning District Consortium WIA"
22220041,"Lafayette WIA"
22220050,"5th Planning District Consortium WIA"
22220051,"Calcasieu Consortium WIA"
22220060,"6th Planning District Consortium WIA"
22220061,"Rapides WIA"
22220070,"7th Planning District Consortium WIA"
22220071,"City of Shreveport WIA"
22220081,"Ouachita WIA"
22220082,"Union WIA"
22220083,"Franklin Parish Consortium WIA"
2222860,"Fort Polk South, LA"
2225220,"Hammond, LA"
2226380,"Houma-Thibodaux, LA"
2229180,"Lafayette, LA"
2229340,"Lake Charles, LA"
2233740,"Monroe, LA"
2234020,"Morgan City, LA"
2235020,"Natchez, MS-LA (LA part)"
2235060,"Natchitoches, LA"
2235380,"New Orleans-Metairie, LA"
2236660,"Opelousas, LA"
2240820,"Ruston, LA"
2243340,"Shreveport-Bossier City, LA"
2299999,"Nonmetropolitan, nonmicropolitan"
