geography,label
29,"Missouri"
29001,"Adair, MO"
29003,"Andrew, MO"
29005,"Atchison, MO"
29007,"Audrain, MO"
29009,"Barry, MO"
29011,"Barton, MO"
29013,"Bates, MO"
29015,"Benton, MO"
29017,"Bollinger, MO"
29019,"Boone, MO"
29021,"Buchanan, MO"
29023,"Butler, MO"
29025,"Caldwell, MO"
29027,"Callaway, MO"
29029,"Camden, MO"
29031,"Cape Girardeau, MO"
29033,"Carroll, MO"
29035,"Carter, MO"
29037,"Cass, MO"
29039,"Cedar, MO"
29041,"Chariton, MO"
29043,"Christian, MO"
29045,"Clark, MO"
29047,"Clay, MO"
29049,"Clinton, MO"
29051,"Cole, MO"
29053,"Cooper, MO"
29055,"Crawford, MO"
29057,"Dade, MO"
29059,"Dallas, MO"
29061,"Daviess, MO"
29063,"DeKalb, MO"
29065,"Dent, MO"
29067,"Douglas, MO"
29069,"Dunklin, MO"
29071,"Franklin, MO"
29073,"Gasconade, MO"
29075,"Gentry, MO"
29077,"Greene, MO"
29079,"Grundy, MO"
29081,"Harrison, MO"
29083,"Henry, MO"
29085,"Hickory, MO"
29087,"Holt, MO"
29089,"Howard, MO"
29091,"Howell, MO"
29093,"Iron, MO"
29095,"Jackson, MO"
29097,"Jasper, MO"
29099,"Jefferson, MO"
29101,"Johnson, MO"
29103,"Knox, MO"
29105,"Laclede, MO"
29107,"Lafayette, MO"
29109,"Lawrence, MO"
29111,"Lewis, MO"
29113,"Lincoln, MO"
29115,"Linn, MO"
29117,"Livingston, MO"
29119,"McDonald, MO"
29121,"Macon, MO"
29123,"Madison, MO"
29125,"Maries, MO"
29127,"Marion, MO"
29129,"Mercer, MO"
29131,"Miller, MO"
29133,"Mississippi, MO"
29135,"Moniteau, MO"
29137,"Monroe, MO"
29139,"Montgomery, MO"
29141,"Morgan, MO"
29143,"New Madrid, MO"
29145,"Newton, MO"
29147,"Nodaway, MO"
2914700,"Branson, MO"
29149,"Oregon, MO"
29151,"Osage, MO"
29153,"Ozark, MO"
29155,"Pemiscot, MO"
29157,"Perry, MO"
29159,"Pettis, MO"
2916020,"Cape Girardeau, MO-IL (MO part)"
29161,"Phelps, MO"
29163,"Pike, MO"
29165,"Platte, MO"
29167,"Polk, MO"
29169,"Pulaski, MO"
29171,"Putnam, MO"
29173,"Ralls, MO"
29175,"Randolph, MO"
29177,"Ray, MO"
2917860,"Columbia, MO"
29179,"Reynolds, MO"
29181,"Ripley, MO"
29183,"St. Charles, MO"
29185,"St. Clair, MO"
29186,"Ste. Genevieve, MO"
29187,"St. Francois, MO"
29189,"St. Louis, MO"
29195,"Saline, MO"
29197,"Schuyler, MO"
29199,"Scotland, MO"
29201,"Scott, MO"
29203,"Shannon, MO"
29205,"Shelby, MO"
29207,"Stoddard, MO"
29209,"Stone, MO"
29211,"Sullivan, MO"
29213,"Taney, MO"
29215,"Texas, MO"
29217,"Vernon, MO"
29219,"Warren, MO"
29221,"Washington, MO"
2922100,"Farmington, MO"
2922220,"Fayetteville-Springdale-Rogers, AR-MO (MO part)"
29223,"Wayne, MO"
29225,"Webster, MO"
29227,"Worth, MO"
2922780,"Fort Leonard Wood, MO"
2922800,"Fort Madison-Keokuk, IA-IL-MO (MO part)"
29229,"Wright, MO"
2925300,"Hannibal, MO"
2927620,"Jefferson City, MO"
2927900,"Joplin, MO"
2928140,"Kansas City, MO-KS (MO part)"
2928380,"Kennett, MO"
2928860,"Kirksville, MO"
29290001,"001 Northwest Region WIB"
29290002,"002 Northeast Region WIB"
29290003,"003 Kansas City Vicinity Region WIB"
29290004,"004 West Central Region WIB"
29290006,"006 St. Louis City Region WIB"
29290007,"007 Southwest Region WIB"
29290008,"008 Ozark Region WIB"
29290010,"010 South Central Region WIB"
29290011,"011 Southeast Region WIB"
29290012,"012 East Jackson County Region WIB"
29290013,"013 St. Louis County Region WIB"
29290014,"014 St. Charles County Region WIB"
29290015,"015 Jefferson/Franklin County Consortium WIB"
292905/9,"5/9 Central Region WIB"
2930060,"Lebanon, MO"
2932180,"Marshall, MO"
2932340,"Maryville, MO"
2933020,"Mexico, MO"
2933620,"Moberly, MO"
2938740,"Poplar Bluff, MO"
2939500,"Quincy, IL-MO (MO part)"
2940620,"Rolla, MO"
2941140,"St. Joseph, MO-KS (MO part)"
2941180,"St. Louis, MO-IL (MO part)"
2942740,"Sedalia, MO"
2943460,"Sikeston, MO"
2944180,"Springfield, MO"
2947660,"Warrensburg, MO"
2948460,"West Plains, MO"
29510,"St. Louis, MO"
2999999,"Nonmetropolitan, nonmicropolitan"
