geography,label
36,"New York"
36001,"Albany, NY"
36003,"Allegany, NY"
36005,"Bronx, NY"
36007,"Broome, NY"
36009,"Cattaraugus, NY"
36011,"Cayuga, NY"
36013,"Chautauqua, NY"
36015,"Chemung, NY"
36017,"Chenango, NY"
36019,"Clinton, NY"
36021,"Columbia, NY"
36023,"Cortland, NY"
36025,"Delaware, NY"
36027,"Dutchess, NY"
36029,"Erie, NY"
36031,"Essex, NY"
36033,"Franklin, NY"
36035,"Fulton, NY"
36037,"Genesee, NY"
36039,"Greene, NY"
36041,"Hamilton, NY"
36043,"Herkimer, NY"
36045,"Jefferson, NY"
36047,"Kings, NY"
36049,"Lewis, NY"
36051,"Livingston, NY"
36053,"Madison, NY"
36055,"Monroe, NY"
36057,"Montgomery, NY"
36059,"Nassau, NY"
36061,"New York, NY"
36063,"Niagara, NY"
36065,"Oneida, NY"
36067,"Onondaga, NY"
36069,"Ontario, NY"
36071,"Orange, NY"
36073,"Orleans, NY"
36075,"Oswego, NY"
36077,"Otsego, NY"
36079,"Putnam, NY"
36081,"Queens, NY"
36083,"Rensselaer, NY"
36085,"Richmond, NY"
36087,"Rockland, NY"
36089,"St. Lawrence, NY"
36091,"Saratoga, NY"
36093,"Schenectady, NY"
36095,"Schoharie, NY"
36097,"Schuyler, NY"
36099,"Seneca, NY"
36101,"Steuben, NY"
36103,"Suffolk, NY"
36105,"Sullivan, NY"
3610580,"Albany-Schenectady-Troy, NY"
36107,"Tioga, NY"
36109,"Tompkins, NY"
36111,"Ulster, NY"
3611220,"Amsterdam, NY"
36113,"Warren, NY"
36115,"Washington, NY"
36117,"Wayne, NY"
36119,"Westchester, NY"
36121,"Wyoming, NY"
3612180,"Auburn, NY"
36123,"Yates, NY"
3612860,"Batavia, NY"
3613780,"Binghamton, NY"
3615380,"Buffalo-Cheektowaga-Niagara Falls, NY"
3618500,"Corning, NY"
3618660,"Cortland, NY"
3621300,"Elmira, NY"
3624020,"Glens Falls, NY"
3624100,"Gloversville, NY"
3626460,"Hudson, NY"
3627060,"Ithaca, NY"
3627460,"Jamestown-Dunkirk-Fredonia, NY"
3628740,"Kingston, NY"
3631660,"Malone, NY"
3635620,"New York-Newark-Jersey City, NY-NJ-PA (NY part)"
36360051,"Albany/Rensselaer/Schenectady LWIA"
36360151,"New York City LWIA"
36360302,"City of Yonkers LWIA"
36360451,"Chemung/Schuyler/Steuben LWIA"
36360602,"Hempstead/Long Beach Consortium LWIA"
36360651,"Jefferson/Lewis LWIA"
36360752,"Oyster Bay/North Hempstead/Glen Cove LWIA"
36360801,"Niagara County LWIA"
36360901,"Oneida/Herkimer/Madison LWIA"
36360951,"Orange County LWIA"
36361001,"Oswego County LWIA"
36361051,"Rockland County LWIA"
36361101,"St. Lawrence County LWIA"
36361151,"Saratoga/Warren/Washington LWIA"
36361201,"Suffolk County LWIA"
36361251,"Ulster County LWIA"
36361351,"Columbia/Greene LWIA"
36361401,"Sullivan County LWIA"
36361451,"Fulton/Montgomery/Schoharie LWIA"
36361501,"Clinton/Essex/Franklin/Hamilton LWIA"
36361551,"Chenango/Delaware/Otsego LWIA"
36361651,"Ontario/Seneca/Wayne/Yates LWIA"
36361701,"Genesee/Livingston/Orleans/Wyoming LWIA"
36361751,"Erie County LWIA"
36361851,"Onondaga County LWIA"
36361951,"Cayuga/Cortland LWIA"
36362101,"Allegany/Cattaraugus LWIA"
36362151,"Chautauqua County LWIA"
36362201,"Broome/Tioga LWIA"
36362251,"Tompkins County LWIA"
36362301,"Dutchess County LWIA"
36362352,"Putnam/Westchester LWIA"
36362401,"Monroe County LWIA"
3636300,"Ogdensburg-Massena, NY"
3636460,"Olean, NY"
3636580,"Oneonta, NY"
3638460,"Plattsburgh, NY"
3640380,"Rochester, NY"
3642900,"Seneca Falls, NY"
3645060,"Syracuse, NY"
3646540,"Utica-Rome, NY"
3648060,"Watertown-Fort Drum, NY"
3699999,"Nonmetropolitan, nonmicropolitan"
