geography,label
28,"Mississippi"
28001,"Adams, MS"
28003,"Alcorn, MS"
28005,"Amite, MS"
28007,"Attala, MS"
28009,"Benton, MS"
28011,"Bolivar, MS"
28013,"Calhoun, MS"
28015,"Carroll, MS"
28017,"Chickasaw, MS"
28019,"Choctaw, MS"
28021,"Claiborne, MS"
28023,"Clarke, MS"
28025,"Clay, MS"
28027,"Coahoma, MS"
28029,"Copiah, MS"
28031,"Covington, MS"
28033,"DeSoto, MS"
28035,"Forrest, MS"
28037,"Franklin, MS"
28039,"George, MS"
28041,"Greene, MS"
28043,"Grenada, MS"
28045,"Hancock, MS"
28047,"Harrison, MS"
28049,"Hinds, MS"
28051,"Holmes, MS"
28053,"Humphreys, MS"
28055,"Issaquena, MS"
28057,"Itawamba, MS"
28059,"Jackson, MS"
28061,"Jasper, MS"
28063,"Jefferson, MS"
28065,"Jefferson Davis, MS"
28067,"Jones, MS"
28069,"Kemper, MS"
28071,"Lafayette, MS"
28073,"Lamar, MS"
28075,"Lauderdale, MS"
28077,"Lawrence, MS"
28079,"Leake, MS"
28081,"Lee, MS"
28083,"Leflore, MS"
28085,"Lincoln, MS"
28087,"Lowndes, MS"
28089,"Madison, MS"
28091,"Marion, MS"
28093,"Marshall, MS"
28095,"Monroe, MS"
28097,"Montgomery, MS"
28099,"Neshoba, MS"
28101,"Newton, MS"
28103,"Noxubee, MS"
28105,"Oktibbeha, MS"
28107,"Panola, MS"
28109,"Pearl River, MS"
28111,"Perry, MS"
28113,"Pike, MS"
28115,"Pontotoc, MS"
28117,"Prentiss, MS"
28119,"Quitman, MS"
28121,"Rankin, MS"
28123,"Scott, MS"
28125,"Sharkey, MS"
28127,"Simpson, MS"
28129,"Smith, MS"
28131,"Stone, MS"
28133,"Sunflower, MS"
28135,"Tallahatchie, MS"
28137,"Tate, MS"
28139,"Tippah, MS"
28141,"Tishomingo, MS"
28143,"Tunica, MS"
28145,"Union, MS"
28147,"Walthall, MS"
28149,"Warren, MS"
2815020,"Brookhaven, MS"
28151,"Washington, MS"
28153,"Wayne, MS"
28155,"Webster, MS"
28157,"Wilkinson, MS"
28159,"Winston, MS"
28161,"Yalobusha, MS"
28163,"Yazoo, MS"
2817260,"Clarksdale, MS"
2817380,"Cleveland, MS"
2818060,"Columbus, MS"
2818420,"Corinth, MS"
2824740,"Greenville, MS"
2824900,"Greenwood, MS"
2824980,"Grenada, MS"
2825060,"Gulfport-Biloxi-Pascagoula, MS"
2825620,"Hattiesburg, MS"
2826940,"Indianola, MS"
2827140,"Jackson, MS"
28280001,"01 Delta WIB"
28280002,"02 The Mississippi Partnership WIB"
28280003,"03 Southcentral Mississippi Works WIB"
28280004,"04 Twin Districts WIB"
2829860,"Laurel, MS"
2832620,"McComb, MS"
2832820,"Memphis, TN-MS-AR (MS part)"
2832940,"Meridian, MS"
2835020,"Natchez, MS-LA (MS part)"
2837060,"Oxford, MS"
2838100,"Picayune, MS"
2844260,"Starkville, MS"
2846180,"Tupelo, MS"
2846980,"Vicksburg, MS"
2899999,"Nonmetropolitan, nonmicropolitan"
