geography,label
47,"Tennessee"
47001,"Anderson, TN"
47003,"Bedford, TN"
47005,"Benton, TN"
47007,"Bledsoe, TN"
47009,"Blount, TN"
47011,"Bradley, TN"
47013,"Campbell, TN"
47015,"Cannon, TN"
47017,"Carroll, TN"
47019,"Carter, TN"
47021,"Cheatham, TN"
47023,"Chester, TN"
47025,"Claiborne, TN"
47027,"Clay, TN"
47029,"Cocke, TN"
47031,"Coffee, TN"
47033,"Crockett, TN"
47035,"Cumberland, TN"
47037,"Davidson, TN"
47039,"Decatur, TN"
47041,"DeKalb, TN"
47043,"Dickson, TN"
47045,"Dyer, TN"
47047,"Fayette, TN"
47049,"Fentress, TN"
47051,"Franklin, TN"
47053,"Gibson, TN"
47055,"Giles, TN"
47057,"Grainger, TN"
47059,"Greene, TN"
47061,"Grundy, TN"
47063,"Hamblen, TN"
47065,"Hamilton, TN"
47067,"Hancock, TN"
47069,"Hardeman, TN"
47071,"Hardin, TN"
47073,"Hawkins, TN"
47075,"Haywood, TN"
47077,"Henderson, TN"
47079,"Henry, TN"
47081,"Hickman, TN"
47083,"Houston, TN"
47085,"Humphreys, TN"
47087,"Jackson, TN"
47089,"Jefferson, TN"
47091,"Johnson, TN"
47093,"Knox, TN"
47095,"Lake, TN"
47097,"Lauderdale, TN"
47099,"Lawrence, TN"
47101,"Lewis, TN"
47103,"Lincoln, TN"
47105,"Loudon, TN"
47107,"McMinn, TN"
47109,"McNairy, TN"
47111,"Macon, TN"
47113,"Madison, TN"
47115,"Marion, TN"
47117,"Marshall, TN"
47119,"Maury, TN"
4711940,"Athens, TN"
47121,"Meigs, TN"
47123,"Monroe, TN"
47125,"Montgomery, TN"
47127,"Moore, TN"
47129,"Morgan, TN"
47131,"Obion, TN"
47133,"Overton, TN"
47135,"Perry, TN"
47137,"Pickett, TN"
47139,"Polk, TN"
47141,"Putnam, TN"
47143,"Rhea, TN"
47145,"Roane, TN"
47147,"Robertson, TN"
47149,"Rutherford, TN"
47151,"Scott, TN"
47153,"Sequatchie, TN"
47155,"Sevier, TN"
47157,"Shelby, TN"
47159,"Smith, TN"
47161,"Stewart, TN"
47163,"Sullivan, TN"
47165,"Sumner, TN"
47167,"Tipton, TN"
4716860,"Chattanooga, TN-GA (TN part)"
47169,"Trousdale, TN"
47171,"Unicoi, TN"
47173,"Union, TN"
4717300,"Clarksville, TN-KY (TN part)"
4717420,"Cleveland, TN"
47175,"Van Buren, TN"
47177,"Warren, TN"
47179,"Washington, TN"
47181,"Wayne, TN"
4718260,"Cookeville, TN"
47183,"Weakley, TN"
47185,"White, TN"
47187,"Williamson, TN"
47189,"Wilson, TN"
4718900,"Crossville, TN"
4719420,"Dayton, TN"
4720540,"Dyersburg, TN"
4724620,"Greeneville, TN"
4727180,"Jackson, TN"
4727740,"Johnson City, TN"
4728700,"Kingsport-Bristol-Bristol, TN-VA (TN part)"
4728940,"Knoxville, TN"
4729980,"Lawrenceburg, TN"
4730280,"Lewisburg, TN"
4732280,"Martin, TN"
4732660,"McMinnville, TN"
4732820,"Memphis, TN-MS-AR (TN part)"
4734100,"Morristown, TN"
4734980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
4735460,"Newport, TN"
4737540,"Paris, TN"
4742940,"Sevierville, TN"
4743180,"Shelbyville, TN"
4746100,"Tullahoma-Manchester, TN"
4746460,"Union City, TN-KY (TN part)"
4799999,"Nonmetropolitan, nonmicropolitan"
47LWIA01,"01 Local Workforce Investment Area"
47LWIA02,"02 Local Workforce Investment Area"
47LWIA03,"03 Local Workforce Investment Area"
47LWIA04,"04 Local Workforce Investment Area"
47LWIA05,"05 Local Workforce Investment Area"
47LWIA06,"06 Local Workforce Investment Area"
47LWIA07,"07 Local Workforce Investment Area"
47LWIA08,"08 Local Workforce Investment Area"
47LWIA09,"09 Local Workforce Investment Area"
47LWIA10,"10 Local Workforce Investment Area"
47LWIA11,"11 Local Workforce Investment Area"
47LWIA12,"12 Local Workforce Investment Area"
47LWIA13,"13 Local Workforce Investment Area"
