geography,label
54,"West Virginia"
54001,"Barbour, WV"
54003,"Berkeley, WV"
54005,"Boone, WV"
54007,"Braxton, WV"
54009,"Brooke, WV"
54011,"Cabell, WV"
54013,"Calhoun, WV"
54015,"Clay, WV"
54017,"Doddridge, WV"
54019,"Fayette, WV"
54021,"Gilmer, WV"
54023,"Grant, WV"
54025,"Greenbrier, WV"
54027,"Hampshire, WV"
54029,"Hancock, WV"
54031,"Hardy, WV"
54033,"Harrison, WV"
54035,"Jackson, WV"
54037,"Jefferson, WV"
54039,"Kanawha, WV"
54041,"Lewis, WV"
54043,"Lincoln, WV"
54045,"Logan, WV"
54047,"McDowell, WV"
54049,"Marion, WV"
54051,"Marshall, WV"
54053,"Mason, WV"
54055,"Mercer, WV"
54057,"Mineral, WV"
54059,"Mingo, WV"
54061,"Monongalia, WV"
54063,"Monroe, WV"
54065,"Morgan, WV"
54067,"Nicholas, WV"
54069,"Ohio, WV"
54071,"Pendleton, WV"
54073,"Pleasants, WV"
54075,"Pocahontas, WV"
54077,"Preston, WV"
54079,"Putnam, WV"
54081,"Raleigh, WV"
54083,"Randolph, WV"
54085,"Ritchie, WV"
54087,"Roane, WV"
54089,"Summers, WV"
54091,"Taylor, WV"
54093,"Tucker, WV"
54095,"Tyler, WV"
54097,"Upshur, WV"
54099,"Wayne, WV"
54101,"Webster, WV"
54103,"Wetzel, WV"
54105,"Wirt, WV"
54107,"Wood, WV"
54109,"Wyoming, WV"
5413220,"Beckley, WV"
5414140,"Bluefield, WV-VA (WV part)"
5416620,"Charleston, WV"
5417220,"Clarksburg, WV"
5419060,"Cumberland, MD-WV (WV part)"
5421180,"Elkins, WV"
5421900,"Fairmont, WV"
5425180,"Hagerstown-Martinsburg, MD-WV (WV part)"
5426580,"Huntington-Ashland, WV-KY-OH (WV part)"
5430880,"Logan, WV"
5434060,"Morgantown, WV"
5437620,"Parkersburg-Vienna, WV"
5438580,"Point Pleasant, WV-OH (WV part)"
5447900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (WV part)"
5448260,"Weirton-Steubenville, WV-OH (WV part)"
5448540,"Wheeling, WV-OH (WV part)"
5449020,"Winchester, VA-WV (WV part)"
5454WIA1,"01 Workforce Investment Area Region 1"
5454WIA2,"02 Workforce Investment Area Region 2"
5454WIA3,"03 Workforce Investment Area Region 3"
5454WIA4,"04 Workforce Investment Area Region 4"
5454WIA5,"05 Workforce Investment Area Region 5"
5454WIA6,"06 Workforce Investment Area Region 6"
5454WIA7,"07 Workforce Investment Area Region 7"
5499999,"Nonmetropolitan, nonmicropolitan"
