geography,label
56,"Wyoming"
56000001,"01 Wyoming WIB"
56001,"Albany, WY"
56003,"Big Horn, WY"
56005,"Campbell, WY"
56007,"Carbon, WY"
56009,"Converse, WY"
56011,"Crook, WY"
56013,"Fremont, WY"
56015,"Goshen, WY"
56017,"Hot Springs, WY"
56019,"Johnson, WY"
56021,"Laramie, WY"
56023,"Lincoln, WY"
56025,"Natrona, WY"
56027,"Niobrara, WY"
56029,"Park, WY"
56031,"Platte, WY"
56033,"Sheridan, WY"
56035,"Sublette, WY"
56037,"Sweetwater, WY"
56039,"Teton, WY"
56041,"Uinta, WY"
56043,"Washakie, WY"
56045,"Weston, WY"
5616220,"Casper, WY"
5616940,"Cheyenne, WY"
5621740,"Evanston, WY"
5623940,"Gillette, WY"
5627220,"Jackson, WY-ID (WY part)"
5629660,"Laramie, WY"
5640180,"Riverton, WY"
5640540,"Rock Springs, WY"
5643260,"Sheridan, WY"
5699999,"Nonmetropolitan, nonmicropolitan"
