agg_level,worker_char,firm_char,firm_orig_char,j2j,j2jr,j2jod,qwi,geo_level,ind_level,by_ownercode,by_sex,by_agegrp,by_race,by_ethnicity,by_education,by_firmage,by_firmsize
1,,,,0,1,0,0,N,A,0,0,0,0,0,0,0,0
2,Ethnicity,,,0,1,0,0,N,A,0,0,0,0,1,0,0,0
3,Race,,,0,1,0,0,N,A,0,0,0,1,0,0,0,0
4,Race * Ethnicity,,,0,1,0,0,N,A,0,0,0,1,1,0,0,0
5,Education,,,0,1,0,0,N,A,0,0,0,0,0,1,0,0
6,Age,,,0,1,0,0,N,A,0,0,1,0,0,0,0,0
7,Sex,,,0,1,0,0,N,A,0,1,0,0,0,0,0,0
8,Sex * Education,,,0,1,0,0,N,A,0,1,0,0,0,1,0,0
9,Sex * Age,,,0,1,0,0,N,A,0,1,1,0,0,0,0,0
10,,Firm Size,,0,1,0,0,N,A,0,0,0,0,0,0,0,1
11,Ethnicity,Firm Size,,0,0,0,0,N,A,0,0,0,0,1,0,0,1
12,Race,Firm Size,,0,0,0,0,N,A,0,0,0,1,0,0,0,1
13,Race * Ethnicity,Firm Size,,0,0,0,0,N,A,0,0,0,1,1,0,0,1
14,Education,Firm Size,,0,0,0,0,N,A,0,0,0,0,0,1,0,1
15,Age,Firm Size,,0,0,0,0,N,A,0,0,1,0,0,0,0,1
16,Sex,Firm Size,,0,0,0,0,N,A,0,1,0,0,0,0,0,1
17,Sex * Education,Firm Size,,0,0,0,0,N,A,0,1,0,0,0,1,0,1
18,Sex * Age,Firm Size,,0,0,0,0,N,A,0,1,1,0,0,0,0,1
19,,Firm Age,,0,1,0,0,N,A,0,0,0,0,0,0,1,0
20,Ethnicity,Firm Age,,0,0,0,0,N,A,0,0,0,0,1,0,1,0
21,Race,Firm Age,,0,0,0,0,N,A,0,0,0,1,0,0,1,0
22,Race * Ethnicity,Firm Age,,0,0,0,0,N,A,0,0,0,1,1,0,1,0
23,Education,Firm Age,,0,0,0,0,N,A,0,0,0,0,0,1,1,0
24,Age,Firm Age,,0,0,0,0,N,A,0,0,1,0,0,0,1,0
25,Sex,Firm Age,,0,0,0,0,N,A,0,1,0,0,0,0,1,0
26,Sex * Education,Firm Age,,0,0,0,0,N,A,0,1,0,0,0,1,1,0
27,Sex * Age,Firm Age,,0,0,0,0,N,A,0,1,1,0,0,0,1,0
28,,NAICS Sector,,0,1,0,0,N,S,0,0,0,0,0,0,0,0
29,Ethnicity,NAICS Sector,,0,0,0,0,N,S,0,0,0,0,1,0,0,0
30,Race,NAICS Sector,,0,0,0,0,N,S,0,0,0,1,0,0,0,0
