geography,label
12,"Florida"
12000001,"01 Escarosa Regional WDB"
12000002,"02 Okaloosa-Walton WDB"
12000003,"03 Chipola Regional WDB"
12000004,"04 Gulf Coast WDB"
12000005,"05 Big Bend Jobs & Education Council WDB"
12000006,"06 North Florida WDB"
12000007,"07 Florida Crown WDB"
12000008,"08 First Coast WDB"
12000009,"09 Alachua Bradford WDB"
12000010,"10 Citrus Levy Marion Regional WDB"
12000011,"11 Flagler and Volusia Counties WDB"
12000012,"12 Workforce Central Florida WDB"
12000013,"13 Brevard WDB"
12000014,"14 Pinellas WDB"
12000015,"15 Hillsborough County Regional WDB"
12000016,"16 Pasco Hernando WDB"
12000017,"17 Polk County WDB"
12000018,"18 Suncoast WDB"
12000019,"19 Heartland Workforce Investment Board WDB"
12000020,"20 Treasure Coast WDB"
12000021,"21 Palm Beach County WDB"
12000022,"22 Broward WDB"
12000023,"23 Dade and Monroe Counties Regional WDB"
12000024,"24 Southwest Florida WDB"
12001,"Alachua, FL"
12003,"Baker, FL"
12005,"Bay, FL"
12007,"Bradford, FL"
12009,"Brevard, FL"
12011,"Broward, FL"
12013,"Calhoun, FL"
12015,"Charlotte, FL"
12017,"Citrus, FL"
12019,"Clay, FL"
12021,"Collier, FL"
12023,"Columbia, FL"
12027,"DeSoto, FL"
12029,"Dixie, FL"
12031,"Duval, FL"
12033,"Escambia, FL"
12035,"Flagler, FL"
12037,"Franklin, FL"
12039,"Gadsden, FL"
12041,"Gilchrist, FL"
12043,"Glades, FL"
12045,"Gulf, FL"
12047,"Hamilton, FL"
12049,"Hardee, FL"
12051,"Hendry, FL"
12053,"Hernando, FL"
12055,"Highlands, FL"
12057,"Hillsborough, FL"
12059,"Holmes, FL"
12061,"Indian River, FL"
12063,"Jackson, FL"
12065,"Jefferson, FL"
12067,"Lafayette, FL"
12069,"Lake, FL"
12071,"Lee, FL"
12073,"Leon, FL"
12075,"Levy, FL"
12077,"Liberty, FL"
12079,"Madison, FL"
12081,"Manatee, FL"
12083,"Marion, FL"
12085,"Martin, FL"
12086,"Miami-Dade, FL"
12087,"Monroe, FL"
12089,"Nassau, FL"
12091,"Okaloosa, FL"
12093,"Okeechobee, FL"
12095,"Orange, FL"
12097,"Osceola, FL"
12099,"Palm Beach, FL"
12101,"Pasco, FL"
12103,"Pinellas, FL"
12105,"Polk, FL"
12107,"Putnam, FL"
12109,"St. Johns, FL"
12111,"St. Lucie, FL"
12113,"Santa Rosa, FL"
12115,"Sarasota, FL"
1211580,"Arcadia, FL"
12117,"Seminole, FL"
12119,"Sumter, FL"
12121,"Suwannee, FL"
12123,"Taylor, FL"
12125,"Union, FL"
12127,"Volusia, FL"
12129,"Wakulla, FL"
12131,"Walton, FL"
12133,"Washington, FL"
1215980,"Cape Coral-Fort Myers, FL"
1217500,"Clewiston, FL"
1218880,"Crestview-Fort Walton Beach-Destin, FL"
1219660,"Deltona-Daytona Beach-Ormond Beach, FL"
1223540,"Gainesville, FL"
1226140,"Homosassa Springs, FL"
1227260,"Jacksonville, FL"
1228580,"Key West, FL"
1229380,"Lake City, FL"
1229460,"Lakeland-Winter Haven, FL"
1233100,"Miami-Fort Lauderdale-Pompano Beach, FL"
1234940,"Naples-Marco Island, FL"
1235840,"North Port-Bradenton-Sarasota, FL"
1236100,"Ocala, FL"
1236380,"Okeechobee, FL"
1236740,"Orlando-Kissimmee-Sanford, FL"
1237260,"Palatka, FL"
1237340,"Palm Bay-Melbourne-Titusville, FL"
1237380,"Palm Coast, FL"
1237460,"Panama City-Lynn Haven-Panama City Beach, FL"
1237860,"Pensacola-Ferry Pass-Brent, FL"
1238940,"Port St. Lucie, FL"
1239460,"Punta Gorda, FL"
1242680,"Sebastian-Vero Beach, FL"
1242700,"Sebring, FL"
1245220,"Tallahassee, FL"
1245300,"Tampa-St. Petersburg-Clearwater, FL"
1245540,"The Villages, FL"
1248100,"Wauchula, FL"
1299999,"Nonmetropolitan, nonmicropolitan"
