geography,label
26,"Michigan"
26000002,"Region 7B Emp & Trng Consortium"
26000003,"Calhoun Intermediate School District"
26000004,"Saginaw-Midland-Bay Michigan Works!"
26000005,"Berrien-Cass-Van Buren Michigan Works!"
26000006,"Six County Employment Alliance"
26000007,"Detroit Workforce Development Department"
26000009,"Eastern U P Employment & Training Consortium"
26000010,"Career Alliance, Inc."
26000011,"Central Area Michigan Works!"
26000013,"Thumb Area Employment & Training Consortium"
26000014,"Kalamazoo-St. Joseph Michigan Works!"
26000016,"Michigan Works! West Central"
26000017,"Capital Area Michigan Works!"
26000019,"Macomb/St. Clair Workforce Development Board, Inc."
26000020,"Muskegon-Oceana Consortium"
26000021,"Northeast Michigan Consortium"
26000022,"Northwest Michigan Council of Governments"
26000023,"Oakland County Employment and Training Division"
26000026,"Western Upper Peninsula Michigan Works!"
26000029,"Livingston County Michigan Works!"
26000030,"Washtenaw County Employment Training and Community"
26000031,"Southeast Michigan Community Alliance"
26000032,"Ottawa County Michigan Works!"
26000033,"Kent & Allegan Michigan Works!"
26000034,"South Central Michigan Works!"
26001,"Alcona, MI"
26003,"Alger, MI"
26005,"Allegan, MI"
26007,"Alpena, MI"
26009,"Antrim, MI"
26011,"Arenac, MI"
26013,"Baraga, MI"
26015,"Barry, MI"
26017,"Bay, MI"
26019,"Benzie, MI"
26021,"Berrien, MI"
26023,"Branch, MI"
26025,"Calhoun, MI"
26027,"Cass, MI"
26029,"Charlevoix, MI"
26031,"Cheboygan, MI"
26033,"Chippewa, MI"
26035,"Clare, MI"
26037,"Clinton, MI"
26039,"Crawford, MI"
26041,"Delta, MI"
26043,"Dickinson, MI"
26045,"Eaton, MI"
26047,"Emmet, MI"
26049,"Genesee, MI"
26051,"Gladwin, MI"
26053,"Gogebic, MI"
26055,"Grand Traverse, MI"
26057,"Gratiot, MI"
26059,"Hillsdale, MI"
26061,"Houghton, MI"
26063,"Huron, MI"
26065,"Ingham, MI"
26067,"Ionia, MI"
26069,"Iosco, MI"
26071,"Iron, MI"
26073,"Isabella, MI"
26075,"Jackson, MI"
26077,"Kalamazoo, MI"
26079,"Kalkaska, MI"
26081,"Kent, MI"
26083,"Keweenaw, MI"
26085,"Lake, MI"
26087,"Lapeer, MI"
26089,"Leelanau, MI"
26091,"Lenawee, MI"
26093,"Livingston, MI"
26095,"Luce, MI"
26097,"Mackinac, MI"
26099,"Macomb, MI"
26101,"Manistee, MI"
26103,"Marquette, MI"
2610300,"Adrian, MI"
26105,"Mason, MI"
26107,"Mecosta, MI"
2610880,"Allegan, MI"
26109,"Menominee, MI"
2610940,"Alma, MI"
2610980,"Alpena, MI"
26111,"Midland, MI"
26113,"Missaukee, MI"
2611460,"Ann Arbor, MI"
26115,"Monroe, MI"
26117,"Montcalm, MI"
26119,"Montmorency, MI"
26121,"Muskegon, MI"
26123,"Newaygo, MI"
26125,"Oakland, MI"
26127,"Oceana, MI"
26129,"Ogemaw, MI"
2612980,"Battle Creek, MI"
2613020,"Bay City, MI"
26131,"Ontonagon, MI"
26133,"Osceola, MI"
26135,"Oscoda, MI"
2613660,"Big Rapids, MI"
26137,"Otsego, MI"
26139,"Ottawa, MI"
26141,"Presque Isle, MI"
26143,"Roscommon, MI"
26145,"Saginaw, MI"
26147,"St. Clair, MI"
26149,"St. Joseph, MI"
26151,"Sanilac, MI"
26153,"Schoolcraft, MI"
26155,"Shiawassee, MI"
2615620,"Cadillac, MI"
26157,"Tuscola, MI"
26159,"Van Buren, MI"
26161,"Washtenaw, MI"
26163,"Wayne, MI"
26165,"Wexford, MI"
2617740,"Coldwater, MI"
2619820,"Detroit-Warren-Livonia, MI"
2621540,"Escanaba, MI"
2622420,"Flint, MI"
2624340,"Grand Rapids-Wyoming, MI"
2626100,"Holland-Grand Haven, MI"
2626340,"Houghton, MI"
2627020,"Iron Mountain, MI-WI (MI part)"
2627100,"Jackson, MI"
2628020,"Kalamazoo-Portage, MI"
2629620,"Lansing-East Lansing, MI"
2631940,"Marinette, WI-MI (MI part)"
2632100,"Marquette, MI"
2633220,"Midland, MI"
2633780,"Monroe, MI"
2634380,"Mount Pleasant, MI"
2634740,"Muskegon-Norton Shores, MI"
2635660,"Niles-Benton Harbor, MI"
2637020,"Owosso, MI"
2640980,"Saginaw-Saginaw Township North, MI"
2642300,"Sault Ste. Marie, MI"
2643780,"South Bend-Mishawaka, IN-MI (MI part)"
2644780,"Sturgis, MI"
2645900,"Traverse City, MI"
2699999,"Nonmetropolitan, nonmicropolitan"
