geography,label
37,"North Carolina"
37000001,"01 NE Workforce Investment Consortium WDB"
37000005,"05 Cape Fear SDA Job Training Consortium WDB"
37000007,"07 Capital Area Workforce Development WDB"
37000009,"09 Durham Service Delivery Area WDB"
37000011,"11 Centralina Workforce Development Consortium WDB"
37000013,"13 Charlotte/Mecklenburg WDB"
37000015,"15 Cumberland County Local Area WDB"
37000017,"17 Davidson County Local Area WDB"
37000019,"19 Gaston County Local Area WDB"
37000021,"21 Greensboro/High Point/Guilford Consortium WDB"
37000023,"23 Kerr-Tar Council of Governments WDB"
37000025,"25 Lumber River Council of Governments WDB"
37000027,"27 Mid-Carolina Local Area Council of Govts WDB"
37000029,"29 Mountain Area Service Delivery Area WDB"
37000031,"31 Eastern Carolina Job Training Consortium WDB"
37000033,"33 Northwest Piedmont Job Training Consortium WDB"
37000035,"35 Region C Job Training Consortium WDB"
37000037,"37 High Country Council of Governments WDB"
37000039,"39 Pee Dee Region Workforce Consortium WDB"
37000041,"41 Region L Job Training Consortium WDB"
37000043,"43 Region Q Workforce Investment Consortium WDB"
37000045,"45 Regional Partnership Local Area WDB"
37000047,"47 Southwestern Planning Commission WDB"
37000049,"49 Western Piedmont Job Training Consortium WDB"
37001,"Alamance, NC"
37003,"Alexander, NC"
37005,"Alleghany, NC"
37007,"Anson, NC"
37009,"Ashe, NC"
37011,"Avery, NC"
37013,"Beaufort, NC"
37015,"Bertie, NC"
37017,"Bladen, NC"
37019,"Brunswick, NC"
37021,"Buncombe, NC"
37023,"Burke, NC"
37025,"Cabarrus, NC"
37027,"Caldwell, NC"
37029,"Camden, NC"
37031,"Carteret, NC"
37033,"Caswell, NC"
37035,"Catawba, NC"
37037,"Chatham, NC"
37039,"Cherokee, NC"
37041,"Chowan, NC"
37043,"Clay, NC"
37045,"Cleveland, NC"
37047,"Columbus, NC"
37049,"Craven, NC"
37051,"Cumberland, NC"
37053,"Currituck, NC"
37055,"Dare, NC"
37057,"Davidson, NC"
37059,"Davie, NC"
37061,"Duplin, NC"
37063,"Durham, NC"
37065,"Edgecombe, NC"
37067,"Forsyth, NC"
37069,"Franklin, NC"
37071,"Gaston, NC"
37073,"Gates, NC"
37075,"Graham, NC"
37077,"Granville, NC"
37079,"Greene, NC"
37081,"Guilford, NC"
37083,"Halifax, NC"
37085,"Harnett, NC"
37087,"Haywood, NC"
37089,"Henderson, NC"
37091,"Hertford, NC"
37093,"Hoke, NC"
37095,"Hyde, NC"
37097,"Iredell, NC"
37099,"Jackson, NC"
37101,"Johnston, NC"
37103,"Jones, NC"
37105,"Lee, NC"
3710620,"Albemarle, NC"
37107,"Lenoir, NC"
37109,"Lincoln, NC"
37111,"McDowell, NC"
37113,"Macon, NC"
37115,"Madison, NC"
37117,"Martin, NC"
3711700,"Asheville, NC"
37119,"Mecklenburg, NC"
37121,"Mitchell, NC"
37123,"Montgomery, NC"
37125,"Moore, NC"
37127,"Nash, NC"
37129,"New Hanover, NC"
37131,"Northampton, NC"
37133,"Onslow, NC"
37135,"Orange, NC"
37137,"Pamlico, NC"
37139,"Pasquotank, NC"
37141,"Pender, NC"
37143,"Perquimans, NC"
3714380,"Boone, NC"
37145,"Person, NC"
37147,"Pitt, NC"
3714820,"Brevard, NC"
37149,"Polk, NC"
37151,"Randolph, NC"
37153,"Richmond, NC"
37155,"Robeson, NC"
3715500,"Burlington, NC"
37157,"Rockingham, NC"
37159,"Rowan, NC"
37161,"Rutherford, NC"
37163,"Sampson, NC"
37165,"Scotland, NC"
37167,"Stanly, NC"
3716740,"Charlotte-Gastonia-Rock Hill, NC-SC (NC part)"
37169,"Stokes, NC"
37171,"Surry, NC"
37173,"Swain, NC"
37175,"Transylvania, NC"
37177,"Tyrrell, NC"
37179,"Union, NC"
37181,"Vance, NC"
37183,"Wake, NC"
37185,"Warren, NC"
37187,"Washington, NC"
37189,"Watauga, NC"
37191,"Wayne, NC"
37193,"Wilkes, NC"
37195,"Wilson, NC"
37197,"Yadkin, NC"
37199,"Yancey, NC"
3720380,"Dunn, NC"
3720500,"Durham-Chapel Hill, NC"
3721020,"Elizabeth City, NC"
3722180,"Fayetteville, NC"
3722580,"Forest City, NC"
3724140,"Goldsboro, NC"
3724660,"Greensboro-High Point, NC"
3724780,"Greenville, NC"
3725780,"Henderson, NC"
3725860,"Hickory-Lenoir-Morganton, NC"
3727340,"Jacksonville, NC"
3728620,"Kill Devil Hills, NC"
3728820,"Kinston, NC"
3729900,"Laurinburg, NC"
3730740,"Lincolnton, NC"
3731300,"Lumberton, NC"
3733980,"Morehead City, NC"
3734340,"Mount Airy, NC"
3735100,"New Bern, NC"
3735900,"North Wilkesboro, NC"
3739580,"Raleigh-Cary, NC"
3740260,"Roanoke Rapids, NC"
3740460,"Rockingham, NC"
3740580,"Rocky Mount, NC"
3741580,"Salisbury, NC"
3741820,"Sanford, NC"
3743140,"Shelby, NC"
3743860,"Southern Pines-Pinehurst, NC"
3744380,"Statesville-Mooresville, NC"
3745640,"Thomasville-Lexington, NC"
3747260,"Virginia Beach-Norfolk-Newport News, VA-NC (NC part)"
3747820,"Washington, NC"
3748900,"Wilmington, NC"
3748980,"Wilson, NC"
3749180,"Winston-Salem, NC"
3799999,"Nonmetropolitan, nonmicropolitan"
