Indicator Variable,Alternate Name,Status Flag,Indicator Name,Application Name,Description,Units,Base
MHireR,all_doma2_rate,sMHireR,Main Job Accessions,Hires,Rate of hires into a worker's main job,Rate,(MainB+MainE)/2
MSepR,all_doms2_rate,sMSepR,Main Job Separations,Separations ,Rate of separations from a worker's main job,Rate,(MainB+MainE)/2
MJobStartR,all_dest_rate,sMJobStartRate,Main Job Starts,Main Job Starts,Rate of new main jobs due to hires and instances when a previously existing secondary job becomes the main source of earnings,Rate,(MainB+MainE)/2
MJobEndR,all_orgin_rate,sMJobEndRate,Main Job Ends,Main Job Ends,Rate of the end of main jobs due to separations and instances when another job becomes the main source of earnings,Rate,(MainB+MainE)/2
EEHireR,eea_rate,sEEHireRate,EE Accessions,Job-to-Job Hires (Continuous Employment),Rate of hires following a separation with no observed nonemployment spell,Rate,(MainB+MainE)/2
EESepR,ees_rate,sEESepR,EE Separations,Job-to-Job Separations (Continuous Employment),Rate of separations followed by a hire with no observed nonemployment spell,Rate,(MainB+MainE)/2
AQHireR,aq_doma2_rate,sAQHireR,AQ Accessions - Short Duration Nonemployment Spell,Job-to-Job Hires (Brief Nonemployment),Rate of hires following a separation with a short nonemployment spell,Rate,(MainB+MainE)/2
AQSepR,aq_doms2_rate,sAQSepR,AQ Separations - Short Duration Nonemployment Spell,Job-to-Job Separations (Brief Nonemployment),Rate of separations followed by a hire with a short nonemployment spell,Rate,(MainB+MainE)/2
J2JHireR,eeall_doma2_rate,sJ2JHireR,Job-to-Job Accessions,Job-to-Job Hires,Rate of hires following a separation (short or no observed nonemployment spell),Rate,(MainB+MainE)/2
J2JSepR,eeall_doms2_rate,sJ2JSepR,Job-to-Job Separations,Job-to-Job Separations,Rate of separations followed by a hire (short or no observed nonemployment spell),Rate,(MainB+MainE)/2
NEHireR,ne_doma2_rate,sNEHireR,Main Job Accessions - Any Nonemployment Spell,Hires from Nonemployment,Rate of hires following any spell of nonemployment,Rate,(MainB+MainE)/2
ENSepR,en_doms2_rate,sENSepR,Main Job Separations - Any Nonemployment Spell,Separations to Nonemployment,Rate of separations into any spell of nonemployment,Rate,(MainB+MainE)/2
NEPersistR,ne2_doma2_rate,sNEPersistR,Main Job Accessions - Persistent Nonemployment Spell,Hires from Persistent Nonemployment,Rate of hires following a spell of persistent nonemployment,Rate,(MainB+MainE)/2
ENPersistR,en2_doms2_rate,sENPersistR,Main Job Separations - Persistent Nonemployment Spell,Separations to Persistent Nonemployment,Rate of separations into a spell of persistent nonemployment,Rate,(MainB+MainE)/2
NEFullQR,ne2p_doma2_rate,sNEFullQR,Main Job Accessions - Full-qtr Nonemployment Spell,Hires from Full-Quarter Nonemployment,Rate of hires following a spell of full-quarter nonemployment (does not include intermittently employed),Rate,(MainB+MainE)/2
ENFullQR,en2p_doms2_rate,sENFullQR,Main Job Separations - Full-qtr Nonemployment Spell,Separations to Full-Quarter Nonemployment,Rate of separations into a spell of full-quarter nonemployment (does not include intermittently employed),Rate,(MainB+MainE)/2
