Variability measure,Alternate name,Variable name,Units
st_Emp,st_B,Standard error of Beginning-of-Quarter Employment,Count
st_EmpEnd,st_E,Standard error of End-of-Quarter Employment,Count
st_EmpS,st_F,Standard error of Full-Quarter Employment (Stable),Count
st_EmpSpv,st_Fpv,Standard error of Full-Quarter Employment in the Previous Quarter,Count
st_EmpTotal,st_M,Standard error of Employment - Reference Quarter,Count
st_HirA,st_A,Standard error of Hires (All Accessions),Count
st_HirN,st_H,Standard error of New Hires,Count
st_HirR,st_R,Standard error of Recall Hires,Count
st_Sep,st_S,Standard error of Separations (All),Count
st_HirAEnd,st_CA,Standard error of End-of-Quarter Hires,Count
st_HirAEndR,st_CAR,Standard error of End-of-Quarter Hiring Rate,Rate
st_SepBeg,st_CS,Standard error of Beginning-of-Quarter Separations,Count
st_SepBegR,st_CSR,Standard error of Beginning-of-Quarter Separation Rate,Rate
st_HirAS,st_FA,Standard error of Hires (All Hires into Full-Quarter Employment),Count
st_HirNS,st_FH,Standard error of New Hires (New Hires into Full-Quarter Employment),Count
st_SepS,st_FS,Standard error of Separations (Flows out of Full-Quarter Employment),Count
st_SepSnx,st_FSnx,Standard error of Separations in the Next Quarter (Flows out of Full-Quarter Employment),Count
st_TurnOvrS,st_FT,Standard error of Turnover (Stable),Rate
st_FrmJbGn,st_JC,Standard error of Firm Job Gains (Job Creation),Count
st_FrmJbLs,st_JD,Standard error of Firm Job Loss (Job Destruction),Count
st_FrmJbC,st_JF,Standard error of Firm Job Change (Net Change),Count
st_HirAEndRepl,st_EI,Standard error of Replacement Hires,Count
st_HirAEndReplr,st_EIR,Standard error of Replacement Hiring Rate,Rate
st_FrmJbGnS,st_FJC,Standard error of Firm Job Gains (Stable),Count
st_FrmJbLsS,st_FJD,Standard error of Firm Job Loss (Stable),Count
st_FrmJbCS,st_FJF,Standard error of Firm Job Change (Stable; Net Change),Count
st_EarnS,st_ZW3,Standard error of Average Monthly Earnings (Full-Quarter Employment),Dollars
st_EarnBeg,st_ZW1,Standard error of Average Monthly Earnings (Beginning-of-Quarter Employment),Dollars
st_EarnHirAS,st_ZWFA,Standard error of Average Monthly Earnings (All Hires into Full-Quarter Employment),Dollars
st_EarnHirNS,st_ZWFH,Standard error of Average Monthly Earnings (New Hires into Full-Quarter Employment),Dollars
st_EarnSepS,st_ZWFS,Standard error of Average Monthly Earnings (Flows out of Full-Quarter Employment),Dollars
st_Payroll,st_W1,Standard error of Total Quarterly Payroll,Dollars
vt_Emp,vt_B,Total variation of Beginning-of-Quarter Employment,Count
vt_EmpEnd,vt_E,Total variation of End-of-Quarter Employment,Count
vt_EmpS,vt_F,Total variation of Full-Quarter Employment (Stable),Count
vt_EmpSpv,vt_Fpv,Total variation of Full-Quarter Employment in the Previous Quarter,Count
vt_EmpTotal,vt_M,Total variation of Employment - Reference Quarter,Count
