Indicator Variable,Alternate Name,Status Flag,Indicator Name,Units,Base
MHireR,all_doma2_rate,sMHireR,Hires,Rate,(MainB+MainE)/2
MSepR,all_doms2_rate,sMSepR,Separations ,Rate,(MainB+MainE)/2
MJobStartR,all_dest_rate,sMJobStartR,Main Job Starts,Rate,(MainB+MainE)/2
MJobEndR,all_orgin_rate,sMJobEndR,Main Job Ends,Rate,(MainB+MainE)/2
EEHireR,eea_rate,sEEHireR,Job-to-Job Hires (Continuous Employment),Rate,(MainB+MainE)/2
EESepR,ees_rate,sEESepR,Job-to-Job Separations (Continuous Employment),Rate,(MainB+MainE)/2
AQHireR,aq_doma2_rate,sAQHireR,Job-to-Job Hires (Brief Nonemployment),Rate,(MainB+MainE)/2
AQSepR,aq_doms2_rate,sAQSepR,Job-to-Job Separations (Brief Nonemployment),Rate,(MainB+MainE)/2
J2JHireR,eeall_doma2_rate,sJ2JHireR,Job-to-Job Hires,Rate,(MainB+MainE)/2
J2JSepR,eeall_doms2_rate,sJ2JSepR,Job-to-Job Separations,Rate,(MainB+MainE)/2
NEHireR,ne_doma2_rate,sNEHireR,Hires from Nonemployment,Rate,(MainB+MainE)/2
ENSepR,en_doms2_rate,sENSepR,Separations to Nonemployment,Rate,(MainB+MainE)/2
NEPersistR,ne2_doma2_rate,sNEPersistR,Hires from Persistent Nonemployment,Rate,(MainB+MainE)/2
ENPersistR,en2_doms2_rate,sENPersistR,Separations to Persistent Nonemployment,Rate,(MainB+MainE)/2
NEFullQR,ne2p_doma2_rate,sNEFullQR,Hires from Full-Quarter Nonemployment,Rate,(MainB+MainE)/2
ENFullQR,en2p_doms2_rate,sENFullQR,Separations to Full-Quarter Nonemployment,Rate,(MainB+MainE)/2
