Variability measure,Alternate name,Variable name
st_HirAR,st_AR,Standard error of Hiring Rate (Accessions)
st_HirNR,st_HR,Standard error of New Hiring Rate
st_HirRR,st_RR,Standard error of Recall Rate
st_SepR,st_SR,Standard error of Separation Rate
st_HirAEndR,st_CAR,Standard error of End-of-Quarter Hiring Rate
st_SepBegR,st_CSR,Standard error of Beginning-of-Quarter Separation Rate
st_HirAsR,st_FAR,Standard error of Stable Hiring Rate (Flows into Full-Quarter Employment)
st_HirNsR,st_FHR,Standard error of Stable New Hiring Rate (New Hires to Full-Quarter Status)
st_SepSR,st_FSR,Standard error of Stable Separation Rate (Flow out of Full-Quarter Employment)
st_SepSnxR,st_FSnxR,Standard error of Stable Separation Rate: Next Quarter (Flow out of Full-Quarter Employment)
st_TurnOvrSR,st_FTR,Standard error of Turnover Rate (Stable)
st_FrmJbGnR,st_JCR,Standard error of Firm Job Gain Rate (Job Creation Rate)
st_FrmJbLsR,st_JDR,Standard error of Firm Job Loss Rate (Job Destruction Rate)
st_FrmJbCR,st_JFR,Standard error of Firm Job Change Rate: Net Change Rate
st_HirAEndReplR,st_EIR,Standard error of Replacement Hiring Rate
st_FrmJbGnSR,st_FJCR,Standard error of Firm Job Gain Rate (Stable)
st_FrmJbLsSR,st_FJDR,Standard error of Firm Job Loss Rate (Stable)
st_FrmJbCSR,st_FJFR,Standard error of Job Change Rate (Stable): Net Change Rate
vt_HirAR,vt_AR,Total variation of Hiring Rate (Accessions)
vt_HirNR,vt_HR,Total variation of New Hiring Rate
vt_HirRR,vt_RR,Total variation of Recall Rate
vt_SepR,vt_SR,Total variation of Separation Rate
vt_HirAEndR,vt_CAR,Total variation of End-of-Quarter Hiring Rate
vt_SepBegR,vt_CSR,Total variation of Beginning-of-Quarter Separation Rate
vt_HirAsR,vt_FAR,Total variation of Stable Hiring Rate (Flows into Full-Quarter Employment)
vt_HirNsR,vt_FHR,Total variation of Stable New Hiring Rate (New Hires to Full-Quarter Status)
vt_SepSR,vt_FSR,Total variation of Stable Separation Rate (Flow out of Full-Quarter Employment)
vt_SepSnxR,vt_FSnxR,Total variation of Stable Separation Rate: Next Quarter (Flow out of Full-Quarter Employment)
vt_TurnOvrSR,vt_FTR,Total variation of Turnover Rate (Stable)
vt_FrmJbGnR,vt_JCR,Total variation of Firm Job Gain Rate (Job Creation Rate)
vt_FrmJbLsR,vt_JDR,Total variation of Firm Job Loss Rate (Job Destruction Rate)
vt_FrmJbCR,vt_JFR,Total variation of Firm Job Change Rate: Net Change Rate
vt_HirAEndReplR,vt_EIR,Total variation of Replacement Hiring Rate
vt_FrmJbGnSR,vt_FJCR,Total variation of Firm Job Gain Rate (Stable)
vt_FrmJbLsSR,vt_FJDR,Total variation of Firm Job Loss Rate (Stable)
vt_FrmJbCSR,vt_FJFR,Total variation of Job Change Rate (Stable): Net Change Rate
vb_HirAR,vb_AR,Between-implicate variability for Hiring Rate (Accessions)
vb_HirNR,vb_HR,Between-implicate variability for New Hiring Rate
vb_HirRR,vb_RR,Between-implicate variability for Recall Rate
vb_SepR,vb_SR,Between-implicate variability for Separation Rate
vb_HirAEndR,vb_CAR,Between-implicate variability for End-of-Quarter Hiring Rate
vb_SepBegR,vb_CSR,Between-implicate variability for Beginning-of-Quarter Separation Rate
vb_HirAsR,vb_FAR,Between-implicate variability for Stable Hiring Rate (Flows into Full-Quarter Employment)
vb_HirNsR,vb_FHR,Between-implicate variability for Stable New Hiring Rate (New Hires to Full-Quarter Status)
vb_SepSR,vb_FSR,Between-implicate variability for Stable Separation Rate (Flow out of Full-Quarter Employment)
vb_SepSnxR,vb_FSnxR,Between-implicate variability for Stable Separation Rate: Next Quarter (Flow out of Full-Quarter Employment)
vb_TurnOvrSR,vb_FTR,Between-implicate variability for Turnover Rate (Stable)
