geography,label
25,"Massachusetts"
25000001,"Berkshire County WIA"
25000002,"Franklin/Hampshire WIA"
25000003,"Hampden County WIA"
25000004,"North Central WIA"
25000005,"Central MA WIA"
25000006,"Greater Lowell WIA"
25000007,"Lower Merrimack Valley WIA"
25000008,"North Shore WIA"
25000009,"Metro North WIA"
25000010,"Boston WIA"
25000011,"Metro South/West WIA"
25000012,"South Shore WIA"
25000013,"Brockton WIA"
25000014,"Bristol County WIA"
25000015,"Greater New Bedford WIA"
25000016,"Cape & Islands WIA"
25001,"Barnstable, MA"
25003,"Berkshire, MA"
25005,"Bristol, MA"
25007,"Dukes, MA"
25009,"Essex, MA"
25011,"Franklin, MA"
25013,"Hampden, MA"
25015,"Hampshire, MA"
25017,"Middlesex, MA"
25019,"Nantucket, MA"
25021,"Norfolk, MA"
25023,"Plymouth, MA"
25025,"Suffolk, MA"
25027,"Worcester, MA"
2512700,"Barnstable Town, MA"
2514460,"Boston-Cambridge-Newton, MA-NH (MA part)"
2524640,"Greenfield Town, MA"
2538340,"Pittsfield, MA"
2539300,"Providence-Warwick, RI-MA (MA part)"
2544140,"Springfield, MA"
2547240,"Vineyard Haven, MA"
2549340,"Worcester, MA-CT (MA part)"
2599999,"Nonmetropolitan, nonmicropolitan"
