geography,label
31,"Nebraska"
31001,"Adams, NE"
31003,"Antelope, NE"
31005,"Arthur, NE"
31007,"Banner, NE"
31009,"Blaine, NE"
31011,"Boone, NE"
31013,"Box Butte, NE"
31015,"Boyd, NE"
31017,"Brown, NE"
31019,"Buffalo, NE"
31021,"Burt, NE"
31023,"Butler, NE"
31025,"Cass, NE"
31027,"Cedar, NE"
31029,"Chase, NE"
31031,"Cherry, NE"
31033,"Cheyenne, NE"
31035,"Clay, NE"
31037,"Colfax, NE"
31039,"Cuming, NE"
31041,"Custer, NE"
31043,"Dakota, NE"
31045,"Dawes, NE"
31047,"Dawson, NE"
31049,"Deuel, NE"
31051,"Dixon, NE"
31053,"Dodge, NE"
31055,"Douglas, NE"
31057,"Dundy, NE"
31059,"Fillmore, NE"
31061,"Franklin, NE"
31063,"Frontier, NE"
31065,"Furnas, NE"
31067,"Gage, NE"
31069,"Garden, NE"
31071,"Garfield, NE"
31073,"Gosper, NE"
31075,"Grant, NE"
31077,"Greeley, NE"
31079,"Hall, NE"
31081,"Hamilton, NE"
31083,"Harlan, NE"
31085,"Hayes, NE"
31087,"Hitchcock, NE"
31089,"Holt, NE"
31091,"Hooker, NE"
31093,"Howard, NE"
31095,"Jefferson, NE"
31097,"Johnson, NE"
31099,"Kearney, NE"
31101,"Keith, NE"
31103,"Keya Paha, NE"
31105,"Kimball, NE"
31107,"Knox, NE"
31109,"Lancaster, NE"
31111,"Lincoln, NE"
31113,"Logan, NE"
31115,"Loup, NE"
31117,"McPherson, NE"
31119,"Madison, NE"
31121,"Merrick, NE"
31123,"Morrill, NE"
31125,"Nance, NE"
31127,"Nemaha, NE"
31129,"Nuckolls, NE"
31131,"Otoe, NE"
3113100,"Beatrice, NE"
31133,"Pawnee, NE"
31135,"Perkins, NE"
31137,"Phelps, NE"
31139,"Pierce, NE"
31141,"Platte, NE"
31143,"Polk, NE"
31145,"Red Willow, NE"
31147,"Richardson, NE"
31149,"Rock, NE"
31151,"Saline, NE"
31153,"Sarpy, NE"
31155,"Saunders, NE"
31157,"Scotts Bluff, NE"
31159,"Seward, NE"
31161,"Sheridan, NE"
31163,"Sherman, NE"
31165,"Sioux, NE"
31167,"Stanton, NE"
31169,"Thayer, NE"
31171,"Thomas, NE"
31173,"Thurston, NE"
31175,"Valley, NE"
31177,"Washington, NE"
31179,"Wayne, NE"
31181,"Webster, NE"
3118100,"Columbus, NE"
31183,"Wheeler, NE"
31185,"York, NE"
3123340,"Fremont, NE"
3124260,"Grand Island, NE"
3125580,"Hastings, NE"
3128260,"Kearney, NE"
3130420,"Lexington, NE"
3130700,"Lincoln, NE"
31310701,"Omaha"
31310702,"Lincoln"
31310703,"Southeast"
31310704,"Central"
31310705,"Mid Plains"
31310706,"Panhandle"
31310707,"Northeast"
3135740,"Norfolk, NE"
3135820,"North Platte, NE"
3136540,"Omaha-Council Bluffs, NE-IA (NE part)"
3142420,"Scottsbluff, NE"
3143580,"Sioux City, IA-NE-SD (NE part)"
3199999,"Nonmetropolitan, nonmicropolitan"
