geography,label
00,"National (50 States + DC)"
00,"National (50 States + DC)"
01,"Alabama"
01,"Alabama"
02,"Alaska"
02,"Alaska"
04,"Arizona"
04,"Arizona"
05,"Arkansas"
05,"Arkansas"
06,"California"
06,"California"
08,"Colorado"
08,"Colorado"
09,"Connecticut"
09,"Connecticut"
10,"Delaware"
10,"Delaware"
11,"District of Columbia"
11,"District of Columbia"
12,"Florida"
12,"Florida"
13,"Georgia"
13,"Georgia"
15,"Hawaii"
15,"Hawaii"
16,"Idaho"
16,"Idaho"
17,"Illinois"
17,"Illinois"
18,"Indiana"
18,"Indiana"
19,"Iowa"
19,"Iowa"
20,"Kansas"
20,"Kansas"
21,"Kentucky"
21,"Kentucky"
22,"Louisiana"
22,"Louisiana"
23,"Maine"
23,"Maine"
24,"Maryland"
24,"Maryland"
25,"Massachusetts"
25,"Massachusetts"
26,"Michigan"
26,"Michigan"
27,"Minnesota"
27,"Minnesota"
27SDA010,"01 Northwest Minnesota WSA"
27SDA010,"01 Northwest Minnesota WSA"
27SDA020,"02 Rural Minnesota CEP WSA"
27SDA020,"02 Rural Minnesota CEP WSA"
27SDA030,"03 Northeast Minnesota WSA"
27SDA030,"03 Northeast Minnesota WSA"
27SDA040,"04 City of Duluth WSA"
27SDA040,"04 City of Duluth WSA"
27SDA050,"05 Central Minnesota WSA"
27SDA050,"05 Central Minnesota WSA"
27SDA060,"06 Southwest Minnesota WSA"
27SDA060,"06 Southwest Minnesota WSA"
27SDA070,"07 South Central Minnesota WSA"
27SDA070,"07 South Central Minnesota WSA"
27SDA080,"08 Southeast Minnesota WSA"
27SDA080,"08 Southeast Minnesota WSA"
27SDA090,"09 Hennepin/Carver WSA"
27SDA090,"09 Hennepin/Carver WSA"
27SDA100,"10 City of Minneapolis WSA"
27SDA100,"10 City of Minneapolis WSA"
27SDA120,"12 Anoka County WSA"
27SDA120,"12 Anoka County WSA"
27SDA140,"14 Dakota/Scott County WSA"
27SDA140,"14 Dakota/Scott County WSA"
27SDA150,"15 Ramsey County WSA"
27SDA150,"15 Ramsey County WSA"
27SDA160,"16 Washington County WSA"
27SDA160,"16 Washington County WSA"
27SDA170,"17 Stearns/Benton WSA"
27SDA170,"17 Stearns/Benton WSA"
27SDA180,"18 Winona County WSA"
27SDA180,"18 Winona County WSA"
28,"Mississippi"
28,"Mississippi"
29,"Missouri"
29,"Missouri"
30,"Montana"
30,"Montana"
31,"Nebraska"
31,"Nebraska"
32,"Nevada"
32,"Nevada"
33,"New Hampshire"
33,"New Hampshire"
34,"New Jersey"
34,"New Jersey"
35,"New Mexico"
35,"New Mexico"
36,"New York"
36,"New York"
37,"North Carolina"
37,"North Carolina"
38,"North Dakota"
38,"North Dakota"
39,"Ohio"
39,"Ohio"
40,"Oklahoma"
40,"Oklahoma"
41,"Oregon"
41,"Oregon"
42,"Pennsylvania"
42,"Pennsylvania"
44,"Rhode Island"
44,"Rhode Island"
45,"South Carolina"
45,"South Carolina"
46,"South Dakota"
46,"South Dakota"
47LWIA01,"01 Local Workforce Investment Area"
47LWIA01,"01 Local Workforce Investment Area"
47LWIA02,"02 Local Workforce Investment Area"
47LWIA02,"02 Local Workforce Investment Area"
47LWIA03,"03 Local Workforce Investment Area"
47LWIA03,"03 Local Workforce Investment Area"
47LWIA04,"04 Local Workforce Investment Area"
47LWIA04,"04 Local Workforce Investment Area"
47LWIA05,"05 Local Workforce Investment Area"
47LWIA05,"05 Local Workforce Investment Area"
47LWIA06,"06 Local Workforce Investment Area"
47LWIA06,"06 Local Workforce Investment Area"
47LWIA07,"07 Local Workforce Investment Area"
47LWIA07,"07 Local Workforce Investment Area"
47LWIA08,"08 Local Workforce Investment Area"
47LWIA08,"08 Local Workforce Investment Area"
47LWIA09,"09 Local Workforce Investment Area"
47LWIA09,"09 Local Workforce Investment Area"
47LWIA10,"10 Local Workforce Investment Area"
47LWIA10,"10 Local Workforce Investment Area"
47LWIA11,"11 Local Workforce Investment Area"
47LWIA11,"11 Local Workforce Investment Area"
47LWIA12,"12 Local Workforce Investment Area"
47LWIA12,"12 Local Workforce Investment Area"
47LWIA13,"13 Local Workforce Investment Area"
47LWIA13,"13 Local Workforce Investment Area"
