geography,label
04,"Arizona"
04001,"Apache, AZ"
04003,"Cochise, AZ"
04004005,"Cochise County LWIB"
04004010,"Gila/Pinal LWIB"
04004015,"Graham County LWIB"
04004020,"Greenlee County LWIB"
04004025,"City of Phoenix LWIB"
04004030,"Pima County LWIB"
04004035,"Maricopa County LWIB"
04004040,"Santa Cruz County LWIB"
04004045,"Yuma County LWIB"
04004060,"Apache/Navajo LWIB"
04004065,"Coconino County LWIB"
04004070,"Mohave/LaPaz LWIB"
04004080,"Yavapai County LWIB"
04005,"Coconino, AZ"
04007,"Gila, AZ"
04009,"Graham, AZ"
04011,"Greenlee, AZ"
04012,"La Paz, AZ"
04013,"Maricopa, AZ"
04015,"Mohave, AZ"
04017,"Navajo, AZ"
04019,"Pima, AZ"
04021,"Pinal, AZ"
04023,"Santa Cruz, AZ"
04025,"Yavapai, AZ"
04027,"Yuma, AZ"
0422380,"Flagstaff, AZ"
0429420,"Lake Havasu City-Kingman, AZ"
0435700,"Nogales, AZ"
0437740,"Payson, AZ"
0438060,"Phoenix-Mesa-Scottsdale, AZ"
0439140,"Prescott, AZ"
0440940,"Safford, AZ"
0443320,"Show Low, AZ"
0443420,"Sierra Vista-Douglas, AZ"
0446060,"Tucson, AZ"
0449740,"Yuma, AZ"
0499999,"Nonmetropolitan, nonmicropolitan"
