geography,label,geo_level
10100,"Aberdeen, SD, Micropolitan Statistical Area",B
10140,"Aberdeen, WA, Micropolitan Statistical Area",B
10180,"Abilene, TX, Metropolitan Statistical Area",B
10220,"Ada, OK, Micropolitan Statistical Area",B
10260,"Adjuntas, PR, Micropolitan Statistical Area",B
10300,"Adrian, MI, Micropolitan Statistical Area",B
10380,"Aguadilla-Isabela, PR, Metropolitan Statistical Area",B
10420,"Akron, OH, Metropolitan Statistical Area",B
10460,"Alamogordo, NM, Micropolitan Statistical Area",B
10500,"Albany, GA, Metropolitan Statistical Area",B
10540,"Albany, OR, Metropolitan Statistical Area",B
10580,"Albany-Schenectady-Troy, NY, Metropolitan Statistical Area",B
10620,"Albemarle, NC, Micropolitan Statistical Area",B
10660,"Albert Lea, MN, Micropolitan Statistical Area",B
10700,"Albertville, AL, Micropolitan Statistical Area",B
10740,"Albuquerque, NM, Metropolitan Statistical Area",B
10780,"Alexandria, LA, Metropolitan Statistical Area",B
10820,"Alexandria, MN, Micropolitan Statistical Area",B
10860,"Alice, TX, Micropolitan Statistical Area",B
10900,"Allentown-Bethlehem-Easton, PA-NJ, Metropolitan Statistical Area",B
10940,"Alma, MI, Micropolitan Statistical Area",B
10980,"Alpena, MI, Micropolitan Statistical Area",B
11020,"Altoona, PA, Metropolitan Statistical Area",B
11060,"Altus, OK, Micropolitan Statistical Area",B
11100,"Amarillo, TX, Metropolitan Statistical Area",B
11140,"Americus, GA, Micropolitan Statistical Area",B
11180,"Ames, IA, Metropolitan Statistical Area",B
11220,"Amsterdam, NY, Micropolitan Statistical Area",B
11260,"Anchorage, AK, Metropolitan Statistical Area",B
11380,"Andrews, TX, Micropolitan Statistical Area",B
11420,"Angola, IN, Micropolitan Statistical Area",B
11460,"Ann Arbor, MI, Metropolitan Statistical Area",B
11500,"Anniston-Oxford-Jacksonville, AL, Metropolitan Statistical Area",B
11540,"Appleton, WI, Metropolitan Statistical Area",B
11580,"Arcadia, FL, Micropolitan Statistical Area",B
11620,"Ardmore, OK, Micropolitan Statistical Area",B
11640,"Arecibo, PR, Metropolitan Statistical Area",B
11660,"Arkadelphia, AR, Micropolitan Statistical Area",B
11680,"Arkansas City-Winfield, KS, Micropolitan Statistical Area",B
11700,"Asheville, NC, Metropolitan Statistical Area",B
11740,"Ashland, OH, Micropolitan Statistical Area",B
11780,"Ashtabula, OH, Micropolitan Statistical Area",B
11820,"Astoria, OR, Micropolitan Statistical Area",B
11860,"Atchison, KS, Micropolitan Statistical Area",B
11900,"Athens, OH, Micropolitan Statistical Area",B
11940,"Athens, TN, Micropolitan Statistical Area",B
11980,"Athens, TX, Micropolitan Statistical Area",B
12020,"Athens-Clarke County, GA, Metropolitan Statistical Area",B
12060,"Atlanta-Sandy Springs-Roswell, GA, Metropolitan Statistical Area",B
12100,"Atlantic City-Hammonton, NJ, Metropolitan Statistical Area",B
12140,"Auburn, IN, Micropolitan Statistical Area",B
12180,"Auburn, NY, Micropolitan Statistical Area",B
12220,"Auburn-Opelika, AL, Metropolitan Statistical Area",B
12260,"Augusta-Richmond County, GA-SC, Metropolitan Statistical Area",B
12300,"Augusta-Waterville, ME, Micropolitan Statistical Area",B
12380,"Austin, MN, Micropolitan Statistical Area",B
12420,"Austin-Round Rock, TX, Metropolitan Statistical Area",B
12460,"Bainbridge, GA, Micropolitan Statistical Area",B
12540,"Bakersfield, CA, Metropolitan Statistical Area",B
12580,"Baltimore-Columbia-Towson, MD, Metropolitan Statistical Area",B
12620,"Bangor, ME, Metropolitan Statistical Area",B
12660,"Baraboo, WI, Micropolitan Statistical Area",B
12680,"Bardstown, KY, Micropolitan Statistical Area",B
12700,"Barnstable Town, MA, Metropolitan Statistical Area",B
12740,"Barre, VT, Micropolitan Statistical Area",B
12780,"Bartlesville, OK, Micropolitan Statistical Area",B
12820,"Bastrop, LA, Micropolitan Statistical Area",B
12860,"Batavia, NY, Micropolitan Statistical Area",B
12900,"Batesville, AR, Micropolitan Statistical Area",B
12940,"Baton Rouge, LA, Metropolitan Statistical Area",B
12980,"Battle Creek, MI, Metropolitan Statistical Area",B
13020,"Bay City, MI, Metropolitan Statistical Area",B
13060,"Bay City, TX, Micropolitan Statistical Area",B
13100,"Beatrice, NE, Micropolitan Statistical Area",B
13140,"Beaumont-Port Arthur, TX, Metropolitan Statistical Area",B
13180,"Beaver Dam, WI, Micropolitan Statistical Area",B
13220,"Beckley, WV, Metropolitan Statistical Area",B
13260,"Bedford, IN, Micropolitan Statistical Area",B
13300,"Beeville, TX, Micropolitan Statistical Area",B
13340,"Bellefontaine, OH, Micropolitan Statistical Area",B
13380,"Bellingham, WA, Metropolitan Statistical Area",B
13420,"Bemidji, MN, Micropolitan Statistical Area",B
13460,"Bend-Redmond, OR, Metropolitan Statistical Area",B
13500,"Bennettsville, SC, Micropolitan Statistical Area",B
13540,"Bennington, VT, Micropolitan Statistical Area",B
13620,"Berlin, NH-VT, Micropolitan Statistical Area",B
13660,"Big Rapids, MI, Micropolitan Statistical Area",B
13700,"Big Spring, TX, Micropolitan Statistical Area",B
13720,"Big Stone Gap, VA, Micropolitan Statistical Area",B
13740,"Billings, MT, Metropolitan Statistical Area",B
13780,"Binghamton, NY, Metropolitan Statistical Area",B
13820,"Birmingham-Hoover, AL, Metropolitan Statistical Area",B
