geography,label,geo_level
41,"Oregon",S
41001,"Baker, OR",C
41003,"Benton, OR",C
41005,"Clackamas, OR",C
41007,"Clatsop, OR",C
41009,"Columbia, OR",C
41011,"Coos, OR",C
41013,"Crook, OR",C
41015,"Curry, OR",C
41017,"Deschutes, OR",C
41019,"Douglas, OR",C
41021,"Gilliam, OR",C
41023,"Grant, OR",C
41025,"Harney, OR",C
41027,"Hood River, OR",C
41029,"Jackson, OR",C
41031,"Jefferson, OR",C
41033,"Josephine, OR",C
41035,"Klamath, OR",C
41037,"Lake, OR",C
41039,"Lane, OR",C
41041,"Lincoln, OR",C
41043,"Linn, OR",C
41045,"Malheur, OR",C
41047,"Marion, OR",C
41049,"Morrow, OR",C
41051,"Multnomah, OR",C
41053,"Polk, OR",C
41055,"Sherman, OR",C
41057,"Tillamook, OR",C
41059,"Umatilla, OR",C
41061,"Union, OR",C
41063,"Wallowa, OR",C
41065,"Wasco, OR",C
41067,"Washington, OR",C
41069,"Wheeler, OR",C
41071,"Yamhill, OR",C
4110540,"Albany, OR",M
4111820,"Astoria, OR",M
4113460,"Bend-Redmond, OR",M
4115060,"Brookings, OR",M
4118300,"Coos Bay, OR",M
4118700,"Corvallis, OR",M
4121660,"Eugene, OR",M
4124420,"Grants Pass, OR",M
4125840,"Hermiston-Pendleton, OR",M
4126220,"Hood River, OR",M
4128900,"Klamath Falls, OR",M
4129260,"La Grande, OR",M
4132780,"Medford, OR",M
4135440,"Newport, OR",M
4136620,"Ontario, OR-ID (OR part)",M
4138900,"Portland-Vancouver-Hillsboro, OR-WA (OR part)",M
4139260,"Prineville, OR",M
4140700,"Roseburg, OR",M
41410001,"01 MTC Training & Placement Services WIB",W
41410002,"02 Worksystems, Inc. WIB",W
41410003,"03 Mid-Willamette Workforce Consortium WIB",W
41410004,"04 Community Services Consortium WIB",W
41410005,"05 Lane Workforce Partnership WIB",W
41410006,"06 Umpqua Training & Employment Inc WIB",W
41410007,"07 S Coast Business Employment Corporation WIB",W
41410008,"08 The Job Council WIB",W
41410009,"09 Mid-Columbia Council of Governments WIB",W
41410010,"10 Central Oregon Intergovernmental Council WIB",W
41410011,"11 Klamath-Lake Employment Training Inst WIB",W
41410012,"12 Community Action Program of E Central OR WIB",W
41410013,"13 Training & Employment Consortium WIB",W
41410014,"14 Training & Employment Consortium WIB",W
41410015,"15 Workforce Investment Council of Clackamas WIB",W
4141420,"Salem, OR",M
4145520,"The Dalles, OR",M
4199999,"Nonmetropolitan, nonmicropolitan",M
