geography,label,geo_level
22,"Louisiana",S
22001,"Acadia, LA",C
22003,"Allen, LA",C
22005,"Ascension, LA",C
22007,"Assumption, LA",C
22009,"Avoyelles, LA",C
22011,"Beauregard, LA",C
22013,"Bienville, LA",C
22015,"Bossier, LA",C
22017,"Caddo, LA",C
22019,"Calcasieu, LA",C
22021,"Caldwell, LA",C
22023,"Cameron, LA",C
22025,"Catahoula, LA",C
22027,"Claiborne, LA",C
22029,"Concordia, LA",C
22031,"De Soto, LA",C
22033,"East Baton Rouge, LA",C
22035,"East Carroll, LA",C
22037,"East Feliciana, LA",C
22039,"Evangeline, LA",C
22041,"Franklin, LA",C
22043,"Grant, LA",C
22045,"Iberia, LA",C
22047,"Iberville, LA",C
22049,"Jackson, LA",C
22051,"Jefferson, LA",C
22053,"Jefferson Davis, LA",C
22055,"Lafayette, LA",C
22057,"Lafourche, LA",C
22059,"LaSalle, LA",C
22061,"Lincoln, LA",C
22063,"Livingston, LA",C
22065,"Madison, LA",C
22067,"Morehouse, LA",C
22069,"Natchitoches, LA",C
22071,"Orleans, LA",C
22073,"Ouachita, LA",C
22075,"Plaquemines, LA",C
22077,"Pointe Coupee, LA",C
22079,"Rapides, LA",C
22081,"Red River, LA",C
22083,"Richland, LA",C
22085,"Sabine, LA",C
22087,"St. Bernard, LA",C
22089,"St. Charles, LA",C
22091,"St. Helena, LA",C
22093,"St. James, LA",C
22095,"St. John the Baptist, LA",C
22097,"St. Landry, LA",C
22099,"St. Martin, LA",C
22101,"St. Mary, LA",C
22103,"St. Tammany, LA",C
22105,"Tangipahoa, LA",C
22107,"Tensas, LA",C
2210780,"Alexandria, LA",M
22109,"Terrebonne, LA",C
22111,"Union, LA",C
22113,"Vermilion, LA",C
22115,"Vernon, LA",C
22117,"Washington, LA",C
22119,"Webster, LA",C
22121,"West Baton Rouge, LA",C
22123,"West Carroll, LA",C
22125,"West Feliciana, LA",C
22127,"Winn, LA",C
2212820,"Bastrop, LA",M
2212940,"Baton Rouge, LA",M
2214220,"Bogalusa, LA",M
2219760,"DeRidder, LA",M
22220010,"1st Planning District Consortium Parish WIA",W
22220011,"Jefferson WIA",W
22220012,"Orleans WIA",W
22220020,"2nd Planning District Consortium WIA",W
22220021,"East Baton Rouge WIA",W
22220031,"Terrebonne Consortium WIA",W
22220032,"St. Charles Consortium WIA",W
22220040,"4th Planning District Consortium WIA",W
22220041,"Lafayette WIA",W
22220050,"5th Planning District Consortium WIA",W
22220051,"Calcasieu Consortium WIA",W
22220060,"6th Planning District Consortium WIA",W
22220061,"Rapides WIA",W
22220070,"7th Planning District Consortium WIA",W
22220071,"City of Shreveport WIA",W
22220081,"Ouachita WIA",W
22220082,"Union WIA",W
22220083,"Franklin Parish Consortium WIA",W
2222860,"Fort Polk South, LA",M
2225220,"Hammond, LA",M
2226380,"Houma-Thibodaux, LA",M
2227660,"Jennings, LA",M
2229180,"Lafayette, LA",M
2229340,"Lake Charles, LA",M
2233740,"Monroe, LA",M
2234020,"Morgan City, LA",M
2235020,"Natchez, MS-LA (LA part)",M
2235060,"Natchitoches, LA",M
2235380,"New Orleans-Metairie, LA",M
2236660,"Opelousas, LA",M
2240820,"Ruston, LA",M
2243340,"Shreveport-Bossier City, LA",M
2299999,"Nonmetropolitan, nonmicropolitan",M
