Indicator Variable,Alternate Name,Status Flag,Indicator Name,Units,Base
MHire,all_doma2,sMHire,Hires,Count,1
MSep,all_doms2,sMSep,Separations,Count,1
MJobStart,first_dome,sMJobStart,Main Job Starts,Count,1
MJobEnd,last_domb,sMJobEnd,Main Job Ends,Count,1
EEHire,ee_doma2,sEEHire,Job-to-Job Hires (Continuous Employment),Count,1
EESep,ee_doms2,sEESep,Job-to-Job Separations (Continuous Employment),Count,1
AQHire,aq_doma2,sAQHire,Job-to-Job Hires (Brief Nonemployment),Count,1
AQSep,aq_doms2,sAQSep,Job-to-Job Separations (Brief Nonemployment),Count,1
J2JHire,j2j_doma2,sJ2JHire,Job-to-Job Hires,Count,1
J2JSep,j2j_doms2,sJ2JSep,Job-to-Job Separations,Count,1
NEHire,ne_doma2,sNEHire,Hires from Nonemployment,Count,1
ENSep,en_doms2,sENSep,Separations to Nonemployment,Count,1
NEPersist,ne2_doma2,sNEPersist,Hires from Persistent Nonemployment,Count,1
ENPersist,en2_doms2,sENPersist,Separations to Persistent Nonemployment,Count,1
NEFullQ,ne2p_doma2,sNEFullQ,Hires from Full-Quarter Nonemployment,Count,1
ENFullQ,en2p_doms2,sENFullQ,Separations to Full-Quarter Nonemployment,Count,1
MainB,domB,sMainB,Employment (Beginning of Quarter),Count,1
MainE,domE,sMainE,Employment (End of Quarter),Count,1
