Variability measure,Alternate name,Variable name,Units,Base
st_Emp,st_B,Standard error of Beginning-of-Quarter Employment,Count,1
st_EmpEnd,st_E,Standard error of End-of-Quarter Employment,Count,1
st_EmpS,st_F,Standard error of Full-Quarter Employment (Stable),Count,1
st_EmpSpv,st_Fpv,Standard error of Full-Quarter Employment in the Previous Quarter,Count,1
st_EmpTotal,st_M,Standard error of Employment - Reference Quarter,Count,1
st_HirA,st_A,Standard error of Hires (All Accessions),Count,1
st_HirN,st_H,Standard error of New Hires,Count,1
st_HirR,st_R,Standard error of Recall Hires,Count,1
st_Sep,st_S,Standard error of Separations (All),Count,1
st_HirAEnd,st_CA,Standard error of End-of-Quarter Hires,Count,1
st_HirAEndR,st_CAR,Standard error of End-of-Quarter Hiring Rate,Rate,1
st_SepBeg,st_CS,Standard error of Beginning-of-Quarter Separations,Count,1
st_SepBegR,st_CSR,Standard error of Beginning-of-Quarter Separation Rate,Rate,1
st_HirAS,st_FA,Standard error of Hires (All Hires into Full-Quarter Employment),Count,1
st_HirNS,st_FH,Standard error of New Hires (New Hires into Full-Quarter Employment),Count,1
st_SepS,st_FS,Standard error of Separations (Flows out of Full-Quarter Employment),Count,1
st_SepSnx,st_FSnx,Standard error of Separations in the Next Quarter (Flows out of Full-Quarter Employment),Count,1
st_TurnOvrS,st_FT,Standard error of Turnover (Stable),Rate,1
st_FrmJbGn,st_JC,Standard error of Firm Job Gains (Job Creation),Count,1
st_FrmJbLs,st_JD,Standard error of Firm Job Loss (Job Destruction),Count,1
st_FrmJbC,st_JF,Standard error of Firm Job Change (Net Change),Count,1
st_HirAEndRepl,st_EI,Standard error of Replacement Hires,Count,1
st_HirAEndReplr,st_EIR,Standard error of Replacement Hiring Rate,Rate,1
st_FrmJbGnS,st_FJC,Standard error of Firm Job Gains (Stable),Count,1
st_FrmJbLsS,st_FJD,Standard error of Firm Job Loss (Stable),Count,1
st_FrmJbCS,st_FJF,Standard error of Firm Job Change (Stable; Net Change),Count,1
st_EarnS,st_ZW3,Standard error of Average Monthly Earnings (Full-Quarter Employment),Dollars,1
st_EarnBeg,st_ZW1,Standard error of Average Monthly Earnings (Beginning-of-Quarter Employment),Dollars,1
st_EarnHirAS,st_ZWFA,Standard error of Average Monthly Earnings (All Hires into Full-Quarter Employment),Dollars,1
