geography,label,geo_level
23,"Maine",S
23001,"Androscoggin, ME",C
23003,"Aroostook, ME",C
23005,"Cumberland, ME",C
23007,"Franklin, ME",C
23009,"Hancock, ME",C
23011,"Kennebec, ME",C
23013,"Knox, ME",C
23015,"Lincoln, ME",C
23017,"Oxford, ME",C
23019,"Penobscot, ME",C
23021,"Piscataquis, ME",C
23023,"Sagadahoc, ME",C
23025,"Somerset, ME",C
23027,"Waldo, ME",C
23029,"Washington, ME",C
23031,"York, ME",C
2312300,"Augusta-Waterville, ME",M
2312620,"Bangor, ME",M
2330340,"Lewiston-Auburn, ME",M
2338860,"Portland-South Portland, ME",M
2399999,"Nonmetropolitan, nonmicropolitan, ME",M
23000001,"01 Aroostook/Washington WIA",W
23000002,"02 Central/Western WIA",W
23000003,"03 Six County Coastal WIA",W
23000004,"04 Tri County Investment Board WIA",W
