geography,label,geo_level
38,"North Dakota",S
38001,"Adams, ND",C
38003,"Barnes, ND",C
38005,"Benson, ND",C
38007,"Billings, ND",C
38009,"Bottineau, ND",C
38011,"Bowman, ND",C
38013,"Burke, ND",C
38015,"Burleigh, ND",C
38017,"Cass, ND",C
38019,"Cavalier, ND",C
38021,"Dickey, ND",C
38023,"Divide, ND",C
38025,"Dunn, ND",C
38027,"Eddy, ND",C
38029,"Emmons, ND",C
38031,"Foster, ND",C
38033,"Golden Valley, ND",C
38035,"Grand Forks, ND",C
38037,"Grant, ND",C
38039,"Griggs, ND",C
38041,"Hettinger, ND",C
38043,"Kidder, ND",C
38045,"LaMoure, ND",C
38047,"Logan, ND",C
38049,"McHenry, ND",C
38051,"McIntosh, ND",C
38053,"McKenzie, ND",C
38055,"McLean, ND",C
38057,"Mercer, ND",C
38059,"Morton, ND",C
38061,"Mountrail, ND",C
38063,"Nelson, ND",C
38065,"Oliver, ND",C
38067,"Pembina, ND",C
38069,"Pierce, ND",C
38071,"Ramsey, ND",C
38073,"Ransom, ND",C
38075,"Renville, ND",C
38077,"Richland, ND",C
38079,"Rolette, ND",C
38081,"Sargent, ND",C
38083,"Sheridan, ND",C
38085,"Sioux, ND",C
38087,"Slope, ND",C
38089,"Stark, ND",C
38091,"Steele, ND",C
38093,"Stutsman, ND",C
38095,"Towner, ND",C
38097,"Traill, ND",C
38099,"Walsh, ND",C
38101,"Ward, ND",C
38103,"Wells, ND",C
38105,"Williams, ND",C
3813900,"Bismarck, ND",M
3819860,"Dickinson, ND",M
3822020,"Fargo, ND-MN (ND part)",M
3824220,"Grand Forks, ND-MN (ND part)",M
3827420,"Jamestown, ND",M
3833500,"Minot, ND",M
3847420,"Wahpeton, ND-MN (ND part)",M
3848780,"Williston, ND",M
3899999,"Nonmetropolitan, nonmicropolitan, ND",M
38000001,"01 Williston WIB",W
38000002,"02 Minot WIB",W
38000003,"03 Devils Lake WIB",W
38000004,"04 Grand Forks WIB",W
38000005,"05 Fargo WIB",W
38000006,"06 Jamestown WIB",W
38000007,"07 Bismarck WIB",W
38000008,"08 Dickinson WIB",W
