geography,label,geo_level
31,"Nebraska",S
31001,"Adams, NE",C
31003,"Antelope, NE",C
31005,"Arthur, NE",C
31007,"Banner, NE",C
31009,"Blaine, NE",C
31011,"Boone, NE",C
31013,"Box Butte, NE",C
31015,"Boyd, NE",C
31017,"Brown, NE",C
31019,"Buffalo, NE",C
31021,"Burt, NE",C
31023,"Butler, NE",C
31025,"Cass, NE",C
31027,"Cedar, NE",C
31029,"Chase, NE",C
31031,"Cherry, NE",C
31033,"Cheyenne, NE",C
31035,"Clay, NE",C
31037,"Colfax, NE",C
31039,"Cuming, NE",C
31041,"Custer, NE",C
31043,"Dakota, NE",C
31045,"Dawes, NE",C
31047,"Dawson, NE",C
31049,"Deuel, NE",C
31051,"Dixon, NE",C
31053,"Dodge, NE",C
31055,"Douglas, NE",C
31057,"Dundy, NE",C
31059,"Fillmore, NE",C
31061,"Franklin, NE",C
31063,"Frontier, NE",C
31065,"Furnas, NE",C
31067,"Gage, NE",C
31069,"Garden, NE",C
31071,"Garfield, NE",C
31073,"Gosper, NE",C
31075,"Grant, NE",C
31077,"Greeley, NE",C
31079,"Hall, NE",C
31081,"Hamilton, NE",C
31083,"Harlan, NE",C
31085,"Hayes, NE",C
31087,"Hitchcock, NE",C
31089,"Holt, NE",C
31091,"Hooker, NE",C
31093,"Howard, NE",C
31095,"Jefferson, NE",C
31097,"Johnson, NE",C
31099,"Kearney, NE",C
31101,"Keith, NE",C
31103,"Keya Paha, NE",C
31105,"Kimball, NE",C
31107,"Knox, NE",C
31109,"Lancaster, NE",C
31111,"Lincoln, NE",C
31113,"Logan, NE",C
31115,"Loup, NE",C
31117,"McPherson, NE",C
31119,"Madison, NE",C
31121,"Merrick, NE",C
31123,"Morrill, NE",C
31125,"Nance, NE",C
31127,"Nemaha, NE",C
31129,"Nuckolls, NE",C
31131,"Otoe, NE",C
31133,"Pawnee, NE",C
31135,"Perkins, NE",C
31137,"Phelps, NE",C
31139,"Pierce, NE",C
31141,"Platte, NE",C
31143,"Polk, NE",C
31145,"Red Willow, NE",C
31147,"Richardson, NE",C
31149,"Rock, NE",C
31151,"Saline, NE",C
31153,"Sarpy, NE",C
31155,"Saunders, NE",C
31157,"Scotts Bluff, NE",C
31159,"Seward, NE",C
31161,"Sheridan, NE",C
31163,"Sherman, NE",C
31165,"Sioux, NE",C
31167,"Stanton, NE",C
31169,"Thayer, NE",C
31171,"Thomas, NE",C
31173,"Thurston, NE",C
31175,"Valley, NE",C
31177,"Washington, NE",C
31179,"Wayne, NE",C
31181,"Webster, NE",C
31183,"Wheeler, NE",C
31185,"York, NE",C
3113100,"Beatrice, NE",M
3118100,"Columbus, NE",M
3123340,"Fremont, NE",M
3124260,"Grand Island, NE",M
3125580,"Hastings, NE",M
3128260,"Kearney, NE",M
3130420,"Lexington, NE",M
3130700,"Lincoln, NE",M
3135740,"Norfolk, NE",M
3135820,"North Platte, NE",M
3136540,"Omaha-Council Bluffs, NE-IA (NE part)",M
3142420,"Scottsbluff, NE",M
3143580,"Sioux City, IA-NE-SD (NE part)",M
3199999,"Nonmetropolitan, nonmicropolitan, NE",M
31000820,"Omaha Consortium",W
31000821,"Lincoln MSA",W
31000822,"Grand Island MSA",W
31000823,"Central Economic Region",W
31000824,"Mid Plains Economic Region",W
31000825,"Northeast Economic Region",W
31000826,"Panhandle Economic Region",W
31000827,"Sandhills Economic Region",W
31000828,"Southeast Economic Region",W
