geography,label,geo_level
35,"New Mexico",S
35001,"Bernalillo, NM",C
35003,"Catron, NM",C
35005,"Chaves, NM",C
35006,"Cibola, NM",C
35007,"Colfax, NM",C
35009,"Curry, NM",C
35011,"De Baca, NM",C
35013,"Doña Ana, NM",C
35015,"Eddy, NM",C
35017,"Grant, NM",C
35019,"Guadalupe, NM",C
35021,"Harding, NM",C
35023,"Hidalgo, NM",C
35025,"Lea, NM",C
35027,"Lincoln, NM",C
35028,"Los Alamos, NM",C
35029,"Luna, NM",C
35031,"McKinley, NM",C
35033,"Mora, NM",C
35035,"Otero, NM",C
35037,"Quay, NM",C
35039,"Rio Arriba, NM",C
35041,"Roosevelt, NM",C
35043,"Sandoval, NM",C
35045,"San Juan, NM",C
35047,"San Miguel, NM",C
35049,"Santa Fe, NM",C
35051,"Sierra, NM",C
35053,"Socorro, NM",C
35055,"Taos, NM",C
35057,"Torrance, NM",C
35059,"Union, NM",C
35061,"Valencia, NM",C
3510460,"Alamogordo, NM",M
3510740,"Albuquerque, NM",M
3516100,"Carlsbad-Artesia, NM",M
3517580,"Clovis, NM",M
3519700,"Deming, NM",M
3521580,"Española, NM",M
3522140,"Farmington, NM",M
3523700,"Gallup, NM",M
3524380,"Grants, NM",M
3526020,"Hobbs, NM",M
3529740,"Las Cruces, NM",M
3529780,"Las Vegas, NM",M
3531060,"Los Alamos, NM",M
3538780,"Portales, NM",M
3540740,"Roswell, NM",M
3540760,"Ruidoso, NM",M
3542140,"Santa Fe, NM",M
3543500,"Silver City, NM",M
3545340,"Taos, NM",M
3599999,"Nonmetropolitan, nonmicropolitan, NM",M
35350005,"05 Central Area WIB",W
35350010,"10 Southwest Area WIB",W
35350015,"15 Northern Area WIB",W
35350020,"20 Eastern Area WIB",W
