geography,label,geo_level
46,"South Dakota",S
46003,"Aurora, SD",C
46005,"Beadle, SD",C
46007,"Bennett, SD",C
46009,"Bon Homme, SD",C
46011,"Brookings, SD",C
46013,"Brown, SD",C
46015,"Brule, SD",C
46017,"Buffalo, SD",C
46019,"Butte, SD",C
46021,"Campbell, SD",C
46023,"Charles Mix, SD",C
46025,"Clark, SD",C
46027,"Clay, SD",C
46029,"Codington, SD",C
46031,"Corson, SD",C
46033,"Custer, SD",C
46035,"Davison, SD",C
46037,"Day, SD",C
46039,"Deuel, SD",C
46041,"Dewey, SD",C
46043,"Douglas, SD",C
46045,"Edmunds, SD",C
46047,"Fall River, SD",C
46049,"Faulk, SD",C
46051,"Grant, SD",C
46053,"Gregory, SD",C
46055,"Haakon, SD",C
46057,"Hamlin, SD",C
46059,"Hand, SD",C
46061,"Hanson, SD",C
46063,"Harding, SD",C
46065,"Hughes, SD",C
46067,"Hutchinson, SD",C
46069,"Hyde, SD",C
46071,"Jackson, SD",C
46073,"Jerauld, SD",C
46075,"Jones, SD",C
46077,"Kingsbury, SD",C
46079,"Lake, SD",C
46081,"Lawrence, SD",C
46083,"Lincoln, SD",C
46085,"Lyman, SD",C
46087,"McCook, SD",C
46089,"McPherson, SD",C
46091,"Marshall, SD",C
46093,"Meade, SD",C
46095,"Mellette, SD",C
46097,"Miner, SD",C
46099,"Minnehaha, SD",C
46101,"Moody, SD",C
46102,"Oglala Lakota, SD",C
46103,"Pennington, SD",C
46105,"Perkins, SD",C
46107,"Potter, SD",C
46109,"Roberts, SD",C
46111,"Sanborn, SD",C
46115,"Spink, SD",C
46117,"Stanley, SD",C
46119,"Sully, SD",C
46121,"Todd, SD",C
46123,"Tripp, SD",C
46125,"Turner, SD",C
46127,"Union, SD",C
46129,"Walworth, SD",C
46135,"Yankton, SD",C
46137,"Ziebach, SD",C
4610100,"Aberdeen, SD",M
4615100,"Brookings, SD",M
4626700,"Huron, SD",M
4633580,"Mitchell, SD",M
4638180,"Pierre, SD",M
4639660,"Rapid City, SD",M
4643580,"Sioux City, IA-NE-SD (SD part)",M
4643620,"Sioux Falls, SD",M
4643940,"Spearfish, SD",M
4646820,"Vermillion, SD",M
4647980,"Watertown, SD",M
4649460,"Yankton, SD",M
4699999,"Nonmetropolitan, nonmicropolitan, SD",M
46396600,"Rapid City MSA WIB",W
46436200,"Sioux Falls MSA WIB",W
46460001,"Central Area WIB",W
46460002,"East Area WIB",W
46460003,"West Area WIB",W
