geography,label,geo_level
56,"Wyoming",S
56001,"Albany, WY",C
56003,"Big Horn, WY",C
56005,"Campbell, WY",C
56007,"Carbon, WY",C
56009,"Converse, WY",C
56011,"Crook, WY",C
56013,"Fremont, WY",C
56015,"Goshen, WY",C
56017,"Hot Springs, WY",C
56019,"Johnson, WY",C
56021,"Laramie, WY",C
56023,"Lincoln, WY",C
56025,"Natrona, WY",C
56027,"Niobrara, WY",C
56029,"Park, WY",C
56031,"Platte, WY",C
56033,"Sheridan, WY",C
56035,"Sublette, WY",C
56037,"Sweetwater, WY",C
56039,"Teton, WY",C
56041,"Uinta, WY",C
56043,"Washakie, WY",C
56045,"Weston, WY",C
5616220,"Casper, WY",M
5616940,"Cheyenne, WY",M
5621740,"Evanston, WY",M
5623940,"Gillette, WY",M
5627220,"Jackson, WY-ID (WY part)",M
5629660,"Laramie, WY",M
5640180,"Riverton, WY",M
5640540,"Rock Springs, WY",M
5643260,"Sheridan, WY",M
5699999,"Nonmetropolitan, nonmicropolitan, WY",M
56000001,"01 Wyoming WIB",W
