agg_level_pseo,grad_char,firm_char,cip_level,inst_level,geo_level,ind_level,by_grad_cohort,by_degree_level
1,,,A,N,N,A,0,0
2,Degree Level,,A,N,N,A,0,1
3,CIP 2-digit,,2,N,N,A,0,0
4,Degree Level * CIP 2-digit,,2,N,N,A,0,1
5,CIP 4-digit,,4,N,N,A,0,0
6,Degree Level * CIP 4-digit,,4,N,N,A,0,1
7,Start Year for Graduation Cohort,,A,N,N,A,1,0
8,Degree Level * Start Year for Graduation Cohort,,A,N,N,A,1,1
9,CIP 2-digit * Start Year for Graduation Cohort,,2,N,N,A,1,0
10,Degree Level * CIP 2-digit * Start Year for Graduation Cohort,,2,N,N,A,1,1
11,CIP 4-digit * Start Year for Graduation Cohort,,4,N,N,A,1,0
12,Degree Level * CIP 4-digit * Start Year for Graduation Cohort,,4,N,N,A,1,1
13,Census Division of Institution,,A,D,N,A,0,0
14,Degree Level * Census Division of Institution,,A,D,N,A,0,1
15,CIP 2-digit * Census Division of Institution,,2,D,N,A,0,0
16,Degree Level * CIP 2-digit * Census Division of Institution,,2,D,N,A,0,1
17,CIP 4-digit * Census Division of Institution,,4,D,N,A,0,0
18,Degree Level * CIP 4-digit * Census Division of Institution,,4,D,N,A,0,1
19,Start Year for Graduation Cohort * Census Division of Institution,,A,D,N,A,1,0
20,Degree Level * Start Year for Graduation Cohort * Census Division of Institution,,A,D,N,A,1,1
21,CIP 2-digit * Start Year for Graduation Cohort * Census Division of Institution,,2,D,N,A,1,0
22,Degree Level * CIP 2-digit * Start Year for Graduation Cohort * Census Division of Institution,,2,D,N,A,1,1
23,CIP 4-digit * Start Year for Graduation Cohort * Census Division of Institution,,4,D,N,A,1,0
24,Degree Level * CIP 4-digit * Start Year for Graduation Cohort * Census Division of Institution,,4,D,N,A,1,1
25,State of Institution,,A,S,N,A,0,0
26,Degree Level * State of Institution,,A,S,N,A,0,1
27,CIP 2-digit * State of Institution,,2,S,N,A,0,0
28,Degree Level * CIP 2-digit * State of Institution,,2,S,N,A,0,1
29,CIP 4-digit * State of Institution,,4,S,N,A,0,0
30,Degree Level * CIP 4-digit * State of Institution,,4,S,N,A,0,1
31,Start Year for Graduation Cohort * State of Institution,,A,S,N,A,1,0
32,Degree Level * Start Year for Graduation Cohort * State of Institution,,A,S,N,A,1,1
33,CIP 2-digit * Start Year for Graduation Cohort * State of Institution,,2,S,N,A,1,0
34,Degree Level * CIP 2-digit * Start Year for Graduation Cohort * State of Institution,,2,S,N,A,1,1
35,CIP 4-digit * Start Year for Graduation Cohort * State of Institution,,4,S,N,A,1,0
36,Degree Level * CIP 4-digit * Start Year for Graduation Cohort * State of Institution,,4,S,N,A,1,1
37,Institution ID,,A,I,N,A,0,0
