cipcode,label,cip_level,CIPFamily,CIPDefinition
00,All Instructional Programs,A,00,All CIP Codes
01,"Agriculture, Agriculture Operations, and Related Sciences",2,01,"Instructional programs that focus on agriculture and related sciences and that prepare individuals to apply specific knowledge, methods, and techniques to the management and performance of agricultural operations."
03,Natural Resources and Conservation,2,03,Instructional programs that focus on the various natural resources and conservation fields and prepare individuals for related occupations.
04,Architecture and Related Services,2,04,Instructional programs that prepare individuals for professional practice in the various architecture-related fields and focus on the study of related aesthetic and socioeconomic aspects of the built environment.
05,"Area, Ethnic, Cultural, Gender, and Group Studies",2,05,"Instructional programs that focus on the defined areas, regions, and countries of the world; defined minority groups within and across societies; and issues relevant to collective gender and group experience."
09,"Communication, Journalism, and Related Programs",2,09,"Instructional programs that focus on how messages in various media are produced, used, and interpreted within and across different contexts, channels, and cultures, and that prepare individuals to apply communication knowledge and skills professionally."
10,Communications Technologies/Technicians and Support Services,2,10,"Instructional programs that prepare individuals to function as equipment operators, support technicians, and operations managers in the film/video, recording, and graphic communications industries."
11,Computer and Information Sciences and Support Services,2,11,Instructional programs that focus on the computer and information sciences and prepare individuals for various occupations in information technology and computer operations fields.
12,Personal and Culinary Services,2,12,"Instructional programs that prepare individuals to provide professional services related to cosmetology, funeral services, and food preparation and service."
13,Education,2,13,"Instructional programs that focus on the theory and practice of learning and teaching, and related research, administrative and support services."
14,Engineering,2,14,Instructional programs that prepare individuals to apply mathematical and     scientific principles to the solution of practical problems.
15,Engineering Technologies and Engineering-Related Fields,2,15,Instructional programs that prepare individuals to apply basic engineering principles and technical skills in support of engineering and related projects or to prepare for engineering-related fields.
16,"Foreign Languages, Literatures, and Linguistics",2,16,"Instructional programs that focus on foreign languages and literatures, the humanistic and scientific study of linguistics, and the provision of professional interpretation and translation services."
19,Family and Consumer Sciences/Human Sciences,2,19,"Instructional programs that focus on the human interface with the physical, social, emotional, and intellectual environments and the developmental stages and needs of individuals in the interrelated spheres of family, workplace, and community."
22,Legal Professions and Studies,2,22,"Instructional programs that prepare individuals for the legal profession, for related support professions and professional legal research, and focus on the study of legal issues in non-professional programs."
23,English Language and Literature/Letters,2,23,"Instructional programs that focus on the structure and use of the English language and dialects, speech, writing, and various aspects of the literatures and cultures of the English-speaking peoples."
24,"Liberal Arts and Sciences, General Studies and Humanities",2,24,"General instructional programs and independent or individualized studies in the liberal arts subjects, the humanities disciplines and the general curriculum."
25,Library Science,2,25,"Instructional programs that focus on the knowledge and skills required for managing and/or maintaining libraries and related information and record systems,  collections and facilities for research and general use."
26,Biological and Biomedical Sciences,2,26,"Instructional programs that focus on the biological sciences and the non-clinical biomedical sciences, and that prepare individuals for research and professional careers as biologists and biomedical scientists."
