geography,label,geo_level
32,"Nevada",S
32001,"Churchill, NV",C
32003,"Clark, NV",C
32005,"Douglas, NV",C
32007,"Elko, NV",C
32009,"Esmeralda, NV",C
32011,"Eureka, NV",C
32013,"Humboldt, NV",C
32015,"Lander, NV",C
32017,"Lincoln, NV",C
32019,"Lyon, NV",C
32021,"Mineral, NV",C
32023,"Nye, NV",C
32027,"Pershing, NV",C
32029,"Storey, NV",C
32031,"Washoe, NV",C
32033,"White Pine, NV",C
32510,"Carson City, NV",C
3216180,"Carson City, NV",M
3221220,"Elko, NV",M
3221980,"Fallon, NV",M
3222280,"Fernley, NV",M
3223820,"Gardnerville Ranchos, NV",M
3229820,"Las Vegas-Henderson-Paradise, NV",M
3237220,"Pahrump, NV",M
3239900,"Reno, NV",M
3249080,"Winnemucca, NV",M
3299999,"Nonmetropolitan, nonmicropolitan, NV",M
32150001,"01 Southern Nevada WFB",W
32150002,"02 NevadaWorks WFB",W
