institution,label,city,institution_state,inst_level,statefips
0,All Institutions,,,N,
1,Institutions in New England Division,,,D,
2,Institutions in Middle Atlantic Division,,,D,
3,Institutions in East North Central Division,,,D,
4,Institutions in West North Central Division,,,D,
5,Institutions in South Atlantic Division,,,D,
6,Institutions in East South Central Division,,,D,
7,Institutions in West South Central Division,,,D,
8,Institutions in Mountain Division,,,D,
9,Institutions in Pacific Division,,,D,
09,Institutions in Connecticut,,,S,09
23,Institutions in Maine,,,S,23
25,Institutions in Massachusetts,,,S,25
33,Institutions in New Hampshire,,,S,33
44,Institutions in Rhode Island,,,S,44
50,Institutions in Vermont,,,S,50
34,Institutions in New Jersey,,,S,34
36,Institutions in New York,,,S,36
42,Institutions in Pennsylvania,,,S,42
17,Institutions in Illinois,,,S,17
18,Institutions in Indiana,,,S,18
26,Institutions in Michigan,,,S,26
39,Institutions in Ohio,,,S,39
55,Institutions in Wisconsin,,,S,55
19,Institutions in Iowa,,,S,19
20,Institutions in Kansas,,,S,20
27,Institutions in Minnesota,,,S,27
29,Institutions in Missouri,,,S,29
31,Institutions in Nebraska,,,S,31
38,Institutions in North Dakota,,,S,38
46,Institutions in South Dakota,,,S,46
10,Institutions in Delaware,,,S,10
11,Institutions in District of Columbia,,,S,11
12,Institutions in Florida,,,S,12
13,Institutions in Georgia,,,S,13
24,Institutions in Maryland,,,S,24
37,Institutions in North Carolina,,,S,37
45,Institutions in South Carolina,,,S,45
51,Institutions in Virginia,,,S,51
54,Institutions in West Virginia,,,S,54
01,Institutions in Alabama,,,S,01
21,Institutions in Kentucky,,,S,21
28,Institutions in Mississippi,,,S,28
47,Institutions in Tennessee,,,S,47
05,Institutions in Arkansas,,,S,05
22,Institutions in Louisiana,,,S,22
40,Institutions in Oklahoma,,,S,40
48,Institutions in Texas,,,S,48
04,Institutions in Arizona,,,S,04
08,Institutions in Colorado,,,S,08
16,Institutions in Idaho,,,S,16
30,Institutions in Montana,,,S,30
32,Institutions in Nevada,,,S,32
35,Institutions in New Mexico,,,S,35
49,Institutions in Utah,,,S,49
56,Institutions in Wyoming,,,S,56
02,Institutions in Alaska,,,S,02
06,Institutions in California,,,S,06
15,Institutions in Hawaii,,,S,15
41,Institutions in Oregon,,,S,41
53,Institutions in Washington,,,S,53
B04724,WIDENER UNIVERSITY - DELAWARE LAW SCHOOL,WILMINGTON,DE,I,10
B06171,CENTER FOR ADVANCED STUDIES OF PUER,SAN JUAN,PR,I,72
B06511,PENTECOSTAL THEOLOGICAL SEMINARY,CLEVELAND,TN,I,47
B07022,THE CHICAGO SCHOOL OF PROF PSYCHOLOGY,CHICAGO,IL,I,17
B07624,NATIONAL UNIVERSITY OF NATURAL MEDICINE,PORTLAND,OR,I,41
B07625,OREGON COLLEGE OF ORIENTAL MEDICINE,PORTLAND,OR,I,41
B08041,ALFRED ADLER GRADUATE SCHOOL,HOPKINS,MN,I,27
B08083,UNIV OF THE DIST OF COLU -SCHOOL OF LAW,WASHINGTON,DC,I,11
B42154,GRACE SCHOOL OF THEOLOGY,CONROE,TX,I,48
E00014,AMRCN REPERTORY THTR INST ADV THTR,CAMBRIDGE,MA,I,25
E00058,BROWN UNIVERSITY - GRADUATE SCHOOL,PROVIDENCE,RI,I,44
E00059,BROWN MEDICAL SCHOOL,PROVIDENCE,RI,I,44
E00074,CARNEGIE MELLON- TEPPER SCHOOL OF BUSINE,PITTSBURGH,PA,I,42
E00077,CASE WESTERN RESERVE UNIV - UG,CLEVELAND,OH,I,39
E00078,CASE WESTERN RESERVE UNIV - DENTAL,CLEVELAND,OH,I,39
E00079,CASE WESTERN RESERVE UNIV - MED,CLEVELAND,OH,I,39
E00080,CASE WESTERN RESERVE UNIV - WSOM,CLEVELAND,OH,I,39
E00081,CASE WESTERN RESERVE UNIV - NURS UG,CLEVELAND,OH,I,39
E00082,CASE WESTERN RESERVE UNIV - LAW,CLEVELAND,OH,I,39
E00083,CASE WESTERN RESERVE UNIV -NURS GRD,CLEVELAND,OH,I,39
E00084,CASE WESTERN RESERVE UNIV - MSASS,CLEVELAND,OH,I,39
E00131,"CATHOLIC UNIV AMERICA, LAW SCHOOL",WASHINGTON,DC,I,11
E00171,EAST TENNESSEE STATE UNIV - MEDICINE,JOHNSON CITY,TN,I,47
E00177,ERSKINE THEOLOGICAL SEMINARY,DUE WEST,SC,I,45
E00196,GEORGE WASHINGTON UNIV LAW SCHL,WASHINGTON,DC,I,11
E00197,GEORGE WASHINGTON UNIV SCH MED,WASHINGTON,DC,I,11
E00209,HARVARD EXTENSION SCHOOL,CAMBRIDGE,MA,I,25
E00210,HARVARD DIVINITY SCHOOL,CAMBRIDGE,MA,I,25
E00212,HARVARD UNIV GRAD SCH DESIGN,CAMBRIDGE,MA,I,25
E00213,HARVARD UNIV GRAD SCH ED,CAMBRIDGE,MA,I,25
E00214,HARVARD UNIV SCH PUBLIC HEALTH,BOSTON,MA,I,25
E00215,HARVARD KENNEDY SCHOOL,CAMBRIDGE,MA,I,25
E00233,JOHNS HOPKINS UNIV PEABODY CONSERV,BALTIMORE,MD,I,24
E00234,JOHNS HOPKINS BLOOMBERG SCH OF PH,BALTIMORE,MD,I,24
E00235,JOHNS HOPKINS UNIV SCH OF MEDICINE,BALTIMORE,MD,I,24
E00254,LMU  - LOYOLA LAW SCHOOL,LOS ANGELES,CA,I,06
E00306,OHIO UNIV COLL OF OSTEOPATHIC MED,ATHENS,OH,I,39
E00341,STANFORD UNIVERSITY - STANFORD LAW SCHOO,STANFORD,CA,I,06
E00342,STETSON UNIVERSITY - COLLEGE OF LAW,SAINT PETERSBURG,FL,I,12
E00362,TUFTS UNIVERSITY - CUMMINGS SCHOOL OF VE,NORTH GRAFTON,MA,I,25
E00374,UNIV OF CALIFORNIA LOS ANG SCH MED,LOS ANGELES,CA,I,06
E00375,UNIV OF CALIFORNIA LOS ANG DENTAL,LOS ANGELES,CA,I,06
E00387,UNIV OF CONNECTICUT SCH LAW,HARTFORD,CT,I,09
E00398,UNIVERSITY OF MICHIGAN-MEDICAL SCH,ANN ARBOR,MI,I,26
E00428,VILLANOVA UNIV SCH OF LAW,VILLANOVA,PA,I,42
E00429,WAKE FOREST UNIV - GRAD A&S/DIVINITY,WINSTON-SALEM,NC,I,37
E00461,BAKER COLLEGE OF CADILLAC,CADILLAC,MI,I,26
E00462,BAKER COLLEGE OF CLINTON TOWNSHIP,CLINTON TOWNSHIP,MI,I,26
E00463,BAKER COLLEGE OF MUSKEGON,MUSKEGON,MI,I,26
