Indicator Variable,Alternate Name,Status Flag,Indicator Name,Description,Units,Concept,Base
y1_p25_earnings,y1_p25_earnings,status_y1_earnings,Earnings 25th percentile in year 1,Earnings 25th Percentile in year 1,Dollars,Earnings,1
y1_p50_earnings,y1_p50_earnings,status_y1_earnings,Earnings 50th percentile in year 1,Earnings 50th Percentile in year 1,Dollars,Earnings,1
y1_p75_earnings,y1_p75_earnings,status_y1_earnings,Earnings 75th percentile in year 1,Earnings 75th Percentile in year 1,Dollars,Earnings,1
y1_graduates_emp_instate,y1_graduates_emp_instate,status_y1_graduates_emp_instate,Graduates Employed Instate in year 1,Count of graduates employed in same state as educational institution in year 1,Count,Employment,1
y1_graduates_emp,y1_graduates_emp,status_y1_graduates_emp,Graduates Employed in year 1,Count of employed graduates in year 1,Count,Employment,1
y5_p25_earnings,y5_p25_earnings,status_y5_earnings,Earnings 25th percentile in year 5,Earnings 25th Percentile in year 5,Dollars,Earnings,1
y5_p50_earnings,y5_p50_earnings,status_y5_earnings,Earnings 50th percentile in year 5,Earnings 50th Percentile in year 5,Dollars,Earnings,1
y5_p75_earnings,y5_p75_earnings,status_y5_earnings,Earnings 75th percentile in year 5,Earnings 75th Percentile in year 5,Dollars,Earnings,1
y5_graduates_emp_instate,y5_graduates_emp_instate,status_y5_graduates_emp_instate,Graduates Employed Instate in year 5,Count of graduates employed in same state as educational institution in year 5,Count,Employment,1
y5_graduates_emp,y5_graduates_emp,status_y5_graduates_emp,Graduates Employed in year 5,Count of employed graduates in year 5,Count,Employment,1
y10_p25_earnings,y10_p25_earnings,status_y10_earnings,Earnings 25th percentile in year 10,Earnings 25th Percentile in year 10,Dollars,Earnings,1
y10_p50_earnings,y10_p50_earnings,status_y10_earnings,Earnings 50th percentile in year 10,Earnings 50th Percentile in year 10,Dollars,Earnings,1
y10_p75_earnings,y10_p75_earnings,status_y10_earnings,Earnings 75th percentile in year 10,Earnings 75th Percentile in year 10,Dollars,Earnings,1
y10_graduates_emp_instate,y10_graduates_emp_instate,status_y10_graduates_emp_instate,Graduates Employed Instate in year 10,Count of graduates employed in same state as educational institution in year 10,Count,Employment,1
y10_graduates_emp,y10_graduates_emp,status_y10_graduates_emp,Graduates Employed in year 10,Count of employed graduates in year 10,Count,Employment,1
