geography,label,geo_level
04,"Arizona",S
04001,"Apache, AZ",C
04003,"Cochise, AZ",C
04005,"Coconino, AZ",C
04007,"Gila, AZ",C
04009,"Graham, AZ",C
04011,"Greenlee, AZ",C
04012,"La Paz, AZ",C
04013,"Maricopa, AZ",C
04015,"Mohave, AZ",C
04017,"Navajo, AZ",C
04019,"Pima, AZ",C
04021,"Pinal, AZ",C
04023,"Santa Cruz, AZ",C
04025,"Yavapai, AZ",C
04027,"Yuma, AZ",C
0422380,"Flagstaff, AZ",M
0429420,"Lake Havasu City-Kingman, AZ",M
0435700,"Nogales, AZ",M
0437740,"Payson, AZ",M
0438060,"Phoenix-Mesa-Chandler, AZ",M
0439150,"Prescott Valley-Prescott, AZ",M
0440940,"Safford, AZ",M
0443320,"Show Low, AZ",M
0443420,"Sierra Vista-Douglas, AZ",M
0446060,"Tucson, AZ",M
0449740,"Yuma, AZ",M
0499999,"Nonmetropolitan, nonmicropolitan, AZ",M
04004005,"Cochise County LWIB",W
04004010,"Gila/Pinal LWIB",W
04004015,"Graham County LWIB",W
04004020,"Greenlee County LWIB",W
04004025,"City of Phoenix LWIB",W
04004030,"Pima County LWIB",W
04004035,"Maricopa County LWIB",W
04004040,"Santa Cruz County LWIB",W
04004045,"Yuma County LWIB",W
04004060,"Apache/Navajo LWIB",W
04004065,"Coconino County LWIB",W
04004070,"Mohave/LaPaz LWIB",W
04004080,"Yavapai County LWIB",W
