geography,label,geo_level
13,"Georgia",S
13001,"Appling, GA",C
13003,"Atkinson, GA",C
13005,"Bacon, GA",C
13007,"Baker, GA",C
13009,"Baldwin, GA",C
13011,"Banks, GA",C
13013,"Barrow, GA",C
13015,"Bartow, GA",C
13017,"Ben Hill, GA",C
13019,"Berrien, GA",C
13021,"Bibb, GA",C
13023,"Bleckley, GA",C
13025,"Brantley, GA",C
13027,"Brooks, GA",C
13029,"Bryan, GA",C
13031,"Bulloch, GA",C
13033,"Burke, GA",C
13035,"Butts, GA",C
13037,"Calhoun, GA",C
13039,"Camden, GA",C
13043,"Candler, GA",C
13045,"Carroll, GA",C
13047,"Catoosa, GA",C
13049,"Charlton, GA",C
13051,"Chatham, GA",C
13053,"Chattahoochee, GA",C
13055,"Chattooga, GA",C
13057,"Cherokee, GA",C
13059,"Clarke, GA",C
13061,"Clay, GA",C
13063,"Clayton, GA",C
13065,"Clinch, GA",C
13067,"Cobb, GA",C
13069,"Coffee, GA",C
13071,"Colquitt, GA",C
13073,"Columbia, GA",C
13075,"Cook, GA",C
13077,"Coweta, GA",C
13079,"Crawford, GA",C
13081,"Crisp, GA",C
13083,"Dade, GA",C
13085,"Dawson, GA",C
13087,"Decatur, GA",C
13089,"DeKalb, GA",C
13091,"Dodge, GA",C
13093,"Dooly, GA",C
13095,"Dougherty, GA",C
13097,"Douglas, GA",C
13099,"Early, GA",C
13101,"Echols, GA",C
13103,"Effingham, GA",C
13105,"Elbert, GA",C
13107,"Emanuel, GA",C
13109,"Evans, GA",C
13111,"Fannin, GA",C
13113,"Fayette, GA",C
13115,"Floyd, GA",C
13117,"Forsyth, GA",C
13119,"Franklin, GA",C
13121,"Fulton, GA",C
13123,"Gilmer, GA",C
13125,"Glascock, GA",C
13127,"Glynn, GA",C
13129,"Gordon, GA",C
13131,"Grady, GA",C
13133,"Greene, GA",C
13135,"Gwinnett, GA",C
13137,"Habersham, GA",C
13139,"Hall, GA",C
13141,"Hancock, GA",C
13143,"Haralson, GA",C
13145,"Harris, GA",C
13147,"Hart, GA",C
13149,"Heard, GA",C
13151,"Henry, GA",C
13153,"Houston, GA",C
13155,"Irwin, GA",C
13157,"Jackson, GA",C
13159,"Jasper, GA",C
13161,"Jeff Davis, GA",C
13163,"Jefferson, GA",C
13165,"Jenkins, GA",C
13167,"Johnson, GA",C
13169,"Jones, GA",C
13171,"Lamar, GA",C
13173,"Lanier, GA",C
13175,"Laurens, GA",C
13177,"Lee, GA",C
13179,"Liberty, GA",C
13181,"Lincoln, GA",C
13183,"Long, GA",C
13185,"Lowndes, GA",C
