geography,label,geo_level
17,"Illinois",S
17001,"Adams, IL",C
17003,"Alexander, IL",C
17005,"Bond, IL",C
17007,"Boone, IL",C
17009,"Brown, IL",C
17011,"Bureau, IL",C
17013,"Calhoun, IL",C
17015,"Carroll, IL",C
17017,"Cass, IL",C
17019,"Champaign, IL",C
17021,"Christian, IL",C
17023,"Clark, IL",C
17025,"Clay, IL",C
17027,"Clinton, IL",C
17029,"Coles, IL",C
17031,"Cook, IL",C
17033,"Crawford, IL",C
17035,"Cumberland, IL",C
17037,"DeKalb, IL",C
17039,"De Witt, IL",C
17041,"Douglas, IL",C
17043,"DuPage, IL",C
17045,"Edgar, IL",C
17047,"Edwards, IL",C
17049,"Effingham, IL",C
17051,"Fayette, IL",C
17053,"Ford, IL",C
17055,"Franklin, IL",C
17057,"Fulton, IL",C
17059,"Gallatin, IL",C
17061,"Greene, IL",C
17063,"Grundy, IL",C
17065,"Hamilton, IL",C
17067,"Hancock, IL",C
17069,"Hardin, IL",C
17071,"Henderson, IL",C
17073,"Henry, IL",C
17075,"Iroquois, IL",C
17077,"Jackson, IL",C
17079,"Jasper, IL",C
17081,"Jefferson, IL",C
17083,"Jersey, IL",C
17085,"Jo Daviess, IL",C
17087,"Johnson, IL",C
17089,"Kane, IL",C
17091,"Kankakee, IL",C
17093,"Kendall, IL",C
17095,"Knox, IL",C
17097,"Lake, IL",C
17099,"LaSalle, IL",C
17101,"Lawrence, IL",C
17103,"Lee, IL",C
17105,"Livingston, IL",C
17107,"Logan, IL",C
17109,"McDonough, IL",C
17111,"McHenry, IL",C
17113,"McLean, IL",C
17115,"Macon, IL",C
17117,"Macoupin, IL",C
17119,"Madison, IL",C
17121,"Marion, IL",C
17123,"Marshall, IL",C
17125,"Mason, IL",C
17127,"Massac, IL",C
17129,"Menard, IL",C
17131,"Mercer, IL",C
17133,"Monroe, IL",C
17135,"Montgomery, IL",C
17137,"Morgan, IL",C
17139,"Moultrie, IL",C
17141,"Ogle, IL",C
17143,"Peoria, IL",C
17145,"Perry, IL",C
17147,"Piatt, IL",C
17149,"Pike, IL",C
17151,"Pope, IL",C
17153,"Pulaski, IL",C
17155,"Putnam, IL",C
17157,"Randolph, IL",C
17159,"Richland, IL",C
17161,"Rock Island, IL",C
17163,"St. Clair, IL",C
17165,"Saline, IL",C
17167,"Sangamon, IL",C
17169,"Schuyler, IL",C
17171,"Scott, IL",C
17173,"Shelby, IL",C
17175,"Stark, IL",C
17177,"Stephenson, IL",C
17179,"Tazewell, IL",C
17181,"Union, IL",C
17183,"Vermilion, IL",C
17185,"Wabash, IL",C
17187,"Warren, IL",C
17189,"Washington, IL",C
17191,"Wayne, IL",C
17193,"White, IL",C
17195,"Whiteside, IL",C
17197,"Will, IL",C
17199,"Williamson, IL",C
17201,"Winnebago, IL",C
17203,"Woodford, IL",C
1714010,"Bloomington, IL",M
1715460,"Burlington, IA-IL (IL part)",M
1716020,"Cape Girardeau, MO-IL (IL part)",M
1716060,"Carbondale-Marion, IL",M
1716460,"Centralia, IL",M
1716580,"Champaign-Urbana, IL",M
1716660,"Charleston-Mattoon, IL",M
1716980,"Chicago-Naperville-Elgin, IL-IN-WI (IL part)",M
1719180,"Danville, IL",M
1719340,"Davenport-Moline-Rock Island, IA-IL (IL part)",M
1719500,"Decatur, IL",M
1719940,"Dixon, IL",M
1720820,"Effingham, IL",M
1722800,"Fort Madison-Keokuk, IA-IL-MO (IL part)",M
1723300,"Freeport, IL",M
1723660,"Galesburg, IL",M
1727300,"Jacksonville, IL",M
1728100,"Kankakee, IL",M
1730660,"Lincoln, IL",M
1731380,"Macomb, IL",M
1734500,"Mount Vernon, IL",M
1736837,"Ottawa, IL",M
1737140,"Paducah, KY-IL (IL part)",M
1737900,"Peoria, IL",M
1738700,"Pontiac, IL",M
1739500,"Quincy, IL-MO (IL part)",M
1740300,"Rochelle, IL",M
1740420,"Rockford, IL",M
1741180,"St. Louis, MO-IL (IL part)",M
1744100,"Springfield, IL",M
1744580,"Sterling, IL",M
1745380,"Taylorville, IL",M
1799999,"Nonmetropolitan, nonmicropolitan, IL",M
17000001,"Lake County WIB",W
17000002,"McHenry County WIB",W
17000003,"Northern IL Workforce Alliance",W
17000004,"NW Central IL Works",W
17000005,"River Valley WIB",W
17000006,"DuPage County WIB",W
17000007,"Chicago-Cook WIB",W
17000010,"WIB of Will County",W
17000011,"Grundy-Livingston-Kankakee WIB",W
17000013,"WDB of Rock Island-Henry-Mercer",W
17000014,"WIB of Western IL",W
17000015,"Career Link",W
17000017,"WIB of East Central IL",W
17000018,"Vermilion County WIB",W
17000019,"Macon-Dewitt WIB",W
17000020,"Land of Lincoln WF Alliance",W
17000021,"West Central WF Dev Council",W
17000022,"Madison-Bond WIB",W
17000023,"Crossroads WIB",W
17000024,"Mid America WIB",W
17000025,"Southern IL WIB",W
17000026,"Southern 14 WIB",W
