geography,label,geo_level
18,"Indiana",S
18001,"Adams, IN",C
18003,"Allen, IN",C
18005,"Bartholomew, IN",C
18007,"Benton, IN",C
18009,"Blackford, IN",C
18011,"Boone, IN",C
18013,"Brown, IN",C
18015,"Carroll, IN",C
18017,"Cass, IN",C
18019,"Clark, IN",C
18021,"Clay, IN",C
18023,"Clinton, IN",C
18025,"Crawford, IN",C
18027,"Daviess, IN",C
18029,"Dearborn, IN",C
18031,"Decatur, IN",C
18033,"DeKalb, IN",C
18035,"Delaware, IN",C
18037,"Dubois, IN",C
18039,"Elkhart, IN",C
18041,"Fayette, IN",C
18043,"Floyd, IN",C
18045,"Fountain, IN",C
18047,"Franklin, IN",C
18049,"Fulton, IN",C
18051,"Gibson, IN",C
18053,"Grant, IN",C
18055,"Greene, IN",C
18057,"Hamilton, IN",C
18059,"Hancock, IN",C
18061,"Harrison, IN",C
18063,"Hendricks, IN",C
18065,"Henry, IN",C
18067,"Howard, IN",C
18069,"Huntington, IN",C
18071,"Jackson, IN",C
18073,"Jasper, IN",C
18075,"Jay, IN",C
18077,"Jefferson, IN",C
18079,"Jennings, IN",C
18081,"Johnson, IN",C
18083,"Knox, IN",C
18085,"Kosciusko, IN",C
18087,"LaGrange, IN",C
18089,"Lake, IN",C
18091,"LaPorte, IN",C
18093,"Lawrence, IN",C
18095,"Madison, IN",C
18097,"Marion, IN",C
18099,"Marshall, IN",C
18101,"Martin, IN",C
18103,"Miami, IN",C
18105,"Monroe, IN",C
18107,"Montgomery, IN",C
18109,"Morgan, IN",C
18111,"Newton, IN",C
18113,"Noble, IN",C
18115,"Ohio, IN",C
18117,"Orange, IN",C
18119,"Owen, IN",C
18121,"Parke, IN",C
18123,"Perry, IN",C
18125,"Pike, IN",C
18127,"Porter, IN",C
18129,"Posey, IN",C
18131,"Pulaski, IN",C
18133,"Putnam, IN",C
18135,"Randolph, IN",C
18137,"Ripley, IN",C
18139,"Rush, IN",C
18141,"St. Joseph, IN",C
18143,"Scott, IN",C
18145,"Shelby, IN",C
18147,"Spencer, IN",C
18149,"Starke, IN",C
18151,"Steuben, IN",C
18153,"Sullivan, IN",C
18155,"Switzerland, IN",C
18157,"Tippecanoe, IN",C
18159,"Tipton, IN",C
18161,"Union, IN",C
18163,"Vanderburgh, IN",C
18165,"Vermillion, IN",C
18167,"Vigo, IN",C
18169,"Wabash, IN",C
18171,"Warren, IN",C
18173,"Warrick, IN",C
18175,"Washington, IN",C
18177,"Wayne, IN",C
18179,"Wells, IN",C
18181,"White, IN",C
18183,"Whitley, IN",C
1811420,"Angola, IN",M
1812140,"Auburn, IN",M
1813260,"Bedford, IN",M
1814020,"Bloomington, IN",M
1816980,"Chicago-Naperville-Elgin, IL-IN-WI (IN part)",M
1817140,"Cincinnati, OH-KY-IN (IN part)",M
1818020,"Columbus, IN",M
1818220,"Connersville, IN",M
1818820,"Crawfordsville, IN",M
1819540,"Decatur, IN",M
1821140,"Elkhart-Goshen, IN",M
1821780,"Evansville, IN-KY (IN part)",M
1823060,"Fort Wayne, IN",M
1823140,"Frankfort, IN",M
1824700,"Greensburg, IN",M
1826540,"Huntington, IN",M
1826900,"Indianapolis-Carmel-Anderson, IN",M
1827540,"Jasper, IN",M
1828340,"Kendallville, IN",M
1829020,"Kokomo, IN",M
1829200,"Lafayette-West Lafayette, IN",M
1830900,"Logansport, IN",M
1831140,"Louisville/Jefferson County, KY-IN (IN part)",M
1831500,"Madison, IN",M
1831980,"Marion, IN",M
1833140,"Michigan City-La Porte, IN",M
1834620,"Muncie, IN",M
1835220,"New Castle, IN",M
1835860,"North Vernon, IN",M
1837940,"Peru, IN",M
1838500,"Plymouth, IN",M
1839980,"Richmond, IN",M
1842500,"Scottsburg, IN",M
1842980,"Seymour, IN",M
1843780,"South Bend-Mishawaka, IN-MI (IN part)",M
1845460,"Terre Haute, IN",M
1847180,"Vincennes, IN",M
1847340,"Wabash, IN",M
1847700,"Warsaw, IN",M
1847780,"Washington, IN",M
1899999,"Nonmetropolitan, nonmicropolitan, IN",M
18180001,"Economic Growth Region 1",W
18180002,"Economic Growth Region 2",W
18180003,"Economic Growth Region 3",W
18180004,"Economic Growth Region 4",W
18180005,"Economic Growth Region 5",W
18180006,"Economic Growth Region 6",W
18180007,"Economic Growth Region 7",W
18180008,"Economic Growth Region 8",W
18180009,"Economic Growth Region 9",W
18180010,"Economic Growth Region 10",W
18180011,"Economic Growth Region 11",W
