geography,label,geo_level
26,"Michigan",S
26001,"Alcona, MI",C
26003,"Alger, MI",C
26005,"Allegan, MI",C
26007,"Alpena, MI",C
26009,"Antrim, MI",C
26011,"Arenac, MI",C
26013,"Baraga, MI",C
26015,"Barry, MI",C
26017,"Bay, MI",C
26019,"Benzie, MI",C
26021,"Berrien, MI",C
26023,"Branch, MI",C
26025,"Calhoun, MI",C
26027,"Cass, MI",C
26029,"Charlevoix, MI",C
26031,"Cheboygan, MI",C
26033,"Chippewa, MI",C
26035,"Clare, MI",C
26037,"Clinton, MI",C
26039,"Crawford, MI",C
26041,"Delta, MI",C
26043,"Dickinson, MI",C
26045,"Eaton, MI",C
26047,"Emmet, MI",C
26049,"Genesee, MI",C
26051,"Gladwin, MI",C
26053,"Gogebic, MI",C
26055,"Grand Traverse, MI",C
26057,"Gratiot, MI",C
26059,"Hillsdale, MI",C
26061,"Houghton, MI",C
26063,"Huron, MI",C
26065,"Ingham, MI",C
26067,"Ionia, MI",C
26069,"Iosco, MI",C
26071,"Iron, MI",C
26073,"Isabella, MI",C
26075,"Jackson, MI",C
26077,"Kalamazoo, MI",C
26079,"Kalkaska, MI",C
26081,"Kent, MI",C
26083,"Keweenaw, MI",C
26085,"Lake, MI",C
26087,"Lapeer, MI",C
26089,"Leelanau, MI",C
26091,"Lenawee, MI",C
26093,"Livingston, MI",C
26095,"Luce, MI",C
26097,"Mackinac, MI",C
26099,"Macomb, MI",C
26101,"Manistee, MI",C
26103,"Marquette, MI",C
26105,"Mason, MI",C
26107,"Mecosta, MI",C
26109,"Menominee, MI",C
26111,"Midland, MI",C
26113,"Missaukee, MI",C
26115,"Monroe, MI",C
26117,"Montcalm, MI",C
26119,"Montmorency, MI",C
26121,"Muskegon, MI",C
26123,"Newaygo, MI",C
26125,"Oakland, MI",C
26127,"Oceana, MI",C
26129,"Ogemaw, MI",C
26131,"Ontonagon, MI",C
26133,"Osceola, MI",C
26135,"Oscoda, MI",C
26137,"Otsego, MI",C
26139,"Ottawa, MI",C
26141,"Presque Isle, MI",C
26143,"Roscommon, MI",C
26145,"Saginaw, MI",C
26147,"St. Clair, MI",C
26149,"St. Joseph, MI",C
26151,"Sanilac, MI",C
26153,"Schoolcraft, MI",C
26155,"Shiawassee, MI",C
26157,"Tuscola, MI",C
26159,"Van Buren, MI",C
26161,"Washtenaw, MI",C
26163,"Wayne, MI",C
26165,"Wexford, MI",C
2610300,"Adrian, MI",M
2610940,"Alma, MI",M
2610980,"Alpena, MI",M
2611460,"Ann Arbor, MI",M
2612980,"Battle Creek, MI",M
2613020,"Bay City, MI",M
2613660,"Big Rapids, MI",M
2615620,"Cadillac, MI",M
2617740,"Coldwater, MI",M
2619820,"Detroit-Warren-Dearborn, MI",M
2621540,"Escanaba, MI",M
2622420,"Flint, MI",M
2624340,"Grand Rapids-Kentwood, MI",M
2625880,"Hillsdale, MI",M
2626090,"Holland, MI",M
2626340,"Houghton, MI",M
2627020,"Iron Mountain, MI-WI (MI part)",M
2627100,"Jackson, MI",M
2628020,"Kalamazoo-Portage, MI",M
2629620,"Lansing-East Lansing, MI",M
2631220,"Ludington, MI",M
2631940,"Marinette, WI-MI (MI part)",M
2632100,"Marquette, MI",M
2633220,"Midland, MI",M
2633780,"Monroe, MI",M
2634380,"Mount Pleasant, MI",M
2634740,"Muskegon, MI",M
2635660,"Niles, MI",M
2640980,"Saginaw, MI",M
2642300,"Sault Ste. Marie, MI",M
2643780,"South Bend-Mishawaka, IN-MI (MI part)",M
2644780,"Sturgis, MI",M
2645900,"Traverse City, MI",M
2699999,"Nonmetropolitan, nonmicropolitan, MI",M
26000002,"Region 7B Emp & Trng Consortium",W
26000003,"Calhoun Intermediate School District",W
26000004,"Saginaw-Midland-Bay Michigan Works!",W
26000005,"Berrien-Cass-Van Buren Michigan Works!",W
26000006,"Six County Employment Alliance",W
26000007,"Detroit Workforce Development Department",W
26000009,"Eastern U P Employment & Training Consortium",W
26000010,"Career Alliance, Inc.",W
26000011,"Central Area Michigan Works!",W
26000013,"Thumb Area Employment & Training Consortium",W
26000014,"Kalamazoo-St. Joseph Michigan Works!",W
26000016,"Michigan Works! West Central",W
26000017,"Capital Area Michigan Works!",W
26000019,"Macomb/St. Clair Workforce Development Board, Inc.",W
26000020,"Muskegon-Oceana Consortium",W
26000021,"Northeast Michigan Consortium",W
26000022,"Northwest Michigan Council of Governments",W
26000023,"Oakland County Employment and Training Division",W
26000026,"Western Upper Peninsula Michigan Works!",W
26000029,"Livingston County Michigan Works!",W
26000030,"Washtenaw County Employment Training and Community Services",W
26000031,"Southeast Michigan Community Alliance",W
26000032,"Ottawa County Michigan Works!",W
26000033,"Kent & Allegan Michigan Works!",W
26000034,"South Central Michigan Works!",W
