geography,label,geo_level
28,"Mississippi",S
28001,"Adams, MS",C
28003,"Alcorn, MS",C
28005,"Amite, MS",C
28007,"Attala, MS",C
28009,"Benton, MS",C
28011,"Bolivar, MS",C
28013,"Calhoun, MS",C
28015,"Carroll, MS",C
28017,"Chickasaw, MS",C
28019,"Choctaw, MS",C
28021,"Claiborne, MS",C
28023,"Clarke, MS",C
28025,"Clay, MS",C
28027,"Coahoma, MS",C
28029,"Copiah, MS",C
28031,"Covington, MS",C
28033,"DeSoto, MS",C
28035,"Forrest, MS",C
28037,"Franklin, MS",C
28039,"George, MS",C
28041,"Greene, MS",C
28043,"Grenada, MS",C
28045,"Hancock, MS",C
28047,"Harrison, MS",C
28049,"Hinds, MS",C
28051,"Holmes, MS",C
28053,"Humphreys, MS",C
28055,"Issaquena, MS",C
28057,"Itawamba, MS",C
28059,"Jackson, MS",C
28061,"Jasper, MS",C
28063,"Jefferson, MS",C
28065,"Jefferson Davis, MS",C
28067,"Jones, MS",C
28069,"Kemper, MS",C
28071,"Lafayette, MS",C
28073,"Lamar, MS",C
28075,"Lauderdale, MS",C
28077,"Lawrence, MS",C
28079,"Leake, MS",C
28081,"Lee, MS",C
28083,"Leflore, MS",C
28085,"Lincoln, MS",C
28087,"Lowndes, MS",C
28089,"Madison, MS",C
28091,"Marion, MS",C
28093,"Marshall, MS",C
28095,"Monroe, MS",C
28097,"Montgomery, MS",C
28099,"Neshoba, MS",C
28101,"Newton, MS",C
28103,"Noxubee, MS",C
28105,"Oktibbeha, MS",C
28107,"Panola, MS",C
28109,"Pearl River, MS",C
28111,"Perry, MS",C
28113,"Pike, MS",C
28115,"Pontotoc, MS",C
28117,"Prentiss, MS",C
28119,"Quitman, MS",C
28121,"Rankin, MS",C
28123,"Scott, MS",C
28125,"Sharkey, MS",C
28127,"Simpson, MS",C
28129,"Smith, MS",C
28131,"Stone, MS",C
28133,"Sunflower, MS",C
28135,"Tallahatchie, MS",C
28137,"Tate, MS",C
28139,"Tippah, MS",C
28141,"Tishomingo, MS",C
28143,"Tunica, MS",C
28145,"Union, MS",C
28147,"Walthall, MS",C
28149,"Warren, MS",C
28151,"Washington, MS",C
28153,"Wayne, MS",C
28155,"Webster, MS",C
28157,"Wilkinson, MS",C
28159,"Winston, MS",C
28161,"Yalobusha, MS",C
28163,"Yazoo, MS",C
2815020,"Brookhaven, MS",M
2817260,"Clarksdale, MS",M
2817380,"Cleveland, MS",M
2818060,"Columbus, MS",M
2818420,"Corinth, MS",M
2824740,"Greenville, MS",M
2824900,"Greenwood, MS",M
2824980,"Grenada, MS",M
2825060,"Gulfport-Biloxi, MS",M
2825620,"Hattiesburg, MS",M
2826940,"Indianola, MS",M
2827140,"Jackson, MS",M
2829860,"Laurel, MS",M
2832620,"McComb, MS",M
2832820,"Memphis, TN-MS-AR (MS part)",M
2832940,"Meridian, MS",M
2835020,"Natchez, MS-LA (MS part)",M
2837060,"Oxford, MS",M
2838100,"Picayune, MS",M
2844260,"Starkville, MS",M
2846180,"Tupelo, MS",M
2846980,"Vicksburg, MS",M
2848500,"West Point, MS",M
2899999,"Nonmetropolitan, nonmicropolitan, MS",M
28280001,"01 Delta WIB",W
28280002,"02 The Mississippi Partnership WIB",W
28280003,"03 Southcentral Mississippi Works WIB",W
28280004,"04 Twin Districts WIB",W
