geography,label,geo_level
33,"New Hampshire",S
33001,"Belknap, NH",C
33003,"Carroll, NH",C
33005,"Cheshire, NH",C
33007,"Coos, NH",C
33009,"Grafton, NH",C
33011,"Hillsborough, NH",C
33013,"Merrimack, NH",C
33015,"Rockingham, NH",C
33017,"Strafford, NH",C
33019,"Sullivan, NH",C
3313620,"Berlin, NH",M
3314460,"Boston-Cambridge-Newton, MA-NH (NH part)",M
3318180,"Concord, NH",M
3328300,"Keene, NH",M
3329060,"Laconia, NH",M
3330100,"Lebanon, NH-VT (NH part)",M
3331700,"Manchester-Nashua, NH",M
3399999,"Nonmetropolitan, nonmicropolitan, NH",M
33330014,"Berlin One-Stop Service Area",W
33330034,"Claremont One-Stop Service Area",W
33330054,"Concord One-Stop Service Area",W
33330074,"Conway One-Stop Service Area",W
33330114,"Somersworth One-Stop Service Area",W
33330294,"Keene One-Stop Service Area",W
33330314,"Laconia One-Stop Service Area",W
33330354,"Lebanon One-Stop Service Area",W
33330374,"Littleton One-Stop Service Area",W
33330394,"Manchester One-Stop Service Area",W
33330434,"Nashua One-Stop Service Area",W
33330534,"Portsmouth One-Stop Service Area",W
33330574,"Salem One-Stop Service Area",W
