geography,label,geo_level
41,"Oregon",S
41001,"Baker, OR",C
41003,"Benton, OR",C
41005,"Clackamas, OR",C
41007,"Clatsop, OR",C
41009,"Columbia, OR",C
41011,"Coos, OR",C
41013,"Crook, OR",C
41015,"Curry, OR",C
41017,"Deschutes, OR",C
41019,"Douglas, OR",C
41021,"Gilliam, OR",C
41023,"Grant, OR",C
41025,"Harney, OR",C
41027,"Hood River, OR",C
41029,"Jackson, OR",C
41031,"Jefferson, OR",C
41033,"Josephine, OR",C
41035,"Klamath, OR",C
41037,"Lake, OR",C
41039,"Lane, OR",C
41041,"Lincoln, OR",C
41043,"Linn, OR",C
41045,"Malheur, OR",C
41047,"Marion, OR",C
41049,"Morrow, OR",C
41051,"Multnomah, OR",C
41053,"Polk, OR",C
41055,"Sherman, OR",C
41057,"Tillamook, OR",C
41059,"Umatilla, OR",C
41061,"Union, OR",C
41063,"Wallowa, OR",C
41065,"Wasco, OR",C
41067,"Washington, OR",C
41069,"Wheeler, OR",C
41071,"Yamhill, OR",C
4110540,"Albany-Lebanon, OR",M
4111820,"Astoria, OR",M
4113460,"Bend, OR",M
4115060,"Brookings, OR",M
4118300,"Coos Bay, OR",M
4118700,"Corvallis, OR",M
4121660,"Eugene-Springfield, OR",M
4124420,"Grants Pass, OR",M
4125840,"Hermiston-Pendleton, OR",M
4126220,"Hood River, OR",M
4128900,"Klamath Falls, OR",M
4129260,"La Grande, OR",M
4132780,"Medford, OR",M
4135440,"Newport, OR",M
4136620,"Ontario, OR-ID (OR part)",M
4138900,"Portland-Vancouver-Hillsboro, OR-WA (OR part)",M
4139260,"Prineville, OR",M
4140700,"Roseburg, OR",M
4141420,"Salem, OR",M
4145520,"The Dalles, OR",M
4199999,"Nonmetropolitan, nonmicropolitan, OR",M
41410001,"Northwest Oregon WIA",W
41410002,"Portland Metro WIA",W
41410003,"Clackamas WIA",W
41410004,"Mid-Valley WIA",W
41410005,"Lane WIA",W
41410006,"Southwestern Oregon WIA",W
41410007,"Rogue Valley WIA",W
41410008,"Central Oregon/East Cascades WIA",W
41410009,"Eastern Oregon WIA",W
