geography,label,geo_level
72,"Puerto Rico",S
72001,"Adjuntas, PR",C
72003,"Aguada, PR",C
72005,"Aguadilla, PR",C
72007,"Aguas Buenas, PR",C
72009,"Aibonito, PR",C
72011,"Añasco, PR",C
72013,"Arecibo, PR",C
72015,"Arroyo, PR",C
72017,"Barceloneta, PR",C
72019,"Barranquitas, PR",C
72021,"Bayamón, PR",C
72023,"Cabo Rojo, PR",C
72025,"Caguas, PR",C
72027,"Camuy, PR",C
72029,"Canóvanas, PR",C
72031,"Carolina, PR",C
72033,"Cataño, PR",C
72035,"Cayey, PR",C
72037,"Ceiba, PR",C
72039,"Ciales, PR",C
72041,"Cidra, PR",C
72043,"Coamo, PR",C
72045,"Comerío, PR",C
72047,"Corozal, PR",C
72049,"Culebra, PR",C
72051,"Dorado, PR",C
72053,"Fajardo, PR",C
72054,"Florida, PR",C
72055,"Guánica, PR",C
72057,"Guayama, PR",C
72059,"Guayanilla, PR",C
72061,"Guaynabo, PR",C
72063,"Gurabo, PR",C
72065,"Hatillo, PR",C
72067,"Hormigueros, PR",C
72069,"Humacao, PR",C
72071,"Isabela, PR",C
72073,"Jayuya, PR",C
72075,"Juana Díaz, PR",C
72077,"Juncos, PR",C
72079,"Lajas, PR",C
72081,"Lares, PR",C
72083,"Las Marías, PR",C
72085,"Las Piedras, PR",C
72087,"Loíza, PR",C
72089,"Luquillo, PR",C
72091,"Manatí, PR",C
72093,"Maricao, PR",C
72095,"Maunabo, PR",C
72097,"Mayagüez, PR",C
72099,"Moca, PR",C
72101,"Morovis, PR",C
72103,"Naguabo, PR",C
72105,"Naranjito, PR",C
72107,"Orocovis, PR",C
72109,"Patillas, PR",C
72111,"Peñuelas, PR",C
72113,"Ponce, PR",C
72115,"Quebradillas, PR",C
72117,"Rincón, PR",C
72119,"Río Grande, PR",C
72121,"Sabana Grande, PR",C
72123,"Salinas, PR",C
72125,"San Germán, PR",C
72127,"San Juan, PR",C
72129,"San Lorenzo, PR",C
72131,"San Sebastián, PR",C
72133,"Santa Isabel, PR",C
72135,"Toa Alta, PR",C
72137,"Toa Baja, PR",C
72139,"Trujillo Alto, PR",C
72141,"Utuado, PR",C
72143,"Vega Alta, PR",C
72145,"Vega Baja, PR",C
72147,"Vieques, PR",C
72149,"Villalba, PR",C
72151,"Yabucoa, PR",C
72153,"Yauco, PR",C
7210380,"Aguadilla-Isabela, PR",M
7211640,"Arecibo, PR",M
7217620,"Coamo, PR",M
7217640,"Coco, PR",M
7225020,"Guayama, PR",M
7227580,"Jayuya, PR",M
7232420,"Mayagüez, PR",M
7238660,"Ponce, PR",M
7241900,"San Germán, PR",M
7241980,"San Juan-Bayamón-Caguas, PR",M
7242180,"Santa Isabel, PR",M
7249500,"Yauco, PR",M
7299999,"Nonmetropolitan, nonmicropolitan, PR",M
72720005,"San Juan WIB",W
72720040,"Caguas-Guayama WIB",W
72720045,"Carolina WIB",W
72720050,"Ponce WIB",W
72720055,"Mayagüez-Las Marías WIB",W
72720065,"Bayamón-Comerío WIB",W
72720070,"Dorado-Manatí (Norte Central) WIB",W
72720075,"Norte Central-Arecibo WIB",W
72720080,"Noroeste WIB",W
72720090,"Suroeste WIB",W
72720095,"Sur Central WIB",W
72720100,"Sureste WIB",W
72720105,"Noreste WIB",W
72720110,"Guaynabo-Toa Baja WIB",W
72720115,"Consorcio Montaña WIB",W
