geography,label,geo_level
47,"Tennessee",S
47001,"Anderson, TN",C
47003,"Bedford, TN",C
47005,"Benton, TN",C
47007,"Bledsoe, TN",C
47009,"Blount, TN",C
47011,"Bradley, TN",C
47013,"Campbell, TN",C
47015,"Cannon, TN",C
47017,"Carroll, TN",C
47019,"Carter, TN",C
47021,"Cheatham, TN",C
47023,"Chester, TN",C
47025,"Claiborne, TN",C
47027,"Clay, TN",C
47029,"Cocke, TN",C
47031,"Coffee, TN",C
47033,"Crockett, TN",C
47035,"Cumberland, TN",C
47037,"Davidson, TN",C
47039,"Decatur, TN",C
47041,"DeKalb, TN",C
47043,"Dickson, TN",C
47045,"Dyer, TN",C
47047,"Fayette, TN",C
47049,"Fentress, TN",C
47051,"Franklin, TN",C
47053,"Gibson, TN",C
47055,"Giles, TN",C
47057,"Grainger, TN",C
47059,"Greene, TN",C
47061,"Grundy, TN",C
47063,"Hamblen, TN",C
47065,"Hamilton, TN",C
47067,"Hancock, TN",C
47069,"Hardeman, TN",C
47071,"Hardin, TN",C
47073,"Hawkins, TN",C
47075,"Haywood, TN",C
47077,"Henderson, TN",C
47079,"Henry, TN",C
47081,"Hickman, TN",C
47083,"Houston, TN",C
47085,"Humphreys, TN",C
47087,"Jackson, TN",C
47089,"Jefferson, TN",C
47091,"Johnson, TN",C
47093,"Knox, TN",C
47095,"Lake, TN",C
47097,"Lauderdale, TN",C
47099,"Lawrence, TN",C
47101,"Lewis, TN",C
47103,"Lincoln, TN",C
47105,"Loudon, TN",C
47107,"McMinn, TN",C
47109,"McNairy, TN",C
47111,"Macon, TN",C
47113,"Madison, TN",C
47115,"Marion, TN",C
47117,"Marshall, TN",C
47119,"Maury, TN",C
47121,"Meigs, TN",C
47123,"Monroe, TN",C
47125,"Montgomery, TN",C
47127,"Moore, TN",C
47129,"Morgan, TN",C
47131,"Obion, TN",C
47133,"Overton, TN",C
47135,"Perry, TN",C
47137,"Pickett, TN",C
47139,"Polk, TN",C
47141,"Putnam, TN",C
47143,"Rhea, TN",C
47145,"Roane, TN",C
47147,"Robertson, TN",C
47149,"Rutherford, TN",C
47151,"Scott, TN",C
47153,"Sequatchie, TN",C
47155,"Sevier, TN",C
47157,"Shelby, TN",C
47159,"Smith, TN",C
47161,"Stewart, TN",C
47163,"Sullivan, TN",C
47165,"Sumner, TN",C
47167,"Tipton, TN",C
47169,"Trousdale, TN",C
47171,"Unicoi, TN",C
47173,"Union, TN",C
47175,"Van Buren, TN",C
47177,"Warren, TN",C
47179,"Washington, TN",C
47181,"Wayne, TN",C
47183,"Weakley, TN",C
47185,"White, TN",C
47187,"Williamson, TN",C
47189,"Wilson, TN",C
4711940,"Athens, TN",M
4715140,"Brownsville, TN",M
4716860,"Chattanooga, TN-GA (TN part)",M
4717300,"Clarksville, TN-KY (TN part)",M
4717420,"Cleveland, TN",M
4718260,"Cookeville, TN",M
4718900,"Crossville, TN",M
4719420,"Dayton, TN",M
4720540,"Dyersburg, TN",M
4724620,"Greeneville, TN",M
4727180,"Jackson, TN",M
4727740,"Johnson City, TN",M
4728700,"Kingsport-Bristol, TN-VA (TN part)",M
4728940,"Knoxville, TN",M
4729980,"Lawrenceburg, TN",M
4730280,"Lewisburg, TN",M
4732280,"Martin, TN",M
4732660,"McMinnville, TN",M
4732820,"Memphis, TN-MS-AR (TN part)",M
4734100,"Morristown, TN",M
4734980,"Nashville-Davidson--Murfreesboro--Franklin, TN",M
4735460,"Newport, TN",M
4737540,"Paris, TN",M
4742940,"Sevierville, TN",M
4743180,"Shelbyville, TN",M
4746100,"Tullahoma-Manchester, TN",M
4746460,"Union City, TN",M
4799999,"Nonmetropolitan, nonmicropolitan, TN",M
47LWIA01,"01 Local Workforce Investment Area",W
47LWIA02,"02 Local Workforce Investment Area",W
47LWIA03,"03 Local Workforce Investment Area",W
47LWIA04,"04 Local Workforce Investment Area",W
47LWIA05,"05 Local Workforce Investment Area",W
47LWIA06,"06 Local Workforce Investment Area",W
47LWIA07,"07 Local Workforce Investment Area",W
47LWIA08,"08 Local Workforce Investment Area",W
47LWIA09,"09 Local Workforce Investment Area",W
47LWIA10,"10 Local Workforce Investment Area",W
47LWIA11,"11 Local Workforce Investment Area",W
47LWIA12,"12 Local Workforce Investment Area",W
47LWIA13,"13 Local Workforce Investment Area",W
