geography,label,geo_level
49,"Utah",S
49001,"Beaver, UT",C
49003,"Box Elder, UT",C
49005,"Cache, UT",C
49007,"Carbon, UT",C
49009,"Daggett, UT",C
49011,"Davis, UT",C
49013,"Duchesne, UT",C
49015,"Emery, UT",C
49017,"Garfield, UT",C
49019,"Grand, UT",C
49021,"Iron, UT",C
49023,"Juab, UT",C
49025,"Kane, UT",C
49027,"Millard, UT",C
49029,"Morgan, UT",C
49031,"Piute, UT",C
49033,"Rich, UT",C
49035,"Salt Lake, UT",C
49037,"San Juan, UT",C
49039,"Sanpete, UT",C
49041,"Sevier, UT",C
49043,"Summit, UT",C
49045,"Tooele, UT",C
49047,"Uintah, UT",C
49049,"Utah, UT",C
49051,"Wasatch, UT",C
49053,"Washington, UT",C
49055,"Wayne, UT",C
49057,"Weber, UT",C
4916260,"Cedar City, UT",M
4925720,"Heber, UT",M
4930860,"Logan, UT-ID (UT part)",M
4936260,"Ogden-Clearfield, UT",M
4939220,"Price, UT",M
4939340,"Provo-Orem, UT",M
4941100,"St. George, UT",M
4941620,"Salt Lake City, UT",M
4946860,"Vernal, UT",M
4999999,"Nonmetropolitan, nonmicropolitan, UT",M
49490001,"01 Bear River WIB",W
49490002,"02 Wasatch Front North WIB",W
49490003,"03 Wasatch Front South WIB",W
49490004,"04 Mountainland WIB",W
49490005,"05 Uintah Basin WIB",W
49490006,"06 Southeast WIB",W
49490007,"07 Southwest WIB",W
49490008,"08 Central WIB",W
