geography,label,geo_level
54,"West Virginia",S
54001,"Barbour, WV",C
54003,"Berkeley, WV",C
54005,"Boone, WV",C
54007,"Braxton, WV",C
54009,"Brooke, WV",C
54011,"Cabell, WV",C
54013,"Calhoun, WV",C
54015,"Clay, WV",C
54017,"Doddridge, WV",C
54019,"Fayette, WV",C
54021,"Gilmer, WV",C
54023,"Grant, WV",C
54025,"Greenbrier, WV",C
54027,"Hampshire, WV",C
54029,"Hancock, WV",C
54031,"Hardy, WV",C
54033,"Harrison, WV",C
54035,"Jackson, WV",C
54037,"Jefferson, WV",C
54039,"Kanawha, WV",C
54041,"Lewis, WV",C
54043,"Lincoln, WV",C
54045,"Logan, WV",C
54047,"McDowell, WV",C
54049,"Marion, WV",C
54051,"Marshall, WV",C
54053,"Mason, WV",C
54055,"Mercer, WV",C
54057,"Mineral, WV",C
54059,"Mingo, WV",C
54061,"Monongalia, WV",C
54063,"Monroe, WV",C
54065,"Morgan, WV",C
54067,"Nicholas, WV",C
54069,"Ohio, WV",C
54071,"Pendleton, WV",C
54073,"Pleasants, WV",C
54075,"Pocahontas, WV",C
54077,"Preston, WV",C
54079,"Putnam, WV",C
54081,"Raleigh, WV",C
54083,"Randolph, WV",C
54085,"Ritchie, WV",C
54087,"Roane, WV",C
54089,"Summers, WV",C
54091,"Taylor, WV",C
54093,"Tucker, WV",C
54095,"Tyler, WV",C
54097,"Upshur, WV",C
54099,"Wayne, WV",C
54101,"Webster, WV",C
54103,"Wetzel, WV",C
54105,"Wirt, WV",C
54107,"Wood, WV",C
54109,"Wyoming, WV",C
5413220,"Beckley, WV",M
5414140,"Bluefield, WV-VA (WV part)",M
5416620,"Charleston, WV",M
5417220,"Clarksburg, WV",M
5419060,"Cumberland, MD-WV (WV part)",M
5421180,"Elkins, WV",M
5421900,"Fairmont, WV",M
5425180,"Hagerstown-Martinsburg, MD-WV (WV part)",M
5426580,"Huntington-Ashland, WV-KY-OH (WV part)",M
5434060,"Morgantown, WV",M
5434350,"Mount Gay-Shamrock, WV",M
5437620,"Parkersburg-Vienna, WV",M
5438580,"Point Pleasant, WV-OH (WV part)",M
5447900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (WV part)",M
5448260,"Weirton-Steubenville, WV-OH (WV part)",M
5448540,"Wheeling, WV-OH (WV part)",M
5449020,"Winchester, VA-WV (WV part)",M
5499999,"Nonmetropolitan, nonmicropolitan, WV",M
5454WIA1,"01 Workforce Investment Area Region 1",W
5454WIA2,"02 Workforce Investment Area Region 2",W
5454WIA3,"03 Workforce Investment Area Region 3",W
5454WIA4,"04 Workforce Investment Area Region 4",W
5454WIA5,"05 Workforce Investment Area Region 5",W
5454WIA6,"06 Workforce Investment Area Region 6",W
5454WIA7,"07 Workforce Investment Area Region 7",W
