Indicator Variable,Quarters_Required_Prior,Quarters_Required_Subsequent
MHire,0,0
MHireR,0,0
MSep,0,0
MSepR,0,0
MJobStart,0,0
MJobStartR,0,0
MJobEnd,0,0
MJobEndR,0,0
EEHire,0,0
EEHireR,0,0
EE,0,0
EESep,0,0
EESepR,0,0
AQHire,1,0
AQHireR,1,0
AQSep,0,1
AQSepR,0,1
J2JHire,1,0
J2JHireR,1,0
J2JSep,0,1
J2JSepR,0,1
NEHire,0,0
NEHireR,0,0
ENSep,0,0
ENSepR,0,0
NEPersist,1,0
NEPersistR,1,0
ENPersist,0,1
ENPersistR,0,1
NEFullQ,1,0
NEFullQR,1,0
ENFullQ,0,1
ENFullQR,0,1
MainB,0,0
MainE,0,0
EESepS,1,1
EEHireS,1,1
EES,1,1
AQSepS,1,2
AQHireS,2,1
NEPersistS,1,1
ENPersistS,1,1
JobStayS,1,0
MainBS,1,0
MainES,0,1
NEHireSEarn_Dest,1,1
ENSepSEarn_Orig,1,1
JobStaySEarn_Orig,1,0
JobStaySEarn_Dest,1,0
EESEarn_Orig,1,1
EESEarn_Dest,1,1
AQHireSEarn_Orig,2,1
AQHireSEarn_Dest,2,1
EESepSEarn_Orig,1,1
EEHireSEarn_Dest,1,1
AQSepSEarn_Orig,1,2
