geography,label
45,"South Carolina"
45000010,"10 Pendleton District W"
45000015,"15 Greenville WIB"
45000020,"20 Upstate WIB"
45000025,"25 Upper Savannah WIB"
45000045,"45 Pee Dee WIB"
45000050,"50 Lower Savannah WIB"
45000060,"60 Catawba WIB"
45000065,"65 Santee-Lynches WIB"
45000085,"85 Waccamaw WIB"
45000095,"95 Trident WIB"
45000105,"05 Midlands WIB"
45000110,"10 Lowcountry WIB"
45001,"Abbeville, SC"
45003,"Aiken, SC"
45005,"Allendale, SC"
45007,"Anderson, SC"
45009,"Bamberg, SC"
45011,"Barnwell, SC"
45013,"Beaufort, SC"
45015,"Berkeley, SC"
45017,"Calhoun, SC"
45019,"Charleston, SC"
45021,"Cherokee, SC"
45023,"Chester, SC"
45025,"Chesterfield, SC"
45027,"Clarendon, SC"
45029,"Colleton, SC"
45031,"Darlington, SC"
45033,"Dillon, SC"
45035,"Dorchester, SC"
45037,"Edgefield, SC"
45039,"Fairfield, SC"
45041,"Florence, SC"
45043,"Georgetown, SC"
45045,"Greenville, SC"
45047,"Greenwood, SC"
45049,"Hampton, SC"
45051,"Horry, SC"
45053,"Jasper, SC"
45055,"Kershaw, SC"
45057,"Lancaster, SC"
45059,"Laurens, SC"
45061,"Lee, SC"
45063,"Lexington, SC"
45065,"McCormick, SC"
45067,"Marion, SC"
45069,"Marlboro, SC"
45071,"Newberry, SC"
45073,"Oconee, SC"
45075,"Orangeburg, SC"
45077,"Pickens, SC"
45079,"Richland, SC"
45081,"Saluda, SC"
45083,"Spartanburg, SC"
45085,"Sumter, SC"
45087,"Union, SC"
45089,"Williamsburg, SC"
45091,"York, SC"
4511340,"Anderson, SC"
4512260,"Augusta-Richmond County, GA-SC (SC part)"
4513500,"Bennettsville, SC"
4516700,"Charleston-North Charleston-Summerville, SC"
4516740,"Charlotte-Gastonia-Rock Hill, NC-SC (SC part)"
4516900,"Chester, SC"
4517900,"Columbia, SC"
4519900,"Dillon, SC"
4522500,"Florence, SC"
4523500,"Gaffney, SC"
4523860,"Georgetown, SC"
4524860,"Greenville-Mauldin-Easley, SC"
4524940,"Greenwood, SC"
4525940,"Hilton Head Island-Beaufort, SC"
4529580,"Lancaster, SC"
4534820,"Myrtle Beach-North Myrtle Beach-Conway, SC"
4535140,"Newberry, SC"
4536700,"Orangeburg, SC"
4542860,"Seneca, SC"
4543900,"Spartanburg, SC"
4544940,"Sumter, SC"
4546420,"Union, SC"
4547500,"Walterboro, SC"
4599999,"Nonmetropolitan, nonmicropolitan"
