geography,label
08,"Colorado"
08001,"Adams, CO"
08003,"Alamosa, CO"
08005,"Arapahoe, CO"
08007,"Archuleta, CO"
08009,"Baca, CO"
08011,"Bent, CO"
08013,"Boulder, CO"
08014,"Broomfield, CO"
08015,"Chaffee, CO"
08017,"Cheyenne, CO"
08019,"Clear Creek, CO"
08021,"Conejos, CO"
08023,"Costilla, CO"
08025,"Crowley, CO"
08027,"Custer, CO"
08029,"Delta, CO"
08031,"Denver, CO"
08033,"Dolores, CO"
08035,"Douglas, CO"
08037,"Eagle, CO"
08039,"Elbert, CO"
08041,"El Paso, CO"
08043,"Fremont, CO"
08045,"Garfield, CO"
08047,"Gilpin, CO"
08049,"Grand, CO"
08051,"Gunnison, CO"
08053,"Hinsdale, CO"
08055,"Huerfano, CO"
08057,"Jackson, CO"
08059,"Jefferson, CO"
08061,"Kiowa, CO"
08063,"Kit Carson, CO"
08065,"Lake, CO"
08067,"La Plata, CO"
08069,"Larimer, CO"
08071,"Las Animas, CO"
08073,"Lincoln, CO"
08075,"Logan, CO"
08077,"Mesa, CO"
08079,"Mineral, CO"
080800AD,"Adams WIB"
080800AR,"Arapahoe/Douglas WIB"
080800BO,"Boulder WIB"
080800BR,"Broomfield WIB"
080800DE,"Denver WIB"
080800EA,"Eastern WIB"
080800ET,"El Paso/Teller WIB"
080800LR,"Larimer WIB"
080800ME,"Mesa WIB"
080800NW,"Northwest WIB"
080800PB,"Pueblo WIB"
080800RR,"Rural Resort WIB"
080800SC,"South Central WIB"
080800SE,"Southeast WIB"
080800SW,"Southwest WIB"
080800TR,"Jefferson/Tri-County WIB"
080800UA,"Upper Arkansas WIB"
080800WE,"Western WIB"
080800WL,"Weld WIB"
08081,"Moffat, CO"
08083,"Montezuma, CO"
08085,"Montrose, CO"
08087,"Morgan, CO"
08089,"Otero, CO"
08091,"Ouray, CO"
08093,"Park, CO"
08095,"Phillips, CO"
08097,"Pitkin, CO"
08099,"Prowers, CO"
08101,"Pueblo, CO"
08103,"Rio Blanco, CO"
08105,"Rio Grande, CO"
08107,"Routt, CO"
08109,"Saguache, CO"
08111,"San Juan, CO"
08113,"San Miguel, CO"
08115,"Sedgwick, CO"
08117,"Summit, CO"
08119,"Teller, CO"
08121,"Washington, CO"
08123,"Weld, CO"
08125,"Yuma, CO"
0814500,"Boulder, CO"
0815860,"Cañon City, CO"
0817820,"Colorado Springs, CO"
0819740,"Denver-Aurora-Broomfield, CO"
0820420,"Durango, CO"
0820780,"Edwards, CO"
0822660,"Fort Collins-Loveland, CO"
0822820,"Fort Morgan, CO"
0824300,"Grand Junction, CO"
0824540,"Greeley, CO"
0833940,"Montrose, CO"
0839380,"Pueblo, CO"
0843540,"Silverthorne, CO"
0844540,"Sterling, CO"
0899999,"Nonmetropolitan, nonmicropolitan"
