geography,label
49,"Utah"
49001,"Beaver, UT"
49003,"Box Elder, UT"
49005,"Cache, UT"
49007,"Carbon, UT"
49009,"Daggett, UT"
49011,"Davis, UT"
49013,"Duchesne, UT"
49015,"Emery, UT"
49017,"Garfield, UT"
49019,"Grand, UT"
49021,"Iron, UT"
49023,"Juab, UT"
49025,"Kane, UT"
49027,"Millard, UT"
49029,"Morgan, UT"
49031,"Piute, UT"
49033,"Rich, UT"
49035,"Salt Lake, UT"
49037,"San Juan, UT"
49039,"Sanpete, UT"
49041,"Sevier, UT"
49043,"Summit, UT"
49045,"Tooele, UT"
49047,"Uintah, UT"
49049,"Utah, UT"
49051,"Wasatch, UT"
49053,"Washington, UT"
49055,"Wayne, UT"
49057,"Weber, UT"
4914940,"Brigham City, UT"
4916260,"Cedar City, UT"
4925720,"Heber, UT"
4930860,"Logan, UT-ID (UT part)"
4936260,"Ogden-Clearfield, UT"
4939220,"Price, UT"
4939340,"Provo-Orem, UT"
4941100,"St. George, UT"
4941620,"Salt Lake City, UT"
4946860,"Vernal, UT"
49490001,"01 Bear River WIB"
49490002,"02 Wasatch Front North WIB"
49490003,"03 Wasatch Front South WIB"
49490004,"04 Mountainland WIB"
49490005,"05 Uintah Basin WIB"
49490006,"06 Southeast WIB"
49490007,"07 Southwest WIB"
49490008,"08 Central WIB"
4999999,"Nonmetropolitan, nonmicropolitan"
