geography,label
19,"Iowa"
19001,"Adair, IA"
19003,"Adams, IA"
19005,"Allamakee, IA"
19007,"Appanoose, IA"
19009,"Audubon, IA"
19011,"Benton, IA"
19013,"Black Hawk, IA"
19015,"Boone, IA"
19017,"Bremer, IA"
19019,"Buchanan, IA"
19021,"Buena Vista, IA"
19023,"Butler, IA"
19025,"Calhoun, IA"
19027,"Carroll, IA"
19029,"Cass, IA"
19031,"Cedar, IA"
19033,"Cerro Gordo, IA"
19035,"Cherokee, IA"
19037,"Chickasaw, IA"
19039,"Clarke, IA"
19041,"Clay, IA"
19043,"Clayton, IA"
19045,"Clinton, IA"
19047,"Crawford, IA"
19049,"Dallas, IA"
19051,"Davis, IA"
19053,"Decatur, IA"
19055,"Delaware, IA"
19057,"Des Moines, IA"
19059,"Dickinson, IA"
19061,"Dubuque, IA"
19063,"Emmet, IA"
19065,"Fayette, IA"
19067,"Floyd, IA"
19069,"Franklin, IA"
19071,"Fremont, IA"
19073,"Greene, IA"
19075,"Grundy, IA"
19077,"Guthrie, IA"
19079,"Hamilton, IA"
19081,"Hancock, IA"
19083,"Hardin, IA"
19085,"Harrison, IA"
19087,"Henry, IA"
19089,"Howard, IA"
19091,"Humboldt, IA"
19093,"Ida, IA"
19095,"Iowa, IA"
19097,"Jackson, IA"
19099,"Jasper, IA"
19101,"Jefferson, IA"
19103,"Johnson, IA"
19105,"Jones, IA"
19107,"Keokuk, IA"
19109,"Kossuth, IA"
19111,"Lee, IA"
1911180,"Ames, IA"
19113,"Linn, IA"
19115,"Louisa, IA"
19117,"Lucas, IA"
19119,"Lyon, IA"
19121,"Madison, IA"
19123,"Mahaska, IA"
19125,"Marion, IA"
19127,"Marshall, IA"
19129,"Mills, IA"
19131,"Mitchell, IA"
19133,"Monona, IA"
19135,"Monroe, IA"
19137,"Montgomery, IA"
19139,"Muscatine, IA"
19141,"OBrien, IA"
19143,"Osceola, IA"
1914340,"Boone, IA"
19145,"Page, IA"
19147,"Palo Alto, IA"
19149,"Plymouth, IA"
19151,"Pocahontas, IA"
19153,"Polk, IA"
1915460,"Burlington, IA-IL (IA part)"
19155,"Pottawattamie, IA"
19157,"Poweshiek, IA"
19159,"Ringgold, IA"
19161,"Sac, IA"
19163,"Scott, IA"
1916300,"Cedar Rapids, IA"
19165,"Shelby, IA"
19167,"Sioux, IA"
19169,"Story, IA"
19171,"Tama, IA"
19173,"Taylor, IA"
19175,"Union, IA"
1917540,"Clinton, IA"
19177,"Van Buren, IA"
19179,"Wapello, IA"
19181,"Warren, IA"
19183,"Washington, IA"
19185,"Wayne, IA"
19187,"Webster, IA"
19189,"Winnebago, IA"
19190001,"01 Region 1 - Dubuque WIB"
19190002,"02 Region 2 - Mason City WIB"
19190003,"03 Region 3 & 4 - Spencer WIB"
19190005,"05 Region 5 - Fort Dodge WIB"
19190006,"06 Region 6 - Marshalltown WIB"
19190007,"07 Region 7 - Waterloo WIB"
19190008,"08 Region 8 - Carroll WIB"
19190009,"09 Region 9 - Davenport WIB"
19190010,"10 Region 10 - Cedar Rapids WIB"
19190011,"11 Region 11 - Des Moines WIB"
19190012,"12 Region 12 - Sioux City WIB"
19190013,"13 Region 13 - Council Bluffs WIB"
19190014,"14 Region 14 - Creston WIB"
19190015,"15 Region 15 - Ottumwa WIB"
19190016,"16 Region 16 - Burlington WIB"
19191,"Winneshiek, IA"
19193,"Woodbury, IA"
1919340,"Davenport-Moline-Rock Island, IA-IL (IA part)"
19195,"Worth, IA"
19197,"Wright, IA"
1919780,"Des Moines-West Des Moines, IA"
1920220,"Dubuque, IA"
1922700,"Fort Dodge, IA"
1922800,"Fort Madison-Keokuk, IA-MO (IA part)"
1926980,"Iowa City, IA"
1932260,"Marshalltown, IA"
1932380,"Mason City, IA"
1934700,"Muscatine, IA"
1935500,"Newton, IA"
1936540,"Omaha-Council Bluffs, NE-IA (IA part)"
1936820,"Oskaloosa, IA"
1936900,"Ottumwa, IA"
1937800,"Pella, IA"
1943580,"Sioux City, IA-NE-SD (IA part)"
1943980,"Spencer, IA"
1944020,"Spirit Lake, IA"
1944740,"Storm Lake, IA"
1947940,"Waterloo-Cedar Falls, IA"
1999999,"Nonmetropolitan, nonmicropolitan"
