geography,label
23,"Maine"
23000001,"01 Aroostook/Washington WIA"
23000002,"02 Central/Western WIA"
23000003,"03 Six County Coastal WIA"
23000004,"04 Tri County Investment Board WIA"
23001,"Androscoggin, ME"
23003,"Aroostook, ME"
23005,"Cumberland, ME"
23007,"Franklin, ME"
23009,"Hancock, ME"
23011,"Kennebec, ME"
23013,"Knox, ME"
23015,"Lincoln, ME"
23017,"Oxford, ME"
23019,"Penobscot, ME"
23021,"Piscataquis, ME"
23023,"Sagadahoc, ME"
23025,"Somerset, ME"
23027,"Waldo, ME"
23029,"Washington, ME"
23031,"York, ME"
2312300,"Augusta-Waterville, ME"
2312620,"Bangor, ME"
2330340,"Lewiston-Auburn, ME"
2338860,"Portland-South Portland-Biddeford, ME"
2340500,"Rockland, ME"
2399999,"Nonmetropolitan, nonmicropolitan"
